Time,presidential_results
2023-05-30,2.2857142857142856
2023-05-31,2.571428571428571
2023-06-01,1.4285714285714284
2023-06-02,1.4285714285714284
2023-06-03,2.0
2023-06-04,2.2857142857142856
2023-06-05,2.0
2023-06-06,2.2857142857142856
2023-06-07,1.7142857142857142
2023-06-08,1.7142857142857142
2023-06-09,3.142857142857143
2023-06-10,2.2857142857142856
2023-06-11,2.2857142857142856
2023-06-12,3.142857142857143
2023-06-13,2.2857142857142856
2023-06-14,2.571428571428571
2023-06-15,1.7142857142857142
2023-06-16,2.0
2023-06-17,2.0
2023-06-18,2.2857142857142856
2023-06-19,1.4285714285714284
2023-06-20,2.2857142857142856
2023-06-21,2.0
2023-06-22,1.4285714285714284
2023-06-23,1.7142857142857142
2023-06-24,1.4285714285714284
2023-06-25,2.2857142857142856
2023-06-26,2.0
2023-06-27,2.8571428571428568
2023-06-28,1.4285714285714284
2023-06-29,1.4285714285714284
2023-06-30,2.571428571428571
2023-07-01,1.7142857142857142
2023-07-02,1.4285714285714284
2023-07-03,2.2857142857142856
2023-07-04,0.0
2023-07-05,1.7142857142857142
2023-07-06,2.2857142857142856
2023-07-07,2.0
2023-07-08,1.4285714285714284
2023-07-09,2.8571428571428568
2023-07-10,2.0
2023-07-11,1.4285714285714284
2023-07-12,2.571428571428571
2023-07-13,1.7142857142857142
2023-07-14,1.7142857142857142
2023-07-15,1.7142857142857142
2023-07-16,2.0
2023-07-17,2.2857142857142856
2023-07-18,2.8571428571428568
2023-07-19,2.0
2023-07-20,2.0
2023-07-21,2.0
2023-07-22,2.2857142857142856
2023-07-23,1.7142857142857142
2023-07-24,1.7142857142857142
2023-07-25,1.7142857142857142
2023-07-26,1.7142857142857142
2023-07-27,1.7142857142857142
2023-07-28,1.4285714285714284
2023-07-29,1.4285714285714284
2023-07-30,2.0
2023-07-31,2.571428571428571
2023-08-01,1.7142857142857142
2023-08-02,2.8571428571428568
2023-08-03,3.714285714285714
2023-08-04,2.571428571428571
2023-08-05,2.571428571428571
2023-08-06,2.571428571428571
2023-08-07,2.571428571428571
2023-08-08,2.2857142857142856
2023-08-09,5.142857142857142
2023-08-10,2.0
2023-08-11,2.571428571428571
2023-08-12,1.7142857142857142
2023-08-13,2.0
2023-08-14,2.8571428571428568
2023-08-15,4.285714285714286
2023-08-16,3.142857142857143
2023-08-17,3.142857142857143
2023-08-18,2.2857142857142856
2023-08-19,2.0
2023-08-20,0.0
2023-08-21,3.714285714285714
2023-08-22,2.8571428571428568
2023-08-23,3.142857142857143
2023-08-24,5.142857142857142
2023-08-25,3.4285714285714284
2023-08-26,3.4285714285714284
2023-08-27,3.4285714285714284
2023-08-28,3.4285714285714284
2023-08-29,2.571428571428571
2023-08-30,2.571428571428571
2023-08-31,2.2857142857142856
2023-09-01,3.4285714285714284
2023-09-02,1.7142857142857142
2023-09-03,2.2857142857142856
2023-09-04,2.2857142857142856
2023-09-05,2.8571428571428568
2023-09-06,2.2857142857142856
2023-09-07,2.0
2023-09-08,2.571428571428571
2023-09-09,1.4285714285714284
2023-09-10,2.2857142857142856
2023-09-11,2.0
2023-09-12,3.714285714285714
2023-09-13,2.571428571428571
2023-09-14,1.7142857142857142
2023-09-15,2.2857142857142856
2023-09-16,2.0
2023-09-17,2.571428571428571
2023-09-18,1.4285714285714284
2023-09-19,1.4285714285714284
2023-09-20,2.2857142857142856
2023-09-21,1.7142857142857142
2023-09-22,4.0
2023-09-23,1.7142857142857142
2023-09-24,1.7142857142857142
2023-09-25,3.142857142857143
2023-09-26,2.8571428571428568
2023-09-27,2.2857142857142856
2023-09-28,3.4285714285714284
2023-09-29,2.571428571428571
2023-09-30,1.7142857142857142
2023-10-01,1.7142857142857142
2023-10-02,2.2857142857142856
2023-10-03,2.2857142857142856
2023-10-04,2.8571428571428568
2023-10-05,3.142857142857143
2023-10-06,2.2857142857142856
2023-10-07,2.0
2023-10-08,1.7142857142857142
2023-10-09,2.0
2023-10-10,2.2857142857142856
2023-10-11,2.0
2023-10-12,3.142857142857143
2023-10-13,2.571428571428571
2023-10-14,2.2857142857142856
2023-10-15,2.8571428571428568
2023-10-16,3.142857142857143
2023-10-17,2.571428571428571
2023-10-18,1.4285714285714284
2023-10-19,2.8571428571428568
2023-10-20,2.2857142857142856
2023-10-21,1.1428571428571428
2023-10-22,2.8571428571428568
2023-10-23,8.285714285714285
2023-10-24,3.142857142857143
2023-10-25,2.8571428571428568
2023-10-26,3.714285714285714
2023-10-27,2.2857142857142856
2023-10-28,1.7142857142857142
2023-10-29,2.0
2023-10-30,3.142857142857143
2023-10-31,2.2857142857142856
2023-11-01,2.0
2023-11-02,4.571428571428571
2023-11-03,2.571428571428571
2023-11-04,2.8571428571428568
2023-11-05,3.714285714285714
2023-11-06,5.142857142857142
2023-11-07,8.857142857142856
2023-11-08,28.57142857142857
2023-11-09,14.571428571428571
2023-11-10,6.857142857142857
2023-11-11,6.285714285714286
2023-11-12,4.857142857142857
2023-11-13,4.571428571428571
2023-11-14,4.571428571428571
2023-11-15,3.714285714285714
2023-11-16,4.285714285714286
2023-11-17,3.714285714285714
2023-11-18,3.142857142857143
2023-11-19,4.0
2023-11-20,4.0
2023-11-21,3.142857142857143
2023-11-22,3.4285714285714284
2023-11-23,2.0
2023-11-24,2.0
2023-11-25,1.4285714285714284
2023-11-26,2.0
2023-11-27,2.571428571428571
2023-11-28,3.4285714285714284
2023-11-29,2.8571428571428568
2023-11-30,2.8571428571428568
2023-12-01,2.0
2023-12-02,3.142857142857143
2023-12-03,2.571428571428571
2023-12-04,3.4285714285714284
2023-12-05,3.142857142857143
2023-12-06,4.571428571428571
2023-12-07,2.2857142857142856
2023-12-08,3.4285714285714284
2023-12-09,3.142857142857143
2023-12-10,2.571428571428571
2023-12-11,3.714285714285714
2023-12-12,2.571428571428571
2023-12-13,2.571428571428571
2023-12-14,4.0
2023-12-15,2.8571428571428568
2023-12-16,1.4285714285714284
2023-12-17,1.4285714285714284
2023-12-18,2.571428571428571
2023-12-19,4.571428571428571
2023-12-20,11.428571428571427
2023-12-21,2.8571428571428568
2023-12-22,2.0
2023-12-23,2.0
2023-12-24,1.380952380952381
2023-12-25,0.0
2023-12-26,1.8571428571428572
2023-12-27,0.0
2023-12-28,1.8571428571428572
2023-12-29,5.857142857142857
2023-12-30,3.238095238095238
2023-12-31,0.0
2024-01-01,1.8571428571428572
2024-01-02,2.0
2024-01-03,4.0
2024-01-04,2.761904761904762
2024-01-05,2.761904761904762
2024-01-06,1.2380952380952381
2024-01-07,2.142857142857143
2024-01-08,2.761904761904762
2024-01-09,3.238095238095238
2024-01-10,3.5238095238095237
2024-01-11,4.619047619047619
2024-01-12,3.238095238095238
2024-01-13,2.9047619047619047
2024-01-14,2.6190476190476186
2024-01-15,3.8571428571428568
2024-01-16,19.38095238095238
2024-01-17,8.904761904761905
2024-01-18,5.3809523809523805
2024-01-19,3.3809523809523805
2024-01-20,4.761904761904761
2024-01-21,4.666666666666666
2024-01-22,6.666666666666666
2024-01-23,10.0
2024-01-24,24.0
2024-01-25,7.333333333333333
2024-01-26,5.333333333333333
2024-01-27,2.6666666666666665
2024-01-28,2.6666666666666665
2024-01-29,4.0
2024-01-30,6.0
2024-01-31,4.666666666666666
2024-02-01,3.333333333333333
2024-02-02,4.666666666666666
2024-02-03,3.333333333333333
2024-02-04,5.333333333333333
2024-02-05,4.0
2024-02-06,4.666666666666666
2024-02-07,5.333333333333333
2024-02-08,4.666666666666666
2024-02-09,5.333333333333333
2024-02-10,5.333333333333333
2024-02-11,3.333333333333333
2024-02-12,5.333333333333333
2024-02-13,3.333333333333333
2024-02-14,5.333333333333333
2024-02-15,3.333333333333333
2024-02-16,4.0
2024-02-17,3.333333333333333
2024-02-18,4.0
2024-02-19,4.666666666666666
2024-02-20,4.0
2024-02-21,4.0
2024-02-22,4.0
2024-02-23,4.0
2024-02-24,6.0
2024-02-25,15.333333333333332
2024-02-26,5.333333333333333
2024-02-27,6.0
2024-02-28,15.333333333333332
2024-02-29,6.666666666666666
2024-03-01,5.333333333333333
2024-03-02,6.0
2024-03-03,5.333333333333333
2024-03-04,8.666666666666666
2024-03-05,14.0
2024-03-06,66.66666666666666
2024-03-07,15.333333333333332
2024-03-08,8.666666666666666
2024-03-09,4.666666666666666
2024-03-10,6.0
2024-03-11,4.666666666666666
2024-03-12,6.0
2024-03-13,13.333333333333332
2024-03-14,7.333333333333333
2024-03-15,5.333333333333333
2024-03-16,4.0
2024-03-17,4.666666666666666
2024-03-18,4.666666666666666
2024-03-19,6.0
2024-03-20,16.666666666666664
2024-03-21,5.333333333333333
2024-03-22,4.666666666666666
2024-03-23,2.6666666666666665
2024-03-24,5.333333333333333
2024-03-25,4.0
2024-03-26,4.0
2024-03-27,5.333333333333333
2024-03-28,4.666666666666666
2024-03-29,3.333333333333333
2024-03-30,4.0
2024-03-31,2.6666666666666665
2024-04-01,4.0
2024-04-02,4.666666666666666
2024-04-03,11.333333333333332
2024-04-04,5.333333333333333
2024-04-05,4.666666666666666
2024-04-06,4.0
2024-04-07,2.6666666666666665
2024-04-08,3.333333333333333
2024-04-09,3.333333333333333
2024-04-10,5.333333333333333
2024-04-11,2.6666666666666665
2024-04-12,2.6666666666666665
2024-04-13,3.333333333333333
2024-04-14,2.6666666666666665
2024-04-15,4.666666666666666
2024-04-16,4.0
2024-04-17,4.666666666666666
2024-04-18,3.333333333333333
2024-04-19,3.333333333333333
2024-04-20,2.6666666666666665
2024-04-21,2.0
2024-04-22,4.0
2024-04-23,4.0
2024-04-24,6.666666666666666
2024-04-25,4.666666666666666
2024-04-26,3.333333333333333
2024-04-27,2.0
2024-04-28,2.6666666666666665
2024-04-29,3.333333333333333
2024-04-30,4.0
2024-05-01,4.0
2024-05-02,5.333333333333333
2024-05-03,3.333333333333333
2024-05-04,2.6666666666666665
2024-05-05,3.333333333333333
2024-05-06,4.0
2024-05-07,3.333333333333333
2024-05-08,6.0
2024-05-09,4.0
2024-05-10,3.333333333333333
2024-05-11,3.333333333333333
2024-05-12,4.0
2024-05-13,4.0
2024-05-14,4.666666666666666
2024-05-15,6.666666666666666
2024-05-16,4.666666666666666
2024-05-17,3.333333333333333
2024-05-18,3.333333333333333
2024-05-19,4.0
2024-05-20,4.0
2024-05-21,2.6666666666666665
2024-05-22,6.0
2024-05-23,4.666666666666666
2024-05-24,4.0
2024-05-25,4.0
2024-05-26,2.6666666666666665
2024-05-27,2.6666666666666665
2024-05-28,2.6666666666666665
2024-05-29,3.333333333333333
2024-05-30,5.333333333333333
2024-05-31,6.666666666666666
2024-06-01,3.333333333333333
2024-06-02,5.333333333333333
2024-06-03,11.333333333333332
2024-06-04,6.0
2024-06-05,7.333333333333333
2024-06-06,4.0
2024-06-07,3.333333333333333
2024-06-08,2.0
2024-06-09,4.0
2024-06-10,3.333333333333333
2024-06-11,3.333333333333333
2024-06-12,4.0
2024-06-13,3.333333333333333
2024-06-14,3.333333333333333
2024-06-15,2.0
2024-06-16,3.333333333333333
2024-06-17,4.0
2024-06-18,3.333333333333333
2024-06-19,4.0
2024-06-20,3.333333333333333
2024-06-21,3.333333333333333
2024-06-22,3.333333333333333
2024-06-23,3.333333333333333
2024-06-24,3.333333333333333
2024-06-25,3.333333333333333
2024-06-26,5.333333333333333
2024-06-27,6.0
2024-06-28,52.666666666666664
2024-06-29,12.0
2024-06-30,6.666666666666666
2024-07-01,8.666666666666666
2024-07-02,4.666666666666666
2024-07-03,6.0
2024-07-04,6.0
