Time,delta
2023-07-11,75.65437310644643
2023-07-12,73.87427020982416
2023-07-13,77.4344760030687
2023-07-14,77.4344760030687
2023-07-15,69.42401296826849
2023-07-16,71.20411586489075
2023-07-17,77.4344760030687
2023-07-18,79.21457889969096
2023-07-19,77.4344760030687
2023-07-20,77.4344760030687
2023-07-21,78.32452745137984
2023-07-22,65.86380717502395
2023-07-23,67.64391007164622
2023-07-24,75.65437310644643
2023-07-25,78.32452745137984
2023-07-26,73.87427020982416
2023-07-27,71.20411586489075
2023-07-28,71.20411586489075
2023-07-29,65.86380717502395
2023-07-30,67.64391007164622
2023-07-31,73.87427020982416
2023-08-01,72.0941673132019
2023-08-02,75.65437310644643
2023-08-03,75.65437310644643
2023-08-04,72.98421876151302
2023-08-05,60.52349848515714
2023-08-06,63.19365283009055
2023-08-07,83.66483614124664
2023-08-08,78.32452745137984
2023-08-09,72.98421876151302
2023-08-10,71.20411586489075
2023-08-11,70.31406441657963
2023-08-12,62.303601381779416
2023-08-13,64.08370427840168
2023-08-14,80.99468179631323
2023-08-15,77.4344760030687
2023-08-16,77.4344760030687
2023-08-17,78.32452745137984
2023-08-18,72.0941673132019
2023-08-19,62.303601381779416
2023-08-20,69.42401296826849
2023-08-21,78.32452745137984
2023-08-22,78.32452745137984
2023-08-23,81.88473324462437
2023-08-24,76.54442455475757
2023-08-25,71.20411586489075
2023-08-26,58.743395588534874
2023-08-27,60.52349848515714
2023-08-28,74.7643216581353
2023-08-29,81.88473324462437
2023-08-30,74.7643216581353
2023-08-31,77.4344760030687
2023-09-01,71.20411586489075
2023-09-02,58.743395588534874
2023-09-03,56.07324124360147
2023-09-04,64.97375572671281
2023-09-05,84.55488758955778
2023-09-06,89.00514483111344
2023-09-07,84.55488758955778
2023-09-08,80.99468179631323
2023-09-09,67.64391007164622
2023-09-10,69.42401296826849
2023-09-11,83.66483614124664
2023-09-12,80.1046303480021
2023-09-13,77.4344760030687
2023-09-14,85.4449390378689
2023-09-15,78.32452745137984
2023-09-16,65.86380717502395
2023-09-17,61.41354993346828
2023-09-18,77.4344760030687
2023-09-19,77.4344760030687
2023-09-20,78.32452745137984
2023-09-21,77.4344760030687
2023-09-22,72.0941673132019
2023-09-23,62.303601381779416
2023-09-24,60.52349848515714
2023-09-25,79.21457889969096
2023-09-26,74.7643216581353
2023-09-27,77.4344760030687
2023-09-28,82.77478469293551
2023-09-29,72.0941673132019
2023-09-30,59.63344703684601
2023-10-01,60.52349848515714
2023-10-02,77.4344760030687
2023-10-03,75.65437310644643
2023-10-04,73.87427020982416
2023-10-05,69.42401296826849
2023-10-06,71.20411586489075
2023-10-07,56.963292691912606
2023-10-08,56.07324124360147
2023-10-09,72.98421876151302
2023-10-10,72.98421876151302
2023-10-11,70.31406441657963
2023-10-12,71.20411586489075
2023-10-13,65.86380717502395
2023-10-14,59.63344703684601
2023-10-15,64.08370427840168
2023-10-16,72.98421876151302
2023-10-17,71.20411586489075
2023-10-18,71.20411586489075
2023-10-19,80.99468179631323
2023-10-20,72.98421876151302
2023-10-21,55.18318979529034
2023-10-22,56.07324124360147
2023-10-23,72.0941673132019
2023-10-24,70.31406441657963
2023-10-25,72.98421876151302
2023-10-26,70.31406441657963
2023-10-27,65.86380717502395
2023-10-28,52.51303545035693
2023-10-29,49.84288110542353
2023-10-30,71.20411586489075
2023-10-31,64.97375572671281
2023-11-01,68.53396151995736
2023-11-02,71.20411586489075
2023-11-03,68.53396151995736
2023-11-04,55.18318979529034
2023-11-05,57.85334414022374
2023-11-06,69.42401296826849
2023-11-07,72.0941673132019
2023-11-08,68.53396151995736
2023-11-09,71.20411586489075
2023-11-10,64.97375572671281
2023-11-11,54.293138346979205
2023-11-12,55.18318979529034
2023-11-13,70.31406441657963
2023-11-14,70.31406441657963
2023-11-15,73.87427020982416
2023-11-16,71.20411586489075
2023-11-17,68.53396151995736
2023-11-18,56.963292691912606
2023-11-19,56.963292691912606
2023-11-20,67.64391007164622
2023-11-21,68.53396151995736
2023-11-22,63.19365283009055
2023-11-23,48.952829657112396
2023-11-24,52.51303545035693
2023-11-25,52.51303545035693
2023-11-26,59.63344703684601
2023-11-27,75.65437310644643
2023-11-28,81.88473324462437
2023-11-29,73.87427020982416
2023-11-30,67.64391007164622
2023-12-01,64.08370427840168
2023-12-02,55.18318979529034
2023-12-03,53.40308689866807
2023-12-04,71.20411586489075
2023-12-05,70.31406441657963
2023-12-06,70.31406441657963
2023-12-07,69.42401296826849
2023-12-08,66.75385862333509
2023-12-09,53.40308689866807
2023-12-10,75.65437310644643
2023-12-11,72.0941673132019
2023-12-12,68.53396151995736
2023-12-13,72.0941673132019
2023-12-14,71.20411586489075
2023-12-15,64.08370427840168
2023-12-16,60.52349848515714
2023-12-17,59.63344703684601
2023-12-18,70.31406441657963
2023-12-19,70.31406441657963
2023-12-20,69.42401296826849
2023-12-21,66.75385862333509
2023-12-22,61.36299118396124
2023-12-23,56.138152154258904
2023-12-24,49.82961622920878
2023-12-25,44.60477719950645
2023-12-26,65.0591075941602
2023-12-27,71.36764351921032
2023-12-28,68.75522400435916
2023-12-29,66.58783021366357
2023-12-30,61.36299118396124
2023-12-31,56.138152154258904
2024-01-01,58.75057166911007
2024-01-02,76.59248254891266
2024-01-03,79.20490206376381
2024-01-04,76.59248254891266
2024-01-05,72.89636613871369
2024-01-06,66.58783021366357
2024-01-07,70.28394662386253
2024-01-08,79.20490206376381
2024-01-09,79.20490206376381
2024-01-10,79.20490206376381
2024-01-11,81.37229585445941
2024-01-12,80.73362468326718
2024-01-13,77.67617944426044
2024-01-14,66.58783021366357
2024-01-15,75.50878565356484
2024-01-16,86.59713488416173
2024-01-17,80.73362468326718
2024-01-18,77.67617944426044
2024-01-19,73.98006303406149
2024-01-20,62.446688079309034
2024-01-21,61.312432434454195
2024-01-22,77.9178828854522
2024-01-23,74.08585585829881
2024-01-24,84.30459459737452
2024-01-25,76.64054054306774
2024-01-26,70.25382883114543
2024-01-27,60.03509009206973
2024-01-28,58.757747749685265
2024-01-29,74.08585585829881
2024-01-30,76.64054054306774
2024-01-31,74.08585585829881
2024-02-01,80.47256757022113
2024-02-02,72.80851351591436
2024-02-03,60.03509009206973
2024-02-04,62.58977477683865
2024-02-05,72.80851351591436
2024-02-06,72.80851351591436
2024-02-07,74.08585585829881
2024-02-08,74.08585585829881
2024-02-09,74.08585585829881
2024-02-10,56.20306306491634
2024-02-11,54.92572072253188
2024-02-12,63.86711711922312
2024-02-13,76.64054054306774
2024-02-14,70.25382883114543
2024-02-15,75.36319820068327
2024-02-16,71.53117117352988
2024-02-17,62.58977477683865
2024-02-18,63.86711711922312
2024-02-19,77.9178828854522
2024-02-20,77.9178828854522
2024-02-21,74.08585585829881
2024-02-22,74.08585585829881
2024-02-23,70.25382883114543
2024-02-24,61.312432434454195
2024-02-25,63.86711711922312
2024-02-26,80.47256757022113
2024-02-27,75.36319820068327
2024-02-28,74.08585585829881
2024-02-29,75.36319820068327
2024-03-01,72.80851351591436
2024-03-02,62.58977477683865
2024-03-03,67.6991441463765
2024-03-04,79.19522522783666
2024-03-05,74.08585585829881
2024-03-06,79.19522522783666
2024-03-07,72.80851351591436
2024-03-08,66.42180180399204
2024-03-09,66.42180180399204
2024-03-10,66.42180180399204
2024-03-11,72.80851351591436
2024-03-12,71.53117117352988
2024-03-13,76.64054054306774
2024-03-14,74.08585585829881
2024-03-15,65.14445946160758
2024-03-16,62.58977477683865
2024-03-17,63.86711711922312
2024-03-18,76.64054054306774
2024-03-19,77.9178828854522
2024-03-20,74.08585585829881
2024-03-21,72.80851351591436
2024-03-22,70.25382883114543
2024-03-23,62.58977477683865
2024-03-24,66.42180180399204
2024-03-25,75.36319820068327
2024-03-26,75.36319820068327
2024-03-27,74.08585585829881
2024-03-28,72.80851351591436
2024-03-29,68.97648648876097
2024-03-30,54.92572072253188
2024-03-31,56.20306306491634
2024-04-01,75.36319820068327
2024-04-02,75.36319820068327
2024-04-03,76.64054054306774
2024-04-04,71.53117117352988
2024-04-05,71.53117117352988
2024-04-06,57.48040540730081
2024-04-07,61.312432434454195
2024-04-08,67.6991441463765
2024-04-09,77.9178828854522
2024-04-10,77.9178828854522
2024-04-11,81.74990991260559
2024-04-12,79.19522522783666
2024-04-13,61.312432434454195
2024-04-14,63.86711711922312
2024-04-15,75.36319820068327
2024-04-16,72.80851351591436
2024-04-17,76.64054054306774
2024-04-18,83.02725225499005
2024-04-19,83.02725225499005
2024-04-20,81.74990991260559
2024-04-21,80.47256757022113
2024-04-22,83.02725225499005
2024-04-23,80.47256757022113
2024-04-24,79.19522522783666
2024-04-25,77.9178828854522
2024-04-26,76.64054054306774
2024-04-27,71.53117117352988
2024-04-28,79.19522522783666
2024-04-29,76.64054054306774
2024-04-30,80.47256757022113
2024-05-01,77.9178828854522
2024-05-02,75.36319820068327
2024-05-03,70.25382883114543
2024-05-04,58.757747749685265
2024-05-05,63.86711711922312
2024-05-06,77.9178828854522
2024-05-07,79.19522522783666
2024-05-08,71.53117117352988
2024-05-09,74.08585585829881
2024-05-10,71.53117117352988
2024-05-11,62.58977477683865
2024-05-12,62.58977477683865
2024-05-13,76.64054054306774
2024-05-14,76.64054054306774
2024-05-15,85.58193693975898
2024-05-16,77.9178828854522
2024-05-17,72.80851351591436
2024-05-18,65.14445946160758
2024-05-19,65.14445946160758
2024-05-20,74.08585585829881
2024-05-21,72.80851351591436
2024-05-22,72.80851351591436
2024-05-23,77.9178828854522
2024-05-24,72.80851351591436
2024-05-25,61.312432434454195
2024-05-26,53.64837838014742
2024-05-27,67.6991441463765
2024-05-28,75.36319820068327
2024-05-29,72.80851351591436
2024-05-30,66.42180180399204
2024-05-31,67.6991441463765
2024-06-01,60.03509009206973
2024-06-02,63.86711711922312
2024-06-03,71.53117117352988
2024-06-04,72.80851351591436
2024-06-05,74.08585585829881
2024-06-06,74.08585585829881
2024-06-07,68.97648648876097
2024-06-08,61.312432434454195
2024-06-09,65.14445946160758
2024-06-10,77.9178828854522
2024-06-11,77.9178828854522
2024-06-12,76.64054054306774
2024-06-13,71.53117117352988
2024-06-14,67.6991441463765
2024-06-15,61.312432434454195
2024-06-16,60.03509009206973
2024-06-17,71.53117117352988
2024-06-18,74.08585585829881
2024-06-19,71.53117117352988
2024-06-20,68.97648648876097
2024-06-21,68.97648648876097
2024-06-22,61.312432434454195
2024-06-23,65.14445946160758
2024-06-24,74.08585585829881
2024-06-25,74.08585585829881
2024-06-26,72.80851351591436
2024-06-27,76.64054054306774
2024-06-28,67.6991441463765
2024-06-29,61.312432434454195
2024-06-30,62.58977477683865
2024-07-01,74.08585585829881
2024-07-02,70.25382883114543
2024-07-03,75.36319820068327
2024-07-04,66.42180180399204
2024-07-05,62.58977477683865
2024-07-06,62.58977477683865
2024-07-07,68.97648648876097
2024-07-08,75.36319820068327
2024-07-09,74.08585585829881
2024-07-10,71.53117117352988
2024-07-11,79.19522522783666
2024-07-12,75.36319820068327
2024-07-13,74.08585585829881
2024-07-14,61.312432434454195
2024-07-15,75.36319820068327
2024-07-16,77.9178828854522
2024-07-17,77.9178828854522
2024-07-18,76.64054054306774
2024-07-19,125.1795495536773
2024-07-20,100.91004504837252
2024-07-21,100.91004504837252
2024-07-22,120.07018018413946
2024-07-23,127.73423423844623
2024-07-24,106.01941441791037
2024-07-25,94.52333333645021
2024-07-26,74.08585585829881
2024-07-27,61.312432434454195
2024-07-28,62.58977477683865
2024-07-29,74.08585585829881
2024-07-30,75.36319820068327
2024-07-31,74.08585585829881
2024-08-01,74.08585585829881
2024-08-02,74.08585585829881
2024-08-03,67.6991441463765
2024-08-04,76.64054054306774
2024-08-05,83.02725225499005
2024-08-06,79.19522522783666
2024-08-07,83.02725225499005
2024-08-08,79.19522522783666
2024-08-09,77.9178828854522
2024-08-10,65.14445946160758
2024-08-11,66.42180180399204
2024-08-12,76.64054054306774
2024-08-13,79.19522522783666
2024-08-14,77.9178828854522
2024-08-15,77.9178828854522
2024-08-16,76.64054054306774
2024-08-17,66.42180180399204
2024-08-18,75.36319820068327
2024-08-19,83.90758278825501
2024-08-20,80.9731476773718
2024-08-21,78.6773837376808
2024-08-22,78.6773837376808
2024-08-23,73.70610543218451
2024-08-24,61.20886413642302
2024-08-25,66.81881361311153
2024-08-26,78.6773837376808
2024-08-27,83.90758278825501
2024-08-28,83.90758278825501
2024-08-29,79.31605490887303
2024-08-30,77.02029096918204
2024-08-31,57.25600742823326
2024-09-01,61.20886413642302
2024-09-02,70.77167032130129
2024-09-03,77.02029096918204
2024-09-04,85.56467555675377
2024-09-05,75.36319820068327
2024-09-06,71.41034149249352
2024-09-07,58.913100196732024
2024-09-08,61.20886413642302
2024-09-09,73.70610543218451
2024-09-10,80.9731476773718
2024-09-11,75.36319820068327
2024-09-12,76.0018693718755
2024-09-13,73.06743426099229
2024-09-14,58.913100196732024
2024-09-15,58.274429025539796
2024-09-16,75.36319820068327
2024-09-17,79.4368845899094
2024-09-18,77.40004139529633
2024-09-19,75.36319820068327
2024-09-20,73.32635500607022
2024-09-21,59.068452643778784
2024-09-22,59.068452643778784
2024-09-23,77.40004139529633
2024-09-24,75.36319820068327
2024-09-25,79.4368845899094
2024-09-26,79.4368845899094
2024-09-27,71.28951181145715
2024-09-28,57.03160944916572
2024-09-29,59.068452643778784
