Time,domination
2024-02-20,44.97662337662337
2024-02-21,44.97662337662337
2024-02-22,46.8
2024-02-23,48.62337662337662
2024-02-24,46.19220779220779
2024-02-25,49.83896103896104
2024-02-26,44.97662337662337
2024-02-27,47.407792207792205
2024-02-28,46.19220779220779
2024-02-29,44.97662337662337
2024-03-01,46.19220779220779
2024-03-02,51.054545454545455
2024-03-03,53.48571428571428
2024-03-04,54.7012987012987
2024-03-05,51.054545454545455
2024-03-06,46.19220779220779
2024-03-07,46.19220779220779
2024-03-08,51.66233766233766
2024-03-09,44.368831168831164
2024-03-10,54.7012987012987
2024-03-11,49.83896103896104
2024-03-12,36.467532467532465
2024-03-13,46.19220779220779
2024-03-14,44.368831168831164
2024-03-15,47.407792207792205
2024-03-16,49.23116883116883
2024-03-17,55.91688311688311
2024-03-18,46.19220779220779
2024-03-19,48.62337662337662
2024-03-20,44.97662337662337
2024-03-21,44.97662337662337
2024-03-22,44.97662337662337
2024-03-23,43.153246753246755
2024-03-24,46.8
2024-03-25,48.015584415584414
2024-03-26,47.407792207792205
2024-03-27,41.93766233766234
2024-03-28,45.58441558441558
2024-03-29,45.58441558441558
2024-03-30,46.19220779220779
2024-03-31,53.48571428571428
2024-04-01,41.93766233766234
2024-04-02,44.368831168831164
2024-04-03,48.015584415584414
2024-04-04,52.27012987012987
2024-04-05,47.407792207792205
2024-04-06,38.8987012987013
2024-04-07,52.87792207792208
2024-04-08,43.76103896103896
2024-04-09,49.23116883116883
2024-04-10,47.407792207792205
2024-04-11,49.83896103896104
2024-04-12,52.27012987012987
2024-04-13,51.66233766233766
2024-04-14,57.74025974025974
2024-04-15,54.09350649350649
2024-04-16,43.76103896103896
2024-04-17,51.054545454545455
2024-04-18,54.7012987012987
2024-04-19,54.09350649350649
2024-04-20,48.015584415584414
2024-04-21,55.91688311688311
2024-04-22,58.955844155844154
2024-04-23,43.76103896103896
2024-04-24,56.52467532467532
2024-04-25,49.23116883116883
2024-04-26,49.23116883116883
2024-04-27,50.44675324675325
2024-04-28,57.74025974025974
2024-04-29,50.44675324675325
2024-04-30,54.7012987012987
2024-05-01,48.62337662337662
2024-05-02,52.27012987012987
2024-05-03,49.23116883116883
2024-05-04,47.407792207792205
2024-05-05,49.83896103896104
2024-05-06,55.309090909090905
2024-05-07,52.87792207792208
2024-05-08,43.76103896103896
2024-05-09,44.97662337662337
2024-05-10,51.66233766233766
2024-05-11,49.23116883116883
2024-05-12,50.44675324675325
2024-05-13,46.8
2024-05-14,46.8
2024-05-15,41.93766233766234
2024-05-16,41.93766233766234
2024-05-17,34.64415584415584
2024-05-18,48.62337662337662
2024-05-19,42.54545454545455
2024-05-20,39.506493506493506
2024-05-21,41.93766233766234
2024-05-22,44.368831168831164
2024-05-23,41.93766233766234
2024-05-24,40.114285714285714
2024-05-25,42.54545454545455
2024-05-26,41.32987012987013
2024-05-27,43.153246753246755
2024-05-28,44.368831168831164
2024-05-29,51.66233766233766
2024-05-30,42.54545454545455
2024-05-31,40.114285714285714
2024-06-01,42.54545454545455
2024-06-02,58.955844155844154
2024-06-03,41.93766233766234
2024-06-04,51.054545454545455
2024-06-05,40.114285714285714
2024-06-06,43.76103896103896
2024-06-07,52.27012987012987
2024-06-08,43.153246753246755
2024-06-09,56.52467532467532
2024-06-10,46.19220779220779
2024-06-11,40.114285714285714
2024-06-12,46.19220779220779
2024-06-13,47.407792207792205
2024-06-14,40.72207792207792
2024-06-15,51.66233766233766
2024-06-16,40.72207792207792
2024-06-17,35.859740259740256
2024-06-18,41.32987012987013
2024-06-19,51.66233766233766
2024-06-20,42.54545454545455
2024-06-21,46.8
2024-06-22,43.76103896103896
2024-06-23,49.83896103896104
2024-06-24,51.054545454545455
2024-06-25,37.68311688311688
2024-06-26,43.153246753246755
2024-06-27,41.93766233766234
2024-06-28,41.32987012987013
2024-06-29,43.153246753246755
2024-06-30,51.66233766233766
2024-07-01,43.76103896103896
2024-07-02,38.8987012987013
2024-07-03,41.32987012987013
2024-07-04,50.44675324675325
2024-07-05,51.66233766233766
2024-07-06,43.76103896103896
2024-07-07,43.76103896103896
2024-07-08,40.114285714285714
2024-07-09,41.93766233766234
2024-07-10,44.368831168831164
2024-07-11,46.19220779220779
2024-07-12,40.72207792207792
2024-07-13,46.8
2024-07-14,44.97662337662337
2024-07-15,43.76103896103896
2024-07-16,38.8987012987013
2024-07-17,40.72207792207792
2024-07-18,45.58441558441558
2024-07-19,43.153246753246755
2024-07-20,46.19220779220779
2024-07-21,56.52467532467532
2024-07-22,41.93766233766234
2024-07-23,37.68311688311688
2024-07-24,40.114285714285714
2024-07-25,43.153246753246755
2024-07-26,40.72207792207792
2024-07-27,41.93766233766234
2024-07-28,43.76103896103896
2024-07-29,41.32987012987013
2024-07-30,42.54545454545455
2024-07-31,42.54545454545455
2024-08-01,40.114285714285714
2024-08-02,41.93766233766234
2024-08-03,44.368831168831164
2024-08-04,50.44675324675325
2024-08-05,44.97662337662337
2024-08-06,42.54545454545455
2024-08-07,38.8987012987013
2024-08-08,45.58441558441558
2024-08-09,44.368831168831164
2024-08-10,46.8
2024-08-11,57.13246753246753
2024-08-12,44.97662337662337
2024-08-13,34.64415584415584
2024-08-14,43.76103896103896
2024-08-15,44.368831168831164
2024-08-16,43.153246753246755
2024-08-17,42.54545454545455
2024-08-18,49.83896103896104
2024-08-19,37.22727272727273
2024-08-20,40.60811688311688
2024-08-21,45.842727272727274
2024-08-22,44.30045454545454
2024-08-23,39.377337662337666
2024-08-24,49.83896103896104
2024-08-25,47.992792207792206
2024-08-26,45.842727272727274
2024-08-27,41.535
2024-08-28,41.838896103896104
2024-08-29,39.377337662337666
2024-08-30,48.30428571428571
2024-08-31,43.99655844155844
2024-09-01,48.60818181818182
2024-09-02,49.53506493506494
2024-09-03,46.76201298701298
2024-09-04,44.915844155844155
2024-09-05,42.76577922077922
2024-09-06,35.99649350649351
2024-09-07,46.76201298701298
2024-09-08,50.454350649350644
2024-09-09,44.61194805194805
2024-09-10,55.377467532467534
2024-09-11,46.76201298701298
2024-09-12,41.838896103896104
2024-09-13,46.146623376623374
2024-09-14,51.68512987012987
2024-09-15,49.83896103896104
2024-09-16,56.69181818181818
2024-09-17,54.19987012987013
2024-09-18,47.97
2024-09-19,48.59298701298701
2024-09-20,41.11714285714286
2024-09-21,47.34701298701299
2024-09-22,47.34701298701299
2024-09-23,59.806753246753246
2024-09-24,51.08493506493507
2024-09-25,52.953896103896106
2024-09-26,51.08493506493507
2024-09-27,48.59298701298701
2024-09-28,42.36311688311688
2024-09-29,47.34701298701299
2024-09-30,48.59298701298701
2024-10-01,46.72402597402597
2024-10-02,45.47805194805195
2024-10-03,47.34701298701299
2024-10-04,42.9861038961039
2024-10-05,52.33090909090909
2024-10-06,51.08493506493507
2024-10-07,46.72402597402597
2024-10-08,41.74012987012987
