Time,compensation
2023-02-19,41.38095238095239
2023-02-20,63.011904761904766
2023-02-21,73.35714285714286
2023-02-22,82.76190476190477
2023-02-23,80.8809523809524
2023-02-24,73.35714285714286
2023-02-25,47.96428571428572
2023-02-26,42.32142857142858
2023-02-27,77.11904761904762
2023-02-28,81.82142857142858
2023-03-01,78.05952380952382
2023-03-02,77.11904761904762
2023-03-03,65.83333333333334
2023-03-04,48.90476190476191
2023-03-05,42.32142857142858
2023-03-06,74.29761904761905
2023-03-07,94.04761904761905
2023-03-08,79.00000000000001
2023-03-09,77.11904761904762
2023-03-10,68.65476190476191
2023-03-11,47.96428571428572
2023-03-12,43.261904761904766
2023-03-13,71.47619047619048
2023-03-14,78.05952380952382
2023-03-15,77.11904761904762
2023-03-16,71.47619047619048
2023-03-17,69.5952380952381
2023-03-18,43.261904761904766
2023-03-19,43.261904761904766
2023-03-20,76.17857142857143
2023-03-21,77.11904761904762
2023-03-22,81.82142857142858
2023-03-23,79.00000000000001
2023-03-24,71.47619047619048
2023-03-25,55.48809523809524
2023-03-26,52.66666666666667
2023-03-27,92.16666666666667
2023-03-28,85.58333333333334
2023-03-29,84.64285714285715
2023-03-30,79.9404761904762
2023-03-31,72.41666666666667
2023-04-01,50.78571428571429
2023-04-02,47.96428571428572
2023-04-03,79.00000000000001
2023-04-04,80.8809523809524
2023-04-05,75.23809523809524
2023-04-06,75.23809523809524
2023-04-07,62.07142857142858
2023-04-08,45.142857142857146
2023-04-09,37.61904761904762
2023-04-10,78.05952380952382
2023-04-11,78.05952380952382
2023-04-12,79.00000000000001
2023-04-13,81.82142857142858
2023-04-14,73.35714285714286
2023-04-15,48.90476190476191
2023-04-16,50.78571428571429
2023-04-17,80.8809523809524
2023-04-18,85.58333333333334
2023-04-19,79.9404761904762
2023-04-20,75.23809523809524
2023-04-21,67.71428571428572
2023-04-22,42.32142857142858
2023-04-23,43.261904761904766
2023-04-24,76.17857142857143
2023-04-25,79.00000000000001
2023-04-26,75.21458333333334
2023-04-27,72.42842261904762
2023-04-28,71.49970238095239
2023-04-29,45.03705357142857
2023-04-30,45.03705357142857
2023-05-01,79.85818452380953
2023-05-02,80.78690476190476
2023-05-03,73.35714285714286
2023-05-04,73.35714285714286
2023-05-05,62.212500000000006
2023-05-06,39.464732142857144
2023-05-07,36.67857142857143
2023-05-08,72.42842261904762
2023-05-09,74.75610119047619
2023-05-10,74.28586309523808
2023-05-11,71.49970238095239
2023-05-12,66.8561011904762
2023-05-13,39.464732142857144
2023-05-14,33.433928571428574
2023-05-15,71.96994047619049
2023-05-16,76.14330357142856
2023-05-17,68.71354166666667
2023-05-18,73.35714285714286
2023-05-19,64.99866071428572
2023-05-20,40.39345238095238
2023-05-21,36.67857142857143
2023-05-22,64.54017857142858
2023-05-23,71.49970238095239
2023-05-24,72.42842261904762
2023-05-25,73.35714285714286
2023-05-26,59.60267857142857
2023-05-27,36.67857142857143
2023-05-28,31.176785714285714
2023-05-29,31.176785714285714
2023-05-30,61.43660714285714
2023-05-31,71.52321428571429
2023-06-01,69.68928571428572
2023-06-02,63.270535714285714
2023-06-03,39.42946428571428
2023-06-04,35.761607142857144
2023-06-05,65.10446428571429
2023-06-06,70.60625
2023-06-07,76.1080357142857
2023-06-08,70.60625
2023-06-09,64.1875
2023-06-10,38.512499999999996
2023-06-11,39.42946428571428
2023-06-12,71.52321428571429
2023-06-13,72.44017857142858
2023-06-14,74.27410714285713
2023-06-15,73.35714285714286
2023-06-16,67.85535714285714
2023-06-17,41.263392857142854
2023-06-18,37.59553571428571
2023-06-19,59.60267857142857
2023-06-20,75.19107142857142
2023-06-21,74.27410714285713
2023-06-22,75.19107142857142
2023-06-23,66.02142857142857
2023-06-24,44.93125
2023-06-25,46.76517857142857
2023-06-26,88.02857142857142
2023-06-27,91.69642857142857
2023-06-28,86.19464285714285
2023-06-29,82.52678571428571
2023-06-30,75.19107142857142
2023-07-01,49.51607142857143
2023-07-02,47.68214285714286
2023-07-03,56.85178571428571
2023-07-04,38.512499999999996
2023-07-05,75.19107142857142
2023-07-06,78.85892857142856
2023-07-07,71.52321428571429
2023-07-08,44.93125
2023-07-09,45.848214285714285
2023-07-10,84.36071428571428
2023-07-11,80.69285714285714
2023-07-12,78.85892857142856
2023-07-13,76.1080357142857
2023-07-14,76.1080357142857
2023-07-15,47.68214285714286
2023-07-16,50.433035714285715
2023-07-17,83.44375
2023-07-18,79.77589285714285
2023-07-19,81.60982142857142
2023-07-20,77.02499999999999
2023-07-21,67.85535714285714
2023-07-22,43.097321428571426
2023-07-23,41.263392857142854
2023-07-24,76.1080357142857
2023-07-25,80.69285714285714
2023-07-26,87.11160714285714
2023-07-27,76.1080357142857
2023-07-28,70.60625
2023-07-29,49.51607142857143
2023-07-30,38.512499999999996
2023-07-31,72.44017857142858
2023-08-01,79.77589285714285
2023-08-02,77.02499999999999
2023-08-03,80.69285714285714
2023-08-04,69.68928571428572
2023-08-05,40.34642857142857
2023-08-06,40.34642857142857
2023-08-07,77.02499999999999
2023-08-08,82.52678571428571
2023-08-09,77.02499999999999
2023-08-10,74.27410714285713
2023-08-11,69.68928571428572
2023-08-12,42.18035714285714
2023-08-13,39.42946428571428
2023-08-14,74.27410714285713
2023-08-15,74.27410714285713
2023-08-16,75.19107142857142
2023-08-17,75.19107142857142
2023-08-18,66.93839285714286
2023-08-19,44.93125
2023-08-20,35.761607142857144
2023-08-21,75.19107142857142
2023-08-22,71.52321428571429
2023-08-23,77.02499999999999
2023-08-24,75.19107142857142
2023-08-25,67.85535714285714
2023-08-26,40.34642857142857
2023-08-27,39.42946428571428
2023-08-28,75.19107142857142
2023-08-29,88.94553571428571
2023-08-30,79.77589285714285
2023-08-31,77.02499999999999
2023-09-01,68.77232142857143
2023-09-02,43.097321428571426
2023-09-03,38.512499999999996
2023-09-04,41.263392857142854
2023-09-05,76.1080357142857
2023-09-06,76.1080357142857
2023-09-07,77.02499999999999
2023-09-08,72.44017857142858
2023-09-09,50.433035714285715
2023-09-10,46.76517857142857
2023-09-11,79.77589285714285
2023-09-12,83.44375
2023-09-13,77.94196428571428
2023-09-14,74.27410714285713
2023-09-15,72.44017857142858
2023-09-16,44.93125
2023-09-17,37.59553571428571
2023-09-18,76.1080357142857
2023-09-19,78.85892857142856
2023-09-20,78.85892857142856
2023-09-21,80.69285714285714
2023-09-22,66.93839285714286
2023-09-23,44.93125
2023-09-24,41.263392857142854
2023-09-25,77.02499999999999
2023-09-26,79.77589285714285
2023-09-27,79.77589285714285
2023-09-28,79.77589285714285
2023-09-29,68.77232142857143
2023-09-30,43.097321428571426
2023-10-01,38.512499999999996
2023-10-02,77.94196428571428
2023-10-03,78.85892857142856
2023-10-04,78.85892857142856
2023-10-05,75.19107142857142
2023-10-06,66.93839285714286
2023-10-07,40.34642857142857
2023-10-08,36.67857142857143
2023-10-09,68.77232142857143
2023-10-10,75.19107142857142
2023-10-11,74.27410714285713
2023-10-12,77.02499999999999
2023-10-13,68.77232142857143
2023-10-14,44.01428571428571
2023-10-15,42.18035714285714
2023-10-16,75.19107142857142
2023-10-17,80.69285714285714
2023-10-18,78.85892857142856
2023-10-19,77.02499999999999
2023-10-20,63.270535714285714
2023-10-21,38.512499999999996
2023-10-22,40.34642857142857
2023-10-23,77.02499999999999
2023-10-24,83.44375
2023-10-25,76.1080357142857
2023-10-26,77.94196428571428
2023-10-27,65.10446428571429
2023-10-28,36.67857142857143
2023-10-29,37.59553571428571
2023-10-30,76.1080357142857
2023-10-31,77.02499999999999
2023-11-01,79.77589285714285
2023-11-02,76.1080357142857
2023-11-03,70.60625
2023-11-04,44.93125
2023-11-05,36.67857142857143
2023-11-06,75.19107142857142
2023-11-07,79.77589285714285
2023-11-08,75.19107142857142
2023-11-09,75.19107142857142
2023-11-10,63.270535714285714
2023-11-11,41.263392857142854
2023-11-12,35.761607142857144
2023-11-13,77.02499999999999
2023-11-14,76.1080357142857
2023-11-15,80.69285714285714
2023-11-16,77.02499999999999
2023-11-17,69.68928571428572
2023-11-18,44.01428571428571
2023-11-19,37.59553571428571
2023-11-20,71.52321428571429
2023-11-21,69.68928571428572
2023-11-22,53.18392857142857
2023-11-23,28.425892857142856
2023-11-24,31.176785714285714
2023-11-25,33.010714285714286
2023-11-26,32.09375
2023-11-27,71.52321428571429
2023-11-28,78.85892857142856
2023-11-29,78.85892857142856
2023-11-30,75.19107142857142
2023-12-01,68.77232142857143
2023-12-02,45.848214285714285
2023-12-03,40.34642857142857
2023-12-04,73.35714285714286
2023-12-05,77.94196428571428
2023-12-06,77.02499999999999
2023-12-07,72.44017857142858
2023-12-08,73.35714285714286
2023-12-09,44.01428571428571
2023-12-10,37.59553571428571
2023-12-11,71.52321428571429
2023-12-12,79.77589285714285
2023-12-13,73.35714285714286
2023-12-14,71.52321428571429
2023-12-15,67.85535714285714
2023-12-16,38.512499999999996
2023-12-17,34.84464285714286
2023-12-18,63.270535714285714
2023-12-19,69.68928571428572
2023-12-20,70.60625
2023-12-21,66.02142857142857
2023-12-22,50.744350749559075
2023-12-23,35.51821538800705
2023-12-24,29.059843474426806
2023-12-25,26.756112213403874
2023-12-26,47.51233465608465
2023-12-27,60.42907848324514
2023-12-28,65.0422012786596
2023-12-29,52.12545745149911
2023-12-30,37.36346450617283
2023-12-31,29.059843474426806
2024-01-01,29.523985890652554
2024-01-02,64.11957671957671
2024-01-03,78.881569664903
2024-01-04,76.11369598765431
2024-01-05,70.57794863315696
2024-01-06,43.36335427689594
2024-01-07,36.904982363315696
2024-01-08,75.19107142857142
2024-01-09,79.80419422398589
2024-01-10,81.64944334215167
2024-01-11,77.95894510582009
2024-01-12,73.34582231040564
2024-01-13,49.357583774250436
2024-01-14,36.44083994708994
2024-01-15,58.58382936507936
2024-01-16,76.11369598765431
2024-01-17,88.10781525573191
2024-01-18,82.57206790123456
2024-01-19,78.881569664903
2024-01-20,49.19909611992944
2024-01-21,44.55767195767195
2024-01-22,77.9759259259259
2024-01-23,83.54563492063491
2024-01-24,85.4022045855379
2024-01-25,88.1870590828924
2024-01-26,80.76078042328041
2024-01-27,49.19909611992944
2024-01-28,39.916247795414456
2024-01-29,75.19107142857142
2024-01-30,89.1153439153439
2024-01-31,92.8284832451499
2024-02-01,92.8284832451499
2024-02-02,81.6890652557319
2024-02-03,53.84052028218694
2024-02-04,46.41424162257495
2024-02-05,81.6890652557319
2024-02-06,81.6890652557319
2024-02-07,81.6890652557319
2024-02-08,86.3304894179894
2024-02-09,78.90421075837742
2024-02-10,46.41424162257495
2024-02-11,37.13139329805996
2024-02-12,69.62136243386242
2024-02-13,80.76078042328041
2024-02-14,77.04764109347441
2024-02-15,80.76078042328041
2024-02-16,74.26278659611992
2024-02-17,50.127380952380946
2024-02-18,39.916247795414456
2024-02-19,64.97993827160492
2024-02-20,79.83249559082891
2024-02-21,79.83249559082891
2024-02-22,80.76078042328041
2024-02-23,77.04764109347441
2024-02-24,53.84052028218694
2024-02-25,49.19909611992944
2024-02-26,81.6890652557319
2024-02-27,85.4022045855379
2024-02-28,84.4739197530864
2024-02-29,83.54563492063491
2024-03-01,77.04764109347441
2024-03-02,51.98395061728394
2024-03-03,44.55767195767195
2024-03-04,80.76078042328041
2024-03-05,82.6173500881834
2024-03-06,80.76078042328041
2024-03-07,77.04764109347441
2024-03-08,76.11935626102292
2024-03-09,50.127380952380946
2024-03-10,44.55767195767195
2024-03-11,76.11935626102292
2024-03-12,78.90421075837742
2024-03-13,77.04764109347441
2024-03-14,73.33450176366841
2024-03-15,75.19107142857142
2024-03-16,50.127380952380946
2024-03-17,45.485956790123446
2024-03-18,78.90421075837742
2024-03-19,83.54563492063491
2024-03-20,80.76078042328041
2024-03-21,77.9759259259259
2024-03-22,67.76479276895942
2024-03-23,49.19909611992944
2024-03-24,50.127380952380946
2024-03-25,83.54563492063491
2024-03-26,81.6890652557319
2024-03-27,83.54563492063491
2024-03-28,77.9759259259259
2024-03-29,62.19508377425043
2024-03-30,45.485956790123446
2024-03-31,39.916247795414456
2024-04-01,77.9759259259259
2024-04-02,81.6890652557319
2024-04-03,84.4739197530864
2024-04-04,90.0436287477954
2024-04-05,67.76479276895942
2024-04-06,46.41424162257495
2024-04-07,39.916247795414456
2024-04-08,70.54964726631393
2024-04-09,78.90421075837742
2024-04-10,82.6173500881834
2024-04-11,79.83249559082891
2024-04-12,75.19107142857142
2024-04-13,49.19909611992944
2024-04-14,51.05566578483244
2024-04-15,82.6173500881834
2024-04-16,82.6173500881834
2024-04-17,79.83249559082891
2024-04-18,75.19107142857142
2024-04-19,63.12336860670193
2024-04-20,46.41424162257495
2024-04-21,42.70110229276895
2024-04-22,80.76078042328041
2024-04-23,81.6890652557319
2024-04-24,83.54563492063491
2024-04-25,80.76078042328041
2024-04-26,68.69307760141092
2024-04-27,45.485956790123446
2024-04-28,38.05967813051146
2024-04-29,79.83249559082891
2024-04-30,75.19107142857142
2024-05-01,77.04764109347441
2024-05-02,74.26278659611992
2024-05-03,73.33450176366841
2024-05-04,44.55767195767195
2024-05-05,40.84453262786595
2024-05-06,72.40621693121692
2024-05-07,72.40621693121692
2024-05-08,77.04764109347441
2024-05-09,75.19107142857142
2024-05-10,72.40621693121692
2024-05-11,38.98796296296295
2024-05-12,34.34653880070546
2024-05-13,76.11935626102292
2024-05-14,70.54964726631393
2024-05-15,76.11935626102292
2024-05-16,73.33450176366841
2024-05-17,68.69307760141092
2024-05-18,46.41424162257495
2024-05-19,37.13139329805996
2024-05-20,70.54964726631393
2024-05-21,80.76078042328041
2024-05-22,76.11935626102292
2024-05-23,76.11935626102292
2024-05-24,65.90822310405643
2024-05-25,49.19909611992944
2024-05-26,36.20310846560846
2024-05-27,38.98796296296295
2024-05-28,74.26278659611992
2024-05-29,78.90421075837742
2024-05-30,75.19107142857142
2024-05-31,68.69307760141092
2024-06-01,46.41424162257495
2024-06-02,44.55767195767195
2024-06-03,76.11935626102292
2024-06-04,77.9759259259259
2024-06-05,78.90421075837742
2024-06-06,77.04764109347441
2024-06-07,69.62136243386242
2024-06-08,40.84453262786595
2024-06-09,40.84453262786595
2024-06-10,77.9759259259259
2024-06-11,77.9759259259259
2024-06-12,80.76078042328041
2024-06-13,77.04764109347441
2024-06-14,72.40621693121692
2024-06-15,51.05566578483244
2024-06-16,35.27482363315696
2024-06-17,69.62136243386242
2024-06-18,76.11935626102292
2024-06-19,64.05165343915343
2024-06-20,68.69307760141092
2024-06-21,69.62136243386242
2024-06-22,47.342526455026444
2024-06-23,42.70110229276895
2024-06-24,83.54563492063491
2024-06-25,79.83249559082891
2024-06-26,81.6890652557319
2024-06-27,80.76078042328041
2024-06-28,66.83650793650793
2024-06-29,41.772817460317455
2024-06-30,44.55767195767195
2024-07-01,84.4739197530864
2024-07-02,79.83249559082891
2024-07-03,69.62136243386242
2024-07-04,40.84453262786595
2024-07-05,51.98395061728394
2024-07-06,39.916247795414456
2024-07-07,40.84453262786595
2024-07-08,76.11935626102292
2024-07-09,81.6890652557319
2024-07-10,77.04764109347441
2024-07-11,77.04764109347441
2024-07-12,67.76479276895942
2024-07-13,44.55767195767195
2024-07-14,37.13139329805996
2024-07-15,77.9759259259259
2024-07-16,78.90421075837742
2024-07-17,81.6890652557319
2024-07-18,75.19107142857142
2024-07-19,85.4022045855379
2024-07-20,55.697089947089935
2024-07-21,51.98395061728394
2024-07-22,89.1153439153439
2024-07-23,89.1153439153439
2024-07-24,85.4022045855379
2024-07-25,80.76078042328041
2024-07-26,64.05165343915343
2024-07-27,48.27081128747795
2024-07-28,38.05967813051146
2024-07-29,73.33450176366841
2024-07-30,78.90421075837742
2024-07-31,78.90421075837742
2024-08-01,76.11935626102292
2024-08-02,77.04764109347441
2024-08-03,52.91223544973544
2024-08-04,51.98395061728394
2024-08-05,80.76078042328041
2024-08-06,81.6890652557319
2024-08-07,79.83249559082891
2024-08-08,77.9759259259259
2024-08-09,65.90822310405643
2024-08-10,45.485956790123446
2024-08-11,37.13139329805996
2024-08-12,72.40621693121692
2024-08-13,80.76078042328041
2024-08-14,78.90421075837742
2024-08-15,81.6890652557319
2024-08-16,67.76479276895942
2024-08-17,45.485956790123446
2024-08-18,45.36218547912992
2024-08-19,80.88455173427394
2024-08-20,80.88455173427394
2024-08-21,77.91404027042914
2024-08-22,78.90421075837742
2024-08-23,64.11353909465019
2024-08-24,40.9373611111111
2024-08-25,40.9373611111111
2024-08-26,75.93369929453262
2024-08-27,78.90421075837742
2024-08-28,75.93369929453262
2024-08-29,73.95335831863609
2024-08-30,71.50887492651381
2024-08-31,46.35235596707818
2024-09-01,34.006167695473245
2024-09-02,40.41133303938859
2024-09-03,73.95335831863609
2024-09-04,79.89438124632568
2024-09-05,76.45972736625512
2024-09-06,68.538363462669
2024-09-07,39.94719062316284
2024-09-08,35.52236625514403
2024-09-09,74.94352880658435
2024-09-10,75.93369929453262
2024-09-11,72.96318783068781
2024-09-12,79.89438124632568
2024-09-13,65.56785199882421
2024-09-14,43.9078725749559
2024-09-15,35.52236625514403
2024-09-16,73.64393004115226
2024-09-17,83.11243533215755
2024-09-18,79.95626690182245
2024-09-19,75.74804232804232
2024-09-20,67.33159318048206
2024-09-21,47.342526455026444
2024-09-22,38.92607730746619
2024-09-23,78.90421075837742
2024-09-24,75.74804232804232
2024-09-25,78.90421075837742
2024-09-26,74.69598618459729
