Time,wordle_unlimited
2023-10-19,10.891900409706903
2023-10-20,9.258115348250868
2023-10-21,4.220611408761425
2023-10-22,4.084462653640088
2023-10-23,8.849669082886859
2023-10-24,9.802710368736212
2023-10-25,9.53041285849354
2023-10-26,8.985817838008195
2023-10-27,9.121966593129532
2023-10-28,3.6760163882760795
2023-10-29,4.220611408761425
2023-10-30,8.032776552158841
2023-10-31,8.713520327765522
2023-11-01,9.258115348250868
2023-11-02,9.666561613614876
2023-11-03,9.121966593129532
2023-11-04,4.492908919004098
2023-11-05,4.492908919004098
2023-11-06,8.849669082886859
2023-11-07,8.032776552158841
2023-11-08,8.577371572644186
2023-11-09,9.938859123857549
2023-11-10,8.032776552158841
2023-11-11,4.901355184368106
2023-11-12,4.220611408761425
2023-11-13,8.168925307280176
2023-11-14,8.577371572644186
2023-11-15,9.666561613614876
2023-11-16,11.02804916482824
2023-11-17,11.844941695556257
2023-11-18,5.173652694610778
2023-11-19,4.629057674125434
2023-11-20,8.168925307280176
2023-11-21,8.305074062401513
2023-11-22,5.445950204853451
2023-11-23,4.492908919004098
2023-11-24,5.309801449732115
2023-11-25,4.629057674125434
2023-11-26,4.492908919004098
2023-11-27,7.760479041916168
2023-11-28,10.211156634100222
2023-11-29,11.02804916482824
2023-11-30,11.572644185313584
2023-12-01,12.389536716041603
2023-12-02,4.356760163882761
2023-12-03,4.084462653640088
2023-12-04,10.075007878978886
2023-12-05,10.61960289946423
2023-12-06,10.483454144342893
2023-12-07,12.11723920579893
2023-12-08,13.20642924676962
2023-12-09,5.173652694610778
2023-12-10,5.582098959974788
2023-12-11,10.755751654585566
2023-12-12,11.02804916482824
2023-12-13,12.389536716041603
2023-12-14,12.11723920579893
2023-12-15,12.11723920579893
2023-12-16,4.76520642924677
2023-12-17,4.901355184368106
2023-12-18,9.258115348250868
2023-12-19,10.891900409706903
2023-12-20,10.891900409706903
2023-12-21,8.849669082886859
2023-12-22,7.3757591040458195
2023-12-23,5.480965126909624
2023-12-24,5.684381931408591
2023-12-25,5.549039504470292
2023-12-26,5.074937846094723
2023-12-27,5.074937846094723
2023-12-28,4.872327369778793
2023-12-29,4.872327369778793
2023-12-30,5.143012223655392
2023-12-31,5.074937846094723
2024-01-01,4.736984942840492
2024-01-02,5.480965126909624
2024-01-03,7.24041667710752
2024-01-04,8.526572897112887
2024-01-05,9.203285031804386
2024-01-06,5.007669796717092
2024-01-07,4.195615235087294
2024-01-08,8.323156092613917
2024-01-09,8.593840946490518
2024-01-10,11.030004631379914
2024-01-11,11.706716766071413
2024-01-12,11.706716766071413
2024-01-13,4.8042529922181245
2024-01-14,4.8042529922181245
2024-01-15,4.8042529922181245
2024-01-16,7.443833481606488
2024-01-17,10.082607642811816
2024-01-18,12.248086473824614
2024-01-19,12.248086473824614
2024-01-20,5.210280273033023
2024-01-21,4.843299555189478
2024-01-22,9.955671307889483
2024-01-23,11.704640591707907
2024-01-24,12.511857184239485
2024-01-25,13.453609875526329
2024-01-26,12.64639328299475
2024-01-27,5.112371752700005
2024-01-28,4.305155160168425
2024-01-29,10.22474350540001
2024-01-30,11.570104492952643
2024-01-31,11.435568394197379
2024-02-01,12.24278498672896
2024-02-02,11.83917669046317
2024-02-03,3.767010765147372
2024-02-04,4.170619061413162
2024-02-05,8.879382517847377
2024-02-06,11.301032295442116
2024-02-07,11.166496196686854
2024-02-08,12.377321085484223
2024-02-09,12.377321085484223
2024-02-10,4.4396912589236885
2024-02-11,4.305155160168425
2024-02-12,8.61031032033685
2024-02-13,10.359279604155272
2024-02-14,10.762887900421063
2024-02-15,11.973712789218432
2024-02-16,9.955671307889483
2024-02-17,4.574227357678952
2024-02-18,4.843299555189478
2024-02-19,4.708763456434215
2024-02-20,8.744846419092113
2024-02-21,8.879382517847377
2024-02-22,9.013918616602641
2024-02-23,10.6283518016658
2024-02-24,4.574227357678952
2024-02-25,3.632474666392109
2024-02-26,9.013918616602641
2024-02-27,9.686599110378957
2024-02-28,10.359279604155272
2024-02-29,11.301032295442116
2024-03-01,11.704640591707907
2024-03-02,3.767010765147372
2024-03-03,4.708763456434215
2024-03-04,9.148454715357904
2024-03-05,10.493815702910537
2024-03-06,12.108248887973696
2024-03-07,12.780929381750013
2024-03-08,11.570104492952643
2024-03-09,4.170619061413162
2024-03-10,4.305155160168425
2024-03-11,8.475774221581588
2024-03-12,8.879382517847377
2024-03-13,9.148454715357904
2024-03-14,10.897423999176326
2024-03-15,9.282990814113166
2024-03-16,4.843299555189478
2024-03-17,4.4396912589236885
2024-03-18,9.148454715357904
2024-03-19,10.22474350540001
2024-03-20,9.148454715357904
2024-03-21,10.493815702910537
2024-03-22,10.762887900421063
2024-03-23,4.170619061413162
2024-03-24,4.4396912589236885
2024-03-25,8.475774221581588
2024-03-26,7.803093727805271
2024-03-27,9.41752691286843
2024-03-28,9.552063011623694
2024-03-29,6.7268049377631645
2024-03-30,4.170619061413162
2024-03-31,4.170619061413162
2024-04-01,6.323196641497375
2024-04-02,8.879382517847377
2024-04-03,9.955671307889483
2024-04-04,10.359279604155272
2024-04-05,11.435568394197379
2024-04-06,4.977835653944742
2024-04-07,4.036082962657899
2024-04-08,7.803093727805271
2024-04-09,9.013918616602641
2024-04-10,9.282990814113166
2024-04-11,11.570104492952643
2024-04-12,12.377321085484223
2024-04-13,4.170619061413162
2024-04-14,4.036082962657899
2024-04-15,9.013918616602641
2024-04-16,10.359279604155272
2024-04-17,9.82113520913422
2024-04-18,10.6283518016658
2024-04-19,11.435568394197379
2024-04-20,3.3634024688815822
2024-04-21,3.632474666392109
