Time,underworld
2022-07-05,36.10749564023223
2022-07-06,30.067314825784248
2022-07-07,31.246851949429967
2022-07-08,31.223696480044318
2022-07-09,39.60068666737447
2022-07-10,41.96955745940599
2022-07-11,34.74894892633591
2022-07-12,28.73637655615544
2022-07-13,37.09021127409994
2022-07-14,34.67146716339163
2022-07-15,37.03499438556493
2022-07-16,39.39495922783274
2022-07-17,48.9087379799428
2022-07-18,41.72019086602209
2022-07-19,33.35121603347928
2022-07-20,38.08717642758959
2022-07-21,33.3013427148025
2022-07-22,38.03017834910184
2022-07-23,40.37678426672409
2022-07-24,39.15984215407078
2022-07-25,36.75890994288989
2022-07-26,35.546420805118444
2022-07-27,30.783742561717006
2022-07-28,31.94368659588256
2022-07-29,33.10184944009538
2022-07-30,35.43954940795391
2022-07-31,41.31497015177324
2022-08-01,36.565650833017365
2022-08-02,33.00210280274182
2022-08-03,35.33267801078939
2022-08-04,37.65969083893147
2022-08-05,36.45521705594736
2022-08-06,44.653197653026915
2022-08-07,43.445161490137316
2022-08-08,37.545694681955965
2022-08-09,32.82754618737309
2022-08-10,32.802609528034694
2022-08-11,32.7776728686963
2022-08-12,29.243514472640992
2022-08-13,31.55894956609025
2022-08-14,37.37470044649272
2022-08-15,33.84499502531927
2022-08-16,32.65298957200435
2022-08-17,32.62805291266596
2022-08-18,34.931910271422396
2022-08-19,32.57817959398918
2022-08-20,46.50463276378684
2022-08-21,45.30728374061369
2022-08-22,33.66420424511594
2022-08-23,33.63837699080118
2022-08-24,38.24876349324316
2022-08-25,35.90304817059728
2022-08-26,32.40362297862045
2022-08-27,40.47335789910257
2022-08-28,45.06415131206439
2022-08-29,33.15514470545268
2022-08-30,35.2673271820974
2022-08-31,34.663693278877695
2022-09-01,33.98189604165743
2022-09-02,32.15007355353786
2022-09-03,33.354277193338795
2022-09-04,36.35933331752217
2022-09-05,39.11200514086546
2022-09-06,32.05057139323664
2022-09-07,28.349878884406063
2022-09-08,32.000820313086024
2022-09-09,31.975944773010713
2022-09-10,33.173486413135464
2022-09-11,34.044147574204636
2022-09-12,46.46910155635554
2022-09-13,33.09600465019118
2022-09-14,31.851567072634186
