Time,rockauto
2023-01-20,79.5145631067961
2023-01-21,91.02324987225344
2023-01-22,79.5145631067961
2023-01-23,75.32958610117527
2023-01-24,78.46831885539089
2023-01-25,77.42207460398568
2023-01-26,73.23709759836484
2023-01-27,76.37583035258046
2023-01-28,85.79202861522738
2023-01-29,84.74578436382217
2023-01-30,74.28334184977005
2023-01-31,76.37583035258046
2023-02-01,73.23709759836484
2023-02-02,77.42207460398568
2023-02-03,75.32958610117527
2023-02-04,86.8382728666326
2023-02-05,94.16198262646907
2023-02-06,87.8845171180378
2023-02-07,80.56080735820132
2023-02-08,81.60705160960653
2023-02-09,82.65329586101174
2023-02-10,83.69954011241695
2023-02-11,94.16198262646907
2023-02-12,84.74578436382217
2023-02-13,79.5145631067961
2023-02-14,82.65329586101174
2023-02-15,81.60705160960653
2023-02-16,87.8845171180378
2023-02-17,81.60705160960653
2023-02-18,104.6244251405212
2023-02-19,91.02324987225344
2023-02-20,101.48569238630556
2023-02-21,88.93076136944302
2023-02-22,88.93076136944302
2023-02-23,84.74578436382217
2023-02-24,88.93076136944302
2023-02-25,94.16198262646907
2023-02-26,93.11573837506386
2023-02-27,93.11573837506386
2023-02-28,88.93076136944302
2023-03-01,92.06949412365864
2023-03-02,83.69954011241695
2023-03-03,83.69954011241695
2023-03-04,94.16198262646907
2023-03-05,100.43944813490035
2023-03-06,94.16198262646907
2023-03-07,95.20822687787428
2023-03-08,91.02324987225344
2023-03-09,89.97700562084823
2023-03-10,82.65329586101174
2023-03-11,95.20822687787428
2023-03-12,87.8845171180378
2023-03-13,80.56080735820132
2023-03-14,80.56080735820132
2023-03-15,82.65329586101174
2023-03-16,92.06949412365864
2023-03-17,82.65329586101174
2023-03-18,95.20822687787428
2023-03-19,91.02324987225344
2023-03-20,87.8845171180378
2023-03-21,84.74578436382217
2023-03-22,91.02324987225344
2023-03-23,92.06949412365864
2023-03-24,85.79202861522738
2023-03-25,94.16198262646907
2023-03-26,95.20822687787428
2023-03-27,89.97700562084823
2023-03-28,91.02324987225344
2023-03-29,87.8845171180378
2023-03-30,85.79202861522738
2023-03-31,82.65329586101174
2023-04-01,92.06949412365864
2023-04-02,87.8845171180378
2023-04-03,92.06949412365864
2023-04-04,86.8382728666326
2023-04-05,82.65329586101174
2023-04-06,86.8382728666326
2023-04-07,83.69954011241695
2023-04-08,96.2544711292795
2023-04-09,87.8845171180378
2023-04-10,91.02324987225344
2023-04-11,87.8845171180378
2023-04-12,93.11573837506386
2023-04-13,88.93076136944302
2023-04-14,91.02324987225344
2023-04-15,94.16198262646907
2023-04-16,95.20822687787428
2023-04-17,87.8845171180378
2023-04-18,86.8382728666326
2023-04-19,85.79202861522738
2023-04-20,84.74578436382217
2023-04-21,83.69954011241695
2023-04-22,95.20822687787428
2023-04-23,92.06949412365864
2023-04-24,86.8382728666326
2023-04-25,85.79202861522738
2023-04-26,83.66004548226896
2023-04-27,80.46170733531463
2023-04-28,78.32948190401174
2023-04-29,90.57984390188022
2023-04-30,87.3815057549259
2023-05-01,82.59393276661751
2023-05-02,80.46170733531463
2023-05-03,79.39559461966319
2023-05-04,81.52782005096607
2023-05-05,83.66004548226896
2023-05-06,94.3211726387834
2023-05-07,91.12283449182907
2023-05-08,90.05672177617762
2023-05-09,90.05672177617762
2023-05-10,90.05672177617762
2023-05-11,82.59393276661751
2023-05-12,82.59393276661751
2023-05-13,90.57984390188022
2023-05-14,91.12283449182907
2023-05-15,88.99060906052617
2023-05-16,92.18894720748051
2023-05-17,92.18894720748051
2023-05-18,86.85838362922328
2023-05-19,88.99060906052617
2023-05-20,93.77818204883455
2023-05-21,92.18894720748051
2023-05-22,86.85838362922328
2023-05-23,91.12283449182907
2023-05-24,84.7261581979204
2023-05-25,86.85838362922328
2023-05-26,86.87849439181399
2023-05-27,89.05045675160933
2023-05-28,79.27662613253027
2023-05-29,83.62055085212096
2023-05-30,85.79251321191632
2023-05-31,85.79251321191632
2023-06-01,85.79251321191632
2023-06-02,94.4803626510977
2023-06-03,95.56634383099538
2023-06-04,96.65232501089307
2023-06-05,91.22241911140469
2023-06-06,90.13643793150702
2023-06-07,90.13643793150702
2023-06-08,83.62055085212096
2023-06-09,89.05045675160933
2023-06-10,92.30840029130236
2023-06-11,92.30840029130236
2023-06-12,85.79251321191632
2023-06-13,91.22241911140469
2023-06-14,89.05045675160933
2023-06-15,89.05045675160933
2023-06-16,91.22241911140469
2023-06-17,92.30840029130236
2023-06-18,85.79251321191632
2023-06-19,92.30840029130236
2023-06-20,85.79251321191632
2023-06-21,93.39438147120003
2023-06-22,84.70653203201864
2023-06-23,91.22241911140469
2023-06-24,92.30840029130236
2023-06-25,92.30840029130236
2023-06-26,90.13643793150702
2023-06-27,94.4803626510977
2023-06-28,87.96447557171166
2023-06-29,85.79251321191632
2023-06-30,83.62055085212096
2023-07-01,86.87849439181399
2023-07-02,85.79251321191632
2023-07-03,87.96447557171166
2023-07-04,92.30840029130236
2023-07-05,85.79251321191632
2023-07-06,97.73830619079074
2023-07-07,90.13643793150702
2023-07-08,94.4803626510977
2023-07-09,91.22241911140469
2023-07-10,87.96447557171166
2023-07-11,86.87849439181399
2023-07-12,86.87849439181399
2023-07-13,85.79251321191632
2023-07-14,84.70653203201864
2023-07-15,89.05045675160933
2023-07-16,86.87849439181399
2023-07-17,89.05045675160933
2023-07-18,94.4803626510977
2023-07-19,95.56634383099538
2023-07-20,93.39438147120003
2023-07-21,86.87849439181399
2023-07-22,93.39438147120003
2023-07-23,84.70653203201864
2023-07-24,86.87849439181399
2023-07-25,90.13643793150702
2023-07-26,87.96447557171166
2023-07-27,81.44858849232561
2023-07-28,87.96447557171166
2023-07-29,87.96447557171166
2023-07-30,91.22241911140469
2023-07-31,91.22241911140469
2023-08-01,90.13643793150702
2023-08-02,84.70653203201864
2023-08-03,87.96447557171166
2023-08-04,93.39438147120003
2023-08-05,105.34017445007446
2023-08-06,97.73830619079074
2023-08-07,108.59811798976749
2023-08-08,98.82428737068841
2023-08-09,90.13643793150702
2023-08-10,83.62055085212096
2023-08-11,105.34017445007446
2023-08-12,99.91026855058608
2023-08-13,95.56634383099538
2023-08-14,90.13643793150702
2023-08-15,89.05045675160933
2023-08-16,89.05045675160933
2023-08-17,87.96447557171166
2023-08-18,89.05045675160933
2023-08-19,98.82428737068841
2023-08-20,93.39438147120003
2023-08-21,87.96447557171166
2023-08-22,97.73830619079074
2023-08-23,85.79251321191632
