Time,minecraft
2023-04-06,61.90356129845573
2023-04-07,65.44090765836748
2023-04-08,74.28427355814688
2023-04-09,72.515600378191
2023-04-10,61.90356129845573
2023-04-11,56.59754175858809
2023-04-12,53.060195398676335
2023-04-13,52.1758588086984
2023-04-14,58.36621493854397
2023-04-15,70.74692719823511
2023-04-16,76.9372833280807
2023-04-17,56.59754175858809
2023-04-18,58.36621493854397
2023-04-19,58.36621493854397
2023-04-20,54.82886857863222
2023-04-21,54.82886857863222
2023-04-22,73.39993696816893
2023-04-23,80.47462968799245
2023-04-24,55.71320516861015
2023-04-25,50.40718562874252
2023-04-26,52.27789764600355
2023-04-27,50.4582050473951
2023-04-28,54.53975853960097
2023-04-29,68.6551310334796
2023-04-30,76.81823801789136
2023-05-01,52.27789764600355
2023-05-02,50.4582050473951
2023-05-03,50.01603675240612
2023-05-04,46.818819850178194
2023-05-05,50.4582050473951
2023-05-06,61.818528934034774
2023-05-07,69.09729932846858
2023-05-08,50.4582050473951
2023-05-09,46.818819850178194
2023-05-10,50.01603675240612
2023-05-11,48.63851244878664
2023-05-12,51.36805134669932
2023-05-13,59.99883633542632
2023-05-14,63.63822153264322
2023-05-15,48.63851244878664
2023-05-16,47.728666149482414
2023-05-17,51.36805134669932
2023-05-18,47.728666149482414
2023-05-19,48.63851244878664
2023-05-20,60.908682634730546
2023-05-21,63.63822153264322
2023-05-22,48.63851244878664
2023-05-23,48.63851244878664
2023-05-24,45.90897355087397
2023-05-25,50.01603675240612
2023-05-26,51.44458047467818
2023-05-27,63.60420858687484
2023-05-28,64.53956459550535
2023-05-29,67.34563262139689
2023-05-30,51.44458047467818
2023-05-31,52.3799364833087
2023-06-01,51.44458047467818
2023-06-02,52.3799364833087
2023-06-03,61.73349656961382
2023-06-04,72.02241266454945
2023-06-05,56.121360517830745
2023-06-06,57.05671652646126
2023-06-07,78.56990472496304
2023-06-08,83.2466847681156
2023-06-09,80.44061674222407
2023-06-10,87.92346481126816
2023-06-11,93.53560086305124
2023-06-12,78.56990472496304
2023-06-13,76.69919270770201
2023-06-14,75.7638366990715
2023-06-15,74.82848069044098
2023-06-16,74.82848069044098
2023-06-17,86.98810880263765
2023-06-18,83.2466847681156
2023-06-19,79.50526073359356
2023-06-20,73.89312468181048
2023-06-21,71.08705665591894
2023-06-22,70.15170064728842
2023-06-23,74.82848069044098
2023-06-24,83.2466847681156
2023-06-25,86.98810880263765
2023-06-26,73.89312468181048
2023-06-27,78.56990472496304
2023-06-28,74.82848069044098
2023-06-29,69.21634463865792
2023-06-30,68.28098863002741
2023-07-01,72.02241266454945
2023-07-02,80.44061674222407
2023-07-03,79.50526073359356
2023-07-04,78.56990472496304
2023-07-05,63.60420858687484
2023-07-06,70.15170064728842
2023-07-07,67.34563262139689
2023-07-08,78.56990472496304
2023-07-09,78.56990472496304
2023-07-10,66.41027661276638
2023-07-11,69.21634463865792
2023-07-12,65.47492060413586
2023-07-13,66.41027661276638
2023-07-14,65.47492060413586
