,Count,Mean,Std,Min,25%,50%,75%,Max
destitute,1612.0,45.60669975186104,24.354934477462717,0.0,33.351383874849574,44.89741302408564,59.274455152960144,318.24742268041234
domination,1612.0,63.779156327543426,11.316117174744384,40.99417475728156,56.35219473767134,61.55040752351097,68.62053281697183,134.22093023255812
donate,1612.0,50.98511166253102,8.146778632817343,23.38862559241706,45.6555807916937,49.30282861896838,54.975147494668036,147.04142011834318
donation,1612.0,69.66687344913151,10.873405462728012,32.10757946210269,62.822529411764705,67.12333215879728,74.34325678809185,120.73643410852716
economize,1612.0,3.4522332506203472,35.567462119538995,0.0,0.0,0.0,0.0,700.0
endow,1612.0,3.6476426799007444,5.354293755936826,0.0,0.0,0.0,6.679666829985301,42.00000000000001
entrepreneurial,1612.0,26.458436724565757,13.95660844029994,0.0,17.89474822974036,24.518268590455047,32.01882352941176,277.0053475935829
equity,1612.0,50.155086848635236,16.891370150887248,11.290322580645162,39.113215175488435,49.14910778015704,55.66515976331361,127.81316348195328
expense,1612.0,35.35049627791563,15.73565517415257,5.82262996941896,24.262135922330096,33.52113162832033,41.73262161064283,132.50478011472276
expensive,1612.0,73.30955334987593,9.864396424254684,52.629629629629626,66.12429378531073,70.98014440433212,78.12228260869564,107.085346215781
extravagant,1612.0,52.984491315136474,16.152346438989355,0.0,42.20405481615159,52.13983165897366,62.74154196486663,204.16666666666669
fellowship,1612.0,61.17803970223325,13.137750773101324,30.5166163141994,52.15691413493083,58.49750157697493,68.69625018147629,143.4426229508197
fine,1612.0,54.776054590570716,11.20389126007083,38.94545454545455,48.07813658265381,51.04339278963468,56.50240040216162,106.49762282091918
fire,1612.0,23.046526054590572,7.156662320853098,4.798219584569733,19.94000973808233,21.46666666666667,24.37851368389824,107.6923076923077
frugal,1612.0,60.71650124069479,10.939408380382115,34.25531914893617,53.296320853200925,59.02319795589026,66.44172453652445,119.2214111922141
gain,1612.0,68.75372208436724,11.757771497311559,35.75268817204301,60.41466275768516,67.29480154182727,75.45629641089108,144.01913875598086
