,Factor1,Factor2,Factor3
fellowship,-0.10199252214314737,-0.1713225391543375,-0.598050483636594
fine,0.2626982025982926,0.4081043814293711,-0.10823408589668959
fire,-0.10173113749457992,0.1358969466696291,-0.1668378692896986
frugal,0.14235844346555818,0.15963731390812466,-0.08887861991298836
gain,0.6804020712520751,0.022121131509514166,-0.2858076254177061
gamble,0.1631361312382904,0.18578932427626185,-0.10961024191596933
generosity,0.4767462431360995,-0.15592528824964613,-0.271843522726465
ghetto,-0.3840366312918894,0.1473219203540829,-0.32977819305267353
gift,-0.4302354178463944,0.42673865519317533,0.010968042897132886
gold,-0.1659207856702831,0.42563521677701266,-0.22850914529877292
guide,0.667094468225575,0.25031421681560406,-0.1385207632618729
hole,-0.37349413480063987,0.37188715381681925,-0.38764448001340396
hustle,-0.30897341207334456,0.2450914001072974,-0.22154403317080187
hustler,-0.4442770482911316,0.3443360485083726,-0.06976108838047093
inexpensive,-0.1781138060233111,0.6198036395964086,-0.12060431508874857
inflation,0.607059191928174,-0.05525291612880724,-0.09950176652360677
inherit,0.5649296203392393,-0.11648477740992089,-0.22229113711991638
intervention,0.9093255771027857,-0.06686394890535012,-0.13337814421824126
invaluable,0.8010813720393063,-0.1154668980970713,0.03240829595867621
jobless,0.11502215368159943,0.012655829120462522,-0.22291186805602461
laid,0.6077604004164363,-0.019121387510975234,-0.18816536803498418
lay,-0.30936335106473944,0.2491627661843128,-0.35337973841602
legal,0.8296540771391582,0.07378213377750856,-0.06877055075409363
liquidate,0.42141690066746634,-0.02349053195016515,0.10252670034654408
liquidation,-0.07696496716361709,0.5267212631923717,0.0406474896668927
lucrative,0.5699264640196914,-0.09009138710416656,-0.21122873068695994
luxury,-0.38925632712291103,0.6251431173199026,-0.07586801476172438
meritorious,0.4413849380100646,-0.05758642894687553,0.08667980004856664
miser,-0.047732794254176675,-0.06626184441132668,-0.05356630844657206
negotiate,0.8813343936782145,0.07653841816280549,0.11804758965626605
nobility,0.4530359827985671,-0.10519647130793988,-0.2255156838327707
nobleman,0.1810037668412265,-0.011504763819199917,-0.045857657948887645
owe,0.7085184232643337,0.12637681982636173,0.06131214941916578
partner,0.5457432924787704,0.1266301719631172,-0.13016298995569586
partnership,0.957621077098767,-0.0493291237384748,0.10757213465565472
patron,-0.5019140857244874,0.1627134690998712,-0.2596529995074414
patronage,0.4611635110728401,-0.033363777577657024,-0.019779026402030345
pollution,0.8737978070806837,-0.22334104912298403,-0.1911268823219802
poor,0.5937749599569472,0.006353631815049025,-0.31829758644220696
poverty,0.9127258258335424,-0.09421324864413952,-0.18397597859892456
precious,-0.0496667554170995,0.21942916763403708,-0.23963320829612383
priceless,-0.05539332765332675,0.08929687413204943,-0.09620599713045197
privileged,0.7462666351341616,-0.07480939235268774,0.025702911549779127
productive,0.8498001401188995,-0.10503039969110903,-0.1508955730617192
productivity,0.8894866695155164,-0.011469636012166556,-0.12217255158693195
profit,0.9428256606890879,0.0008146127346090263,-0.07339720557351605
profitable,0.431520068283815,0.1283752887378673,-0.41535050379912924
prosper,0.5452214125998488,0.13929140986506733,0.16970018981083385
prosperity,0.7925438832146363,-0.0698233950908495,0.12717492120700566
prosperous,0.5835991159527354,-0.16576464585260972,-0.05086187248334526
race,-0.5342054233376433,0.06452994565518522,-0.32142627752011776
radical,0.8508533808721574,-0.22768390909618258,-0.22207824624693873
recession,0.6016022705941123,0.013081731193233935,-0.08160353920609743
recompense,0.19237929277542307,-0.06888868716450078,-0.07398578934319874
redemption,-0.6494772267278949,0.3059279571759572,-0.2657679710375984
reparation,0.2486301873776714,-0.015868741969301214,-0.0452040065638334
reward,0.21492221402872608,0.4141457177134006,-0.2813057247368299
rich,0.07284233290295772,0.08637827407350339,-0.17844371531353218
riches,-0.11014698243283032,0.11483573760159688,-0.22313780235747718
richness,0.38018378368571687,-0.10175927429934654,-0.012046952385985896
ruin,-0.2536906375084635,0.2213868080745409,-0.24064766769648582
savings,0.4131953601642705,0.12486068090108565,0.16449940083158504
security,0.918982950296013,0.05336458962185412,0.22282729536909857
segregation,0.8416452892963736,-0.2303066190706662,-0.18410750168492412
shortage,0.5487462919804437,0.14586512432819873,-0.1439036191661677
skill,0.3941536177102903,0.26279406258768945,-0.47107702000569723
squander,0.33201709908684185,-0.11263192900819241,-0.04209839184702428
steal,-0.25517587795038943,0.223132491119305,-0.28013177109797227
subsidize,0.3840635721553103,-0.03333915184147533,0.0024962788831286212
subsidy,0.806900783361347,-0.010823113830411953,0.060876398235728955
success,0.9185600298670977,-0.05224015189006974,-0.05490690656955445
successful,0.9177605742262158,-0.19568433414592662,-0.21161624603039286
tariff,0.7536604157813023,-0.1445308877974096,-0.013923124384192461
thrift,-0.6224627708286429,0.5916290416643653,0.17612571384881154
thrifty,0.12440162726411125,0.3046456010288636,0.18784474071926888
treasure,-0.6739328156015373,0.2880188313596573,-0.2518430839041171
underworld,-0.27666669099892616,0.19093452096966385,-0.30364608068315063
unemployed,0.8164294383124686,-0.03680134340819321,-0.05396781306584985
unprofitable,0.091773111374224,-0.03505559651410279,0.0017338091224606057
vagabond,-0.3635382172085922,0.22430677219565207,-0.15195975817048166
vagrant,0.25531744464209266,-0.005695754303799083,-0.07448969574218439
valuable,0.3448158808697804,0.03766226924320472,-0.47045756002165107
warfare,-0.23089885080756525,0.12433121893338103,-0.29706325342877077
waste,0.5694680542823558,0.32265515250371474,0.36294475215142397
worth,-0.5486133255807987,0.30406379413419926,-0.29926416640975223
