date,vix,vix_change,vix_pct_change,vix_log_change,vix_change_z,vix_shock_pos_1sd,vix_shock_pos_2sd,vix_shock_neg_1sd,vix_shock_abs_2sd
2022-09-26,32.2599983215332,2.339998245239258,0.07820849730188573,0.07530086501150457,1.16977237995642,1,0,0,0
2022-09-28,30.18000030517578,-2.4199981689453125,-0.07423307614159502,-0.07713277811500152,-1.295900717918079,0,0,1,0
2022-11-10,23.530000686645508,-2.559999465942383,-0.09812186473630413,-0.10327587307618202,-1.4210925440086093,0,0,1,0
2022-12-12,25.0,2.170000076293949,0.09505037597659727,0.09080036766832489,1.2051060778456446,1,0,0,0
2022-12-13,22.549999237060547,-2.450000762939453,-0.09800003051757811,-0.10314079275274901,-1.3959664857376104,0,0,1,0
2022-12-22,21.96999931335449,1.8999996185302699,0.09466864212360959,0.09045170754006282,1.0648005346525924,1,0,0,0
2023-01-12,18.82999992370605,-2.2600002288818395,-0.1071598014476316,-0.11334766310842781,-1.3085036365277745,0,0,1,0
2023-02-16,20.170000076293945,1.9400005340576172,0.10641802428809233,0.10112779216855383,1.1471481370852668,1,0,0,0
2023-02-21,22.8700008392334,2.8500003814697266,0.14235765815702117,0.13309424797811653,1.6851612210026459,1,0,0,0
2023-03-09,22.61000061035156,3.5,0.18315017730057592,0.16818052309360132,2.0985260241060892,1,1,0,1
2023-03-10,24.799999237060547,2.189998626708988,0.09685973319727981,0.0924513091226089,1.2966465873540012,1,0,0,0
2023-03-13,26.520000457763672,1.720001220703125,0.06935489006518969,0.06705556017148684,1.010249974943925,1,0,0,0
2023-03-14,23.729999542236328,-2.7900009155273438,-0.10520365261572151,-0.11115913142156764,-1.685275045230442,0,0,1,0
2023-03-15,26.13999938964844,2.409999847412113,0.10155920328285828,0.0967266336895749,1.419985489950379,1,0,0,0
2023-03-16,22.989999771118164,-3.149999618530277,-0.12050496144149458,-0.12840735602736508,-1.8902807369785468,0,0,1,0
2023-03-17,25.51000022888184,2.5200004577636754,0.10961289616581449,0.10401121230658239,1.4782024752233571,1,0,0,0
2023-03-21,21.3799991607666,-2.7700004577636754,-0.11469981372746096,-0.12182849795903428,-1.6510691069230254,0,0,1,0
2023-04-25,18.76000022888184,1.870000839233402,0.11071645392595397,0.10500526109575503,1.1366557058964901,1,0,0,0
2023-04-27,17.030000686645508,-1.8099994659423828,-0.09607215771140842,-0.1010057422530064,-1.1060447701995566,0,0,1,0
2023-05-02,17.780000686645508,1.7000007629394531,0.10572144098292036,0.10049800969856815,1.0377204018472528,1,0,0,0
2023-05-04,20.09000015258789,1.75,0.09541984653435587,0.09113771127378989,1.0653796901290888,1,0,0,0
2023-05-05,17.190000534057617,-2.8999996185302734,-0.14435040301165503,-0.15589433595937763,-1.7767686027546055,0,0,1,0
2023-06-01,15.649999618530272,-2.2900009155273455,-0.1276477618370171,-0.1365619937886482,-1.422007274431388,0,0,1,0
2023-08-02,16.09000015258789,2.159999847412111,0.15506100503167608,0.14415316078816742,1.4055024180720597,1,0,0,0
2023-08-15,16.459999084472656,1.6399993896484357,0.11066122965044278,0.10495554035179389,1.0736656137376732,1,0,0,0
2023-09-21,17.540000915527344,2.40000057220459,0.15852050976095722,0.1471437684547392,1.6061805897437054,1,0,0,0
2023-09-26,18.940000534057617,2.0400009155273438,0.12071011606950299,0.11396251659841727,1.3633884291292921,1,0,0,0
2023-10-03,19.780000686645508,2.1700000762939453,0.1232254401523627,0.1162044037412091,1.4534598714884612,1,0,0,0
2023-10-13,19.31999969482422,2.6299991607666016,0.15757933352966802,0.1463310433161218,1.7711941633316495,1,0,0,0
2023-10-16,17.209999084472656,-2.1100006103515625,-0.10921328383441054,-0.11565025596248235,-1.42181302559033,0,0,1,0
2023-10-19,21.399999618530277,2.1800003051757884,0.11342353709976849,0.10743953638554471,1.4608070052287359,1,0,0,0
2023-10-30,19.75,-1.5200004577636719,-0.07146217325109949,-0.07414415938657903,-1.030619199543765,0,0,1,0
2023-10-31,18.13999938964844,-1.610000610351559,-0.08151901824564856,-0.0850340803068641,-1.088913704169689,0,0,1,0
2024-02-13,15.850000381469728,1.9200000762939489,0.13783201968635717,0.12912471469125686,1.377948867759342,1,0,0,0
2024-02-14,14.380000114440918,-1.4700002670288104,-0.09274449411038443,-0.09733116413954024,-1.050324964050157,0,0,1,0
2024-04-04,16.350000381469727,2.02000045776367,0.14096304734949738,0.13187268415873454,1.4848526753517357,1,0,0,0
2024-04-12,17.309999465942383,2.3999996185302734,0.16096577083110009,0.1492522197928512,1.7668189386012267,1,0,0,0
2024-04-15,19.229999542236328,1.9200000762939453,0.11091855202373435,0.10518719746045635,1.4081855842964903,1,0,0,0
2024-04-22,16.940000534057617,-1.769998550415039,-0.09460174436266822,-0.09938037060315086,-1.3043477639748822,0,0,1,0
2024-05-29,14.279999732971191,1.3599996566772479,0.10526313070017879,0.10008343395238173,1.0208671460327434,1,0,0,0
2024-05-31,12.920000076293944,-1.550000190734865,-0.10711818674023654,-0.11330105483779285,-1.1565476542291955,0,0,1,0
2024-07-18,15.93000030517578,1.4500007629394513,0.10013817740186948,0.0954357877351999,1.1108936501538322,1,0,0,0
2024-07-22,14.90999984741211,-1.6100006103515625,-0.09745766136434542,-0.10253967725977953,-1.2310951069379017,0,0,1,0
2024-07-24,18.040000915527344,3.320000648498535,0.22554351822499452,0.20338443394305505,2.5420269991811733,1,1,0,1
2024-07-26,16.389999389648438,-2.0699996948242188,-0.11213433355830271,-0.11893482396303545,-1.5801502999155488,0,0,1,0
2024-07-31,16.360000610351562,-1.3299999237060547,-0.07518371303299154,-0.07816016987934349,-1.0149710872319702,0,0,1,0
2024-08-01,18.59000015258789,2.229999542236328,0.13630803539367387,0.1277844414592626,1.6998792979463846,1,0,0,0
2024-08-02,23.38999938964844,4.79999923706055,0.2582032919667485,0.22968474456012045,3.6506568416904503,1,1,0,1
2024-08-05,38.56999969482422,15.180000305175778,0.6489953271180455,0.5001662098063426,11.436377930108481,1,1,0,1
2024-08-06,27.709999084472656,-10.860000610351562,-0.2815660019776688,-0.3306814384725931,-7.497396731968257,0,0,1,1
2024-08-08,23.790000915527344,-4.059999465942383,-0.1457809483063327,-0.1575676172720195,-2.6960587121202897,0,0,1,1
2024-08-09,20.3700008392334,-3.4200000762939453,-0.1437578791374391,-0.15520209136037755,-2.257904979301816,0,0,1,1
2024-08-13,18.1200008392334,-2.589998245239258,-0.12506027811373066,-0.13360028427033255,-1.704481124530552,0,0,1,0
2024-08-14,16.190000534057617,-1.9300003051757812,-0.10651215318914042,-0.11262254625371604,-1.2667452009748643,0,0,1,0
2024-08-23,15.859999656677246,-1.6899995803833008,-0.09629627657273676,-0.10125371187992283,-1.111772462036383,0,0,1,0
2024-08-28,17.110000610351562,1.680000305175783,0.10887882514248881,0.10334943742316494,1.1066689422818101,1,0,0,0
2024-09-03,20.71999931335449,5.719999313354489,0.38133328755696594,0.3230491831498097,3.767477514431939,1,1,0,1
2024-09-06,22.3799991607666,2.4799995422363246,0.12462309496363133,0.1174479528234067,1.6148857027393422,1,0,0,0
2024-09-09,19.450000762939453,-2.9299983978271484,-0.13092039802055044,-0.14032055609438698,-1.9150240922937363,0,0,1,0
2024-09-19,16.329999923706055,-1.8999996185302734,-0.10422378860340853,-0.11006466126974956,-1.242300170702261,0,0,1,0
2024-09-27,16.959999084472656,1.5899991989135742,0.10344822451218505,0.09844002627741899,1.0427551878634576,1,0,0,0
2024-10-01,19.26000022888184,2.5300006866455114,0.15122538887453674,0.14082693061688456,1.6583116395588102,1,0,0,0
2024-10-03,20.489999771118164,1.590000152587887,0.0841269938984015,0.0807750491983783,1.0394672647218148,1,0,0,0
2024-10-07,22.63999938964844,3.430000305175785,0.17855286145995897,0.16428729725442004,2.2449582650130107,1,1,0,1
2024-10-31,23.15999984741211,2.809999465942383,0.13808350925148427,0.1293457154823261,1.8488696840766194,1,0,0,0
2024-11-06,16.270000457763672,-4.219999313354492,-0.20595409275225196,-0.23061400171400193,-2.7832457390036853,0,0,1,1
2024-11-15,16.139999389648438,1.8299989700317383,0.1278825238553527,0.12034200213404134,1.206205864230528,1,0,0,0
2024-11-22,15.239999771118164,-1.6300010681152344,-0.0966212796103989,-0.10161341106495803,-1.0748675532274623,0,0,1,0
2024-12-18,27.6200008392334,11.750000953674316,0.7403907396600702,0.5541096510389649,7.816423566670038,1,1,0,1
2024-12-19,24.09000015258789,-3.530000686645508,-0.1278059587033482,-0.13674335540527904,-2.268087955852073,0,0,1,1
2024-12-20,18.36000061035156,-5.729999542236332,-0.23785801186974176,-0.2716224045249631,-3.6625060491932637,0,0,1,1
2024-12-23,16.780000686645508,-1.5799999237060511,-0.08605663786390239,-0.08998667647636216,-1.0013459399662423,0,0,1,0
2024-12-24,14.270000457763672,-2.510000228881836,-0.14958284422952606,-0.16202827839204215,-1.5885252809219486,0,0,1,0
2025-01-03,16.1299991607666,-1.8000011444091797,-0.10039046925668937,-0.10579446452967467,-1.141572379047162,0,0,1,0
2025-01-07,17.81999969482422,1.779998779296875,0.11097248614080613,0.10523574540106706,1.1287706439179865,1,0,0,0
2025-01-10,19.540000915527344,1.8400001525878906,0.1039548063998117,0.09889901078493857,1.1659695026120234,1,0,0,0
2025-01-15,16.1200008392334,-2.589998245239258,-0.13842856076827315,-0.1489973022133766,-1.6459105846846218,0,0,1,0
2025-01-27,17.899999618530273,3.049999237060545,0.20538714873478559,0.1868008005986459,1.942298064804888,1,0,0,0
2025-02-03,18.6200008392334,2.190000534057617,0.1332927871807601,0.12512736629705268,1.3937071830418692,1,0,0,0
2025-02-21,18.209999084472656,2.549999237060547,0.1628352019097845,0.15086116264458127,1.6319736541462686,1,0,0,0
2025-02-27,21.1299991607666,2.029998779296875,0.1062826564792283,0.1010054368855191,1.297342242308042,1,0,0,0
2025-03-03,22.780000686645508,3.1500015258789062,0.16046875499488777,0.1488240226257318,2.013039313746885,1,1,0,1
2025-03-05,21.93000030517578,-1.5799999237060582,-0.06720544059225664,-0.06957029594178676,-1.0150716337017478,0,0,1,0
2025-03-06,24.8700008392334,2.940000534057617,0.1340629499838053,0.12580671521442044,1.8741215647171332,1,0,0,0
2025-03-10,27.86000061035156,4.4899997711181605,0.19212664141544988,0.17573880579798784,2.8589139879157544,1,1,0,1
2025-03-12,24.229999542236328,-2.690000534057617,-0.09992572535044164,-0.10527799167462559,-1.7172784386173114,0,0,1,0
2025-03-14,21.770000457763672,-2.8899993896484375,-0.1171938121464231,-0.12464959527480435,-1.8413590494663543,0,0,1,0
2025-03-19,19.899999618530277,-1.8000011444091761,-0.08294935857713537,-0.08659258314379992,-1.1457758161092741,0,0,1,0
2025-03-24,17.479999542236328,-1.8000011444091797,-0.09336105188294774,-0.09801098075725623,-1.144976365761921,0,0,1,0
2025-03-28,21.649999618530277,2.95999908447266,0.1583734082339292,0.14701678678666763,1.880104409605882,1,0,0,0
2025-04-03,30.020000457763672,8.510000228881832,0.39562994599392476,0.33334588753358263,5.406768488496619,1,1,0,1
2025-04-04,45.310001373291016,15.290000915527344,0.5093271379872046,0.4116639475338917,9.546869428329595,1,1,0,1
2025-04-08,52.33000183105469,5.350002288818359,0.11387829589075582,0.10784788588768279,3.1514439269825876,1,1,0,1
2025-04-09,33.619998931884766,-18.710002899169922,-0.35753873962348437,-0.4424487591644146,-11.06403217852614,0,0,1,1
2025-04-10,40.720001220703125,7.100002288818359,0.21118389394369697,0.19159830601000571,3.897582307697646,1,1,0,1
2025-04-11,37.560001373291016,-3.1599998474121094,-0.07760313734483593,-0.08077971131758677,-1.7409858908136189,0,0,1,0
2025-04-14,30.88999938964844,-6.670001983642575,-0.17758258093104395,-0.19550720373103703,-3.6503387064756354,0,0,1,1
2025-04-16,32.63999938964844,2.519998550415039,0.08366528818726215,0.08034908060172263,1.3554794856141559,1,0,0,0
2025-04-17,29.649999618530277,-2.9899997711181605,-0.09160538685752606,-0.09607639881843344,-1.6285543149507258,0,0,1,0
2025-04-21,33.81999969482422,4.170000076293942,0.1406408138261097,0.13159022186892821,2.245764582873684,1,1,0,1
2025-04-22,30.56999969482422,-3.25,-0.09609698490025054,-0.10103320852701314,-1.763920206099818,0,0,1,0
2025-04-23,28.450000762939453,-2.1199989318847656,-0.06934900075395489,-0.07187093853069948,-1.150926800659368,0,0,1,0
2025-04-24,26.46999931335449,-1.9800014495849645,-0.06959583115949242,-0.07213619709070018,-1.0739246146690484,0,0,1,0
2025-05-02,22.68000030517578,-1.9200000762939453,-0.07804878237889012,-0.08126296612994288,-1.041372721634468,0,0,1,0
2025-05-12,18.38999938964844,-3.510000228881836,-0.16027398584573105,-0.1746796139768354,-1.9015827571728154,0,0,1,0
2025-05-21,20.8700008392334,2.780000686645508,0.1536761007847649,0.1429534534594037,1.504945443771898,1,0,0,0
2025-05-23,22.290000915527344,2.010000228881836,0.09911243396581493,0.09450297588999135,1.0862145508636,1,0,0,0
2025-05-27,18.959999084472656,-3.3300018310546875,-0.14939442325168273,-0.1618067399316656,-1.8068747794793765,0,0,1,0
2025-06-13,20.81999969482422,2.799999237060547,0.15538286159444614,0.14443177094572324,1.5225302095368562,1,0,0,0
2025-06-17,21.600000381469727,2.4899997711181676,0.13029825701676723,0.1224815421597163,1.3522549777586315,1,0,0,0
2025-06-24,17.479999542236328,-2.350000381469723,-0.11850733184624884,-0.12613859464476818,-1.2806837115243015,0,0,1,0
2025-08-01,20.3799991607666,3.6599998474121094,0.21889952139464608,0.1979484200260746,2.016625697023442,1,1,0,1
2025-08-04,17.520000457763672,-2.8599987030029297,-0.14033360258957683,-0.15121087497900554,-1.5755221733624867,0,0,1,0
2025-08-22,14.220000267028809,-2.380000114440918,-0.1433734975751969,-0.15475327518910964,-1.3157033298446907,0,0,1,0
2025-09-02,17.170000076293945,1.8100004196166992,0.11783857161935951,0.11139697398504467,1.0034439511214581,1,0,0,0
2025-10-10,21.65999984741211,5.229999542236328,0.3183201123002275,0.2763582839046803,2.934816814438042,1,1,0,1
2025-10-13,19.030000686645508,-2.6299991607666016,-0.12142193810222157,-0.12945051713783595,-1.4728620602945006,0,0,1,0
2025-10-16,25.309999465942383,4.670000076293942,0.22625970030968512,0.20396864241431079,2.607400477282438,1,1,0,1
2025-10-17,20.780000686645508,-4.529998779296875,-0.1789805956097521,-0.19720853474171918,-2.5289600700343184,0,0,1,1
2025-10-20,18.229999542236328,-2.5500011444091797,-0.12271419923715232,-0.1309224551345447,-1.4191418567896188,0,0,1,0
2025-11-04,19.0,1.8299999237060547,0.10658124144289749,0.1012752998136115,1.0203939060137974,1,0,0,0
2025-11-13,20.0,2.489999771118164,0.1422044396670561,0.13296011418473785,1.3913364657805318,1,0,0,0
2025-11-17,22.3799991607666,2.5499992370605504,0.1285930028679485,0.12097172670021594,1.423582182157937,1,0,0,0
2025-11-18,24.690000534057617,2.3100013732910156,0.10321722340993555,0.09823065960309085,1.287280604437211,1,0,0,0
2025-11-20,26.420000076293945,2.760000228881836,0.11665258861714323,0.11033544988086552,1.5379752262261377,1,0,0,0
2025-11-21,23.43000030517578,-2.989999771118164,-0.11317183052550484,-0.12010403643720835,-1.6749824354642067,0,0,1,0
2025-11-24,20.520000457763672,-2.9099998474121094,-0.12419973578785137,-0.13261722293396572,-1.6270976871588054,0,0,1,0
2025-11-25,18.559999465942383,-1.960000991821289,-0.09551661540434953,-0.10039134402734184,-1.0946022101396993,0,0,1,0
2025-12-19,14.90999984741211,-1.960000991821289,-0.11618262562637516,-0.1235048277622477,-1.099335156869257,0,0,1,0
2026-01-20,20.09000015258789,4.2300004959106445,0.2667087381764075,0.2364219918624415,2.39149042145507,1,1,0,1
2026-01-21,16.899999618530273,-3.190000534057617,-0.1587854907829206,-0.1729085870652045,-1.800960757547645,0,0,1,0
2026-02-05,21.770000457763672,3.130001068115231,0.16791851773629607,0.1552231197604641,1.7689013102923707,1,0,0,0
2026-02-09,17.360000610351562,-3.010000228881836,-0.1477663281723809,-0.1598945270474892,-1.7027847089788886,0,0,1,0
2026-02-12,20.81999969482422,3.1700000762939453,0.17960340763780214,0.1651782867627145,1.7905709751790384,1,0,0,0
2026-02-23,21.01000022888184,1.9200000762939489,0.10057622110776498,0.09583388002012105,1.0845859547928722,1,0,0,0
2026-03-03,23.56999969482422,2.1299991607666016,0.09934697330735043,0.09471634288839903,1.2031713425254447,1,0,0,0
2026-03-04,21.149999618530277,-2.4200000762939418,-0.10267289383229627,-0.10833481654451038,-1.3734605106971427,0,0,1,0
2026-03-05,23.75,2.600000381469723,0.12293146233401209,0.11594264302475699,1.46846604187217,1,0,0,0
2026-03-06,29.489999771118164,5.739999771118164,0.24168420088918596,0.2164686845851973,3.2417014386587213,1,1,0,1
2026-03-09,25.5,-3.989999771118164,-0.1353000950181722,-0.1453727629014674,-2.25281950745996,0,0,1,1
2026-03-12,27.290000915527344,3.0600013732910156,0.12628978254650813,0.11892885233233486,1.7164023138356974,1,0,0,0
2026-03-16,23.51000022888184,-3.6800003051757777,-0.13534388499059746,-0.14542340599858372,-2.0738178193024757,0,0,1,1
2026-03-18,25.09000015258789,2.719999313354492,0.12159138181989015,0.11474855344189372,1.523594104081002,1,0,0,0
2026-03-20,26.780000686645508,2.720001220703125,0.11305075981208423,0.10710467755363728,1.522226619102131,1,0,0,0
2026-03-26,27.440000534057617,2.110000610351566,0.08330045861456314,0.08001236131884104,1.1795892132883037,1,0,0,0
2026-03-27,31.049999237060547,3.6099987030029297,0.13155971693667867,0.12359696148774324,2.019962670902634,1,1,0,1
2026-03-31,25.25,-5.360000610351559,-0.17510619090085666,-0.19250061717556521,-3.0120554427971107,0,0,1,1
2026-04-08,21.040000915527344,-4.739999771118164,-0.18386344627110762,-0.20317359276268965,-2.6554555863550453,0,0,1,1
2026-04-30,16.889999389648438,-1.9200000762939453,-0.10207337218538048,-0.10766692023787261,-1.0780358680586657,0,0,1,0
