Time,places_to_eat_near_me
2022-08-02,48.0
2022-08-03,46.0
2022-08-04,52.0
2022-08-05,65.0
2022-08-06,89.0
2022-08-07,77.0
2022-08-08,50.0
2022-08-09,44.0
2022-08-10,44.0
2022-08-11,47.0
2022-08-12,60.0
2022-08-13,85.0
2022-08-14,76.0
2022-08-15,50.0
2022-08-16,44.0
2022-08-17,44.0
2022-08-18,46.0
2022-08-19,56.0
2022-08-20,85.0
2022-08-21,69.0
2022-08-22,39.0
2022-08-23,39.0
2022-08-24,40.0
2022-08-25,42.0
2022-08-26,51.0
2022-08-27,81.0
2022-08-28,69.0
2022-08-29,39.16767371601209
2022-08-30,36.85649546827795
2022-08-31,34.04531722054381
2022-09-01,38.23061430010071
2022-09-02,50.34944612286002
2022-09-03,79.77240684793554
2022-09-04,81.14652567975831
2022-09-05,64.8423967774421
2022-09-06,33.10825780463243
2022-09-07,30.29707955689829
2022-09-08,33.10825780463243
2022-09-09,43.852970795568986
2022-09-10,76.96122860020142
2022-09-11,62.03121852970796
2022-09-12,34.982376636455186
2022-09-13,33.60825780463243
2022-09-14,34.04531722054381
2022-09-15,36.85649546827795
2022-09-16,48.03826787512588
2022-09-17,81.14652567975831
2022-09-18,62.968277945619334
2022-09-19,35.919436052366564
2022-09-20,34.982376636455186
2022-09-21,34.04531722054381
2022-09-22,34.982376636455186
2022-09-23,48.97532729103726
2022-09-24,81.64652567975831
2022-09-25,64.8423967774421
2022-09-26,34.04531722054381
2022-09-27,34.04531722054381
2022-09-28,32.3423967774421
2022-09-29,38.461228600201416
2022-09-30,45.45417925478349
2022-10-01,71.67774420946627
2022-10-02,59.44008056394764
2022-10-03,33.21651560926486
2022-10-04,34.090634441087616
2022-10-05,34.090634441087616
2022-10-06,37.58710976837865
2022-10-07,50.698892245720046
2022-10-08,83.04128902316214
2022-10-09,69.92950654582076
2022-10-10,43.70594159113797
2022-10-11,34.96475327291038
2022-10-12,34.090634441087616
2022-10-13,34.96475327291038
2022-10-14,48.95065458207453
2022-10-15,81.29305135951662
2022-10-16,65.55891238670695
2022-10-17,35.838872104733134
2022-10-18,32.3423967774421
2022-10-19,33.21651560926486
2022-10-20,36.7129909365559
2022-10-21,48.076535750251765
2022-10-22,75.1742195367573
2022-10-23,67.30715005035248
2022-10-24,33.21651560926486
2022-10-25,31.468277945619338
2022-10-26,29.72004028197382
2022-10-27,34.96475327291038
2022-10-28,44.58006042296073
2022-10-29,68.18126888217523
2022-10-30,56.817724068479365
2022-10-31,32.3423967774421
2022-11-01,31.468277945619338
2022-11-02,31.468277945619338
2022-11-03,32.3423967774421
2022-11-04,42.83182275931521
2022-11-05,69.05538771399799
2022-11-06,54.19536757301108
2022-11-07,30.59415911379658
2022-11-08,32.3423967774421
2022-11-09,27.9718026183283
2022-11-10,32.3423967774421
2022-11-11,49.82477341389728
2022-11-12,69.92950654582076
2022-11-13,55.06948640483384
2022-11-14,28.84592145015106
2022-11-15,29.72004028197382
2022-11-16,27.09768378650554
2022-11-17,27.9718026183283
2022-11-18,41.95770392749245
2022-11-19,65.55891238670695
2022-11-20,51.5730110775428
2022-11-21,34.090634441087616
2022-11-22,32.3423967774421
2022-11-23,37.58710976837865
2022-11-24,36.7129909365559
2022-11-25,44.58006042296073
2022-11-26,51.5730110775428
2022-11-27,48.076535750251765
2022-11-28,23.601208459214504
2022-11-29,22.727089627391745
2022-11-30,23.601208459214504
2022-12-01,27.9718026183283
2022-12-02,34.96475327291038
2022-12-03,62.06243705941592
2022-12-04,49.82477341389728
2022-12-05,30.59415911379658
2022-12-06,26.223564954682782
2022-12-07,27.9718026183283
2022-12-08,28.84592145015106
2022-12-09,36.7129909365559
2022-12-10,62.936555891238676
2022-12-11,55.9436052366566
2022-12-12,29.72004028197382
2022-12-13,23.601208459214504
2022-12-14,23.601208459214504
2022-12-15,25.349446122860023
2022-12-16,37.58710976837865
2022-12-17,59.44008056394764
2022-12-18,54.19536757301108
2022-12-19,33.21651560926486
2022-12-20,33.21651560926486
2022-12-21,31.468277945619338
2022-12-22,34.090634441087616
2022-12-23,33.21651560926486
2022-12-24,34.090634441087616
2022-12-25,55.06948640483384
2022-12-26,54.19536757301108
2022-12-27,45.45417925478349
2022-12-28,46.328298086606246
2022-12-29,48.076535750251765
2022-12-30,55.06948640483384
2022-12-31,55.06948640483384
2023-01-01,62.06243705941592
2023-01-02,48.95065458207453
2023-01-03,29.72004028197382
2023-01-04,30.59415911379658
2023-01-05,31.468277945619338
2023-01-06,37.58710976837865
2023-01-07,61.18831822759316
2023-01-08,52.447129909365565
2023-01-09,30.59415911379658
2023-01-10,28.84592145015106
2023-01-11,30.59415911379658
2023-01-12,29.72004028197382
2023-01-13,37.58710976837865
2023-01-14,65.55891238670695
2023-01-15,56.817724068479365
2023-01-16,42.83182275931521
2023-01-17,27.9718026183283
2023-01-18,27.09768378650554
2023-01-19,27.9718026183283
2023-01-20,37.58710976837865
2023-01-21,65.55891238670695
2023-01-22,53.32124874118832
2023-01-23,27.9718026183283
2023-01-24,28.84592145015106
2023-01-25,24.475327291037264
2023-01-26,28.84592145015106
2023-01-27,40.209466263846934
2023-01-28,68.18126888217523
2023-01-29,53.32124874118832
2023-01-30,26.223564954682782
2023-01-31,24.475327291037264
2023-02-01,27.09768378650554
2023-02-02,28.84592145015106
2023-02-03,39.33534743202417
2023-02-04,69.05538771399799
2023-02-05,59.44008056394764
2023-02-06,28.84592145015106
2023-02-07,29.72004028197382
2023-02-08,28.84592145015106
2023-02-09,29.72004028197382
2023-02-10,42.83182275931521
2023-02-11,75.1742195367573
2023-02-12,48.076535750251765
2023-02-13,30.59415911379658
2023-02-14,41.95770392749245
2023-02-15,40.209466263846934
2023-02-16,31.468277945619338
2023-02-17,45.45417925478349
2023-02-18,87.41188318227594
2023-02-19,75.1742195367573
2023-02-20,46.328298086606246
2023-02-21,33.21651560926486
2023-02-22,33.21651560926486
2023-02-23,33.21651560926486
2023-02-24,47.20241691842901
2023-02-25,76.92245720040283
2023-02-26,68.18126888217523
2023-02-27,34.090634441087616
2023-02-28,32.3423967774421
2023-03-01,28.84592145015106
2023-03-02,33.21651560926486
2023-03-03,41.95770392749245
2023-03-04,76.92245720040283
2023-03-05,69.05538771399799
2023-03-06,35.838872104733134
2023-03-07,31.468277945619338
2023-03-08,33.21651560926486
2023-03-09,34.96475327291038
2023-03-10,45.45417925478349
2023-03-11,77.79657603222559
2023-03-12,69.92950654582076
2023-03-13,40.209466263846934
2023-03-14,37.58710976837865
2023-03-15,41.95770392749245
2023-03-16,41.08358509566969
2023-03-17,53.32124874118832
2023-03-18,86.53776435045319
2023-03-19,69.92950654582076
2023-03-20,34.96475327291038
2023-03-21,32.3423967774421
2023-03-22,33.21651560926486
2023-03-23,40.209466263846934
2023-03-24,57.69184290030212
2023-03-25,81.29305135951662
2023-03-26,69.92950654582076
2023-03-27,37.58710976837865
2023-03-28,31.468277945619338
2023-03-29,33.21651560926486
2023-03-30,37.58710976837865
2023-03-31,48.076535750251765
2023-04-01,80.41893252769387
2023-04-02,71.67774420946627
2023-04-03,38.461228600201416
2023-04-04,35.838872104733134
2023-04-05,36.7129909365559
2023-04-06,40.209466263846934
2023-04-07,56.817724068479365
2023-04-08,68.18126888217523
2023-04-09,57.69184290030212
2023-04-10,41.95770392749245
2023-04-11,34.96475327291038
2023-04-12,34.96475327291038
2023-04-13,39.33534743202417
2023-04-14,51.5730110775428
2023-04-15,80.41893252769387
2023-04-16,64.6847935548842
2023-04-17,34.96475327291038
2023-04-18,31.468277945619338
2023-04-19,32.3423967774421
2023-04-20,36.7129909365559
2023-04-21,48.95065458207453
2023-04-22,82.16717019133938
2023-04-23,65.55891238670695
2023-04-24,33.21651560926486
2023-04-25,31.468277945619338
2023-04-26,33.65357502517624
2023-04-27,34.090634441087616
2023-04-28,46.328298086606246
2023-04-29,74.30010070493455
2023-04-30,66.43303121852972
2023-05-01,32.3423967774421
2023-05-02,29.72004028197382
2023-05-03,31.031218529707957
2023-05-04,34.96475327291038
2023-05-05,43.70594159113797
2023-05-06,74.30010070493455
2023-05-07,63.37361530715006
2023-05-08,34.090634441087616
2023-05-09,32.3423967774421
2023-05-10,33.21651560926486
2023-05-11,34.96475327291038
2023-05-12,47.20241691842901
2023-05-13,75.1742195367573
2023-05-14,77.79657603222559
2023-05-15,35.838872104733134
2023-05-16,34.090634441087616
2023-05-17,35.838872104733134
2023-05-18,37.58710976837865
2023-05-19,49.82477341389728
2023-05-20,83.04128902316214
2023-05-21,70.80362537764351
2023-05-22,39.33534743202417
2023-05-23,37.58710976837865
2023-05-24,36.7129909365559
2023-05-25,41.95770392749245
2023-05-26,55.9436052366566
2023-05-27,87.41188318227594
2023-05-28,78.67069486404834
2023-05-29,68.18126888217523
2023-05-30,38.461228600201416
2023-05-31,38.461228600201416
2023-06-01,44.58006042296073
2023-06-02,52.447129909365565
2023-06-03,79.5448136958711
2023-06-04,73.4259818731118
2023-06-05,45.45417925478349
2023-06-06,45.45417925478349
2023-06-07,43.70594159113797
2023-06-08,42.83182275931521
2023-06-09,54.19536757301108
2023-06-10,83.04128902316214
2023-06-11,75.1742195367573
2023-06-12,46.328298086606246
2023-06-13,45.45417925478349
2023-06-14,45.45417925478349
2023-06-15,45.45417925478349
2023-06-16,61.18831822759316
2023-06-17,86.53776435045319
2023-06-18,85.66364551863042
2023-06-19,58.56596173212488
2023-06-20,46.328298086606246
2023-06-21,44.58006042296073
2023-06-22,48.076535750251765
2023-06-23,65.55891238670695
2023-06-24,83.9154078549849
2023-06-25,80.41893252769387
2023-06-26,50.698892245720046
2023-06-27,46.328298086606246
2023-06-28,47.20241691842901
2023-06-29,49.82477341389728
2023-06-30,60.3141993957704
2023-07-01,76.92245720040283
2023-07-02,82.16717019133938
2023-07-03,62.06243705941592
2023-07-04,65.55891238670695
2023-07-05,51.5730110775428
2023-07-06,51.5730110775428
2023-07-07,62.06243705941592
2023-07-08,83.04128902316214
2023-07-09,77.79657603222559
2023-07-10,48.95065458207453
2023-07-11,43.70594159113797
2023-07-12,43.70594159113797
2023-07-13,47.20241691842901
2023-07-14,61.18831822759316
2023-07-15,86.53776435045319
2023-07-16,73.4259818731118
2023-07-17,55.06948640483384
2023-07-18,46.328298086606246
2023-07-19,42.83182275931521
2023-07-20,48.95065458207453
2023-07-21,57.69184290030212
2023-07-22,79.5448136958711
2023-07-23,79.5448136958711
2023-07-24,49.82477341389728
2023-07-25,45.45417925478349
2023-07-26,42.83182275931521
2023-07-27,48.076535750251765
2023-07-28,55.9436052366566
2023-07-29,82.16717019133938
2023-07-30,69.92950654582076
2023-07-31,43.70594159113797
2023-08-01,44.58006042296073
2023-08-02,41.95770392749245
2023-08-03,42.83182275931521
2023-08-04,54.19536757301108
2023-08-05,75.1742195367573
2023-08-06,69.05538771399799
2023-08-07,43.70594159113797
2023-08-08,40.209466263846934
2023-08-09,41.08358509566969
2023-08-10,41.08358509566969
2023-08-11,55.9436052366566
2023-08-12,72.55186304128902
2023-08-13,66.43303121852972
2023-08-14,41.95770392749245
2023-08-15,36.7129909365559
2023-08-16,37.58710976837865
2023-08-17,39.33534743202417
2023-08-18,50.698892245720046
2023-08-19,76.04833836858006
2023-08-20,68.18126888217523
2023-08-21,38.461228600201416
2023-08-22,34.96475327291038
2023-08-23,36.7129909365559
2023-08-24,34.090634441087616
2023-08-25,45.45417925478349
2023-08-26,69.05538771399799
2023-08-27,62.06243705941592
2023-08-28,34.96475327291038
2023-08-29,33.21651560926486
2023-08-30,31.468277945619338
2023-08-31,34.96475327291038
2023-09-01,47.20241691842901
2023-09-02,69.92950654582076
2023-09-03,72.55186304128902
2023-09-04,60.3141993957704
2023-09-05,30.59415911379658
2023-09-06,29.72004028197382
2023-09-07,30.59415911379658
2023-09-08,41.08358509566969
2023-09-09,65.55891238670695
2023-09-10,52.447129909365565
2023-09-11,31.468277945619338
2023-09-12,31.468277945619338
2023-09-13,32.3423967774421
2023-09-14,34.090634441087616
2023-09-15,41.95770392749245
2023-09-16,72.55186304128902
2023-09-17,55.06948640483384
2023-09-18,34.090634441087616
2023-09-19,27.9718026183283
2023-09-20,31.468277945619338
2023-09-21,30.59415911379658
2023-09-22,41.95770392749245
2023-09-23,70.80362537764351
2023-09-24,55.9436052366566
2023-09-25,33.21651560926486
2023-09-26,28.84592145015106
2023-09-27,29.72004028197382
2023-09-28,31.468277945619338
2023-09-29,40.209466263846934
2023-09-30,69.05538771399799
2023-10-01,57.69184290030212
2023-10-02,33.21651560926486
2023-10-03,30.59415911379658
2023-10-04,30.59415911379658
2023-10-05,30.59415911379658
2023-10-06,45.45417925478349
2023-10-07,65.55891238670695
2023-10-08,58.56596173212488
2023-10-09,38.461228600201416
2023-10-10,30.59415911379658
2023-10-11,32.3423967774421
2023-10-12,33.21651560926486
2023-10-13,41.08358509566969
2023-10-14,67.30715005035248
2023-10-15,55.06948640483384
2023-10-16,31.468277945619338
2023-10-17,29.72004028197382
2023-10-18,29.72004028197382
2023-10-19,32.3423967774421
2023-10-20,39.33534743202417
2023-10-21,66.43303121852972
2023-10-22,55.9436052366566
2023-10-23,30.59415911379658
2023-10-24,29.72004028197382
2023-10-25,26.223564954682782
2023-10-26,30.59415911379658
2023-10-27,39.33534743202417
2023-10-28,63.81067472306144
2023-10-29,50.698892245720046
2023-10-30,26.223564954682782
2023-10-31,23.601208459214504
2023-11-01,27.9718026183283
2023-11-02,29.72004028197382
2023-11-03,36.7129909365559
2023-11-04,61.18831822759316
2023-11-05,51.5730110775428
2023-11-06,26.223564954682782
2023-11-07,26.223564954682782
2023-11-08,27.09768378650554
2023-11-09,30.59415911379658
2023-11-10,43.70594159113797
2023-11-11,65.55891238670695
2023-11-12,49.82477341389728
2023-11-13,27.09768378650554
2023-11-14,24.475327291037264
2023-11-15,23.601208459214504
2023-11-16,27.09768378650554
2023-11-17,35.838872104733134
2023-11-18,60.3141993957704
2023-11-19,52.447129909365565
2023-11-20,31.468277945619338
2023-11-21,30.59415911379658
2023-11-22,33.21651560926486
2023-11-23,34.96475327291038
2023-11-24,39.33534743202417
2023-11-25,44.58006042296073
2023-11-26,39.33534743202417
2023-11-27,23.601208459214504
2023-11-28,22.727089627391745
2023-11-29,23.601208459214504
2023-11-30,24.475327291037264
2023-12-01,32.3423967774421
2023-12-02,51.5730110775428
2023-12-03,41.95770392749245
2023-12-04,25.349446122860023
2023-12-05,23.601208459214504
2023-12-06,23.601208459214504
2023-12-07,25.349446122860023
2023-12-08,37.58710976837865
2023-12-09,57.69184290030212
2023-12-10,47.20241691842901
2023-12-11,25.349446122860023
2023-12-12,21.852970795568986
2023-12-13,22.727089627391745
2023-12-14,23.601208459214504
2023-12-15,32.3423967774421
2023-12-16,47.20241691842901
2023-12-17,41.08358509566969
2023-12-18,25.349446122860023
2023-12-19,23.601208459214504
2023-12-20,24.475327291037264
2023-12-21,27.09768378650554
2023-12-22,32.39702920443102
2023-12-23,39.19876636455187
2023-12-24,29.883937562940588
2023-12-25,38.16075025176234
2023-12-26,37.42321248741189
2023-12-27,36.68567472306144
2023-12-28,39.19876636455187
2023-12-29,42.449395770392755
2023-12-30,48.076535750251765
2023-12-31,42.01233635448138
2024-01-01,43.787890231621354
2024-01-02,28.84592145015106
2024-01-03,23.819738167170193
2024-01-04,27.070367573011083
2024-01-05,28.108383685800607
2024-01-06,43.787890231621354
2024-01-07,37.42321248741189
2024-01-08,20.268630412890232
2024-01-09,19.230614300100708
2024-01-10,22.481243705941594
2024-01-11,23.519259818731122
2024-01-12,27.807905337361532
2024-01-13,45.26296576032226
2024-01-14,38.461228600201416
2024-01-15,27.370845921450154
2024-01-16,19.230614300100708
2024-01-17,19.230614300100708
2024-01-18,20.268630412890232
2024-01-19,22.781722054380666
2024-01-20,40.23678247734139
2024-01-21,31.24974823766365
2024-01-22,17.427744209466265
2024-01-23,19.831570996978854
2024-01-24,19.831570996978854
2024-01-25,19.831570996978854
2024-01-26,27.04305135951662
2024-01-27,46.87462235649548
2024-01-28,34.25453172205439
2024-01-29,19.831570996978854
2024-01-30,19.831570996978854
2024-01-31,18.028700906344415
2024-02-01,20.432527693857
2024-02-02,25.841137965760325
2024-02-03,47.47557905337362
2024-02-04,38.461228600201416
2024-02-05,18.62965760322256
2024-02-06,18.62965760322256
2024-02-07,19.831570996978854
2024-02-08,21.634441087613297
2024-02-09,29.44687814702921
2024-02-10,46.87462235649548
2024-02-11,31.8507049345418
2024-02-12,18.028700906344415
2024-02-13,21.03348439073515
2024-02-14,27.644008056394767
2024-02-15,27.04305135951662
2024-02-16,28.84592145015106
2024-02-17,54.687059415911385
2024-02-18,48.07653575025177
2024-02-19,28.84592145015106
2024-02-20,21.03348439073515
2024-02-21,22.235397784491443
2024-02-22,22.83635448136959
2024-02-23,30.648791540785503
2024-02-24,57.69184290030212
2024-02-25,48.07653575025177
2024-02-26,22.83635448136959
2024-02-27,20.432527693857
2024-02-28,21.634441087613297
2024-02-29,22.83635448136959
2024-03-01,27.644008056394767
2024-03-02,56.48992950654583
2024-03-03,46.27366565961733
2024-03-04,24.038267875125886
2024-03-05,20.432527693857
2024-03-06,20.432527693857
2024-03-07,22.235397784491443
2024-03-08,31.8507049345418
2024-03-09,54.08610271903324
2024-03-10,46.27366565961733
2024-03-11,24.038267875125886
2024-03-12,24.639224572004032
2024-03-13,27.04305135951662
2024-03-14,27.04305135951662
2024-03-15,36.05740181268883
2024-03-16,60.09566968781471
2024-03-17,48.07653575025177
2024-03-18,25.841137965760325
2024-03-19,22.235397784491443
2024-03-20,24.639224572004032
2024-03-21,25.841137965760325
2024-03-22,36.05740181268883
2024-03-23,54.687059415911385
2024-03-24,46.27366565961733
2024-03-25,27.04305135951662
2024-03-26,22.235397784491443
2024-03-27,26.442094662638475
2024-03-28,28.244964753272914
2024-03-29,38.461228600201416
2024-03-30,47.47557905337362
2024-03-31,38.461228600201416
2024-04-01,28.244964753272914
2024-04-02,24.639224572004032
2024-04-03,25.24018126888218
2024-04-04,25.841137965760325
2024-04-05,35.45644511581068
2024-04-06,55.288016112789535
2024-04-07,40.865055387714
2024-04-08,22.83635448136959
2024-04-09,23.43731117824774
2024-04-10,23.43731117824774
2024-04-11,23.43731117824774
2024-04-12,32.451661631419945
2024-04-13,57.09088620342398
2024-04-14,47.47557905337362
2024-04-15,22.235397784491443
2024-04-16,23.43731117824774
2024-04-17,21.03348439073515
2024-04-18,22.83635448136959
2024-04-19,33.65357502517624
2024-04-20,60.09566968781471
2024-04-21,48.07653575025177
2024-04-22,25.24018126888218
2024-04-23,23.43731117824774
2024-04-24,22.83635448136959
2024-04-25,24.038267875125886
2024-04-26,35.45644511581068
2024-04-27,52.2832326283988
2024-04-28,44.470795568982886
2024-04-29,23.43731117824774
2024-04-30,21.03348439073515
2024-05-01,21.634441087613297
2024-05-02,24.639224572004032
2024-05-03,34.85548841893253
2024-05-04,49.879405840886214
2024-05-05,41.46601208459215
2024-05-06,24.639224572004032
2024-05-07,22.83635448136959
2024-05-08,22.235397784491443
2024-05-09,25.24018126888218
2024-05-10,34.85548841893253
2024-05-11,55.888972809667685
2024-05-12,52.2832326283988
2024-05-13,25.841137965760325
2024-05-14,24.038267875125886
2024-05-15,22.235397784491443
2024-05-16,26.442094662638475
2024-05-17,34.85548841893253
2024-05-18,50.48036253776436
2024-05-19,44.470795568982886
2024-05-20,25.24018126888218
2024-05-21,24.639224572004032
2024-05-22,24.639224572004032
2024-05-23,27.04305135951662
2024-05-24,36.65835850956697
2024-05-25,58.29279959718027
2024-05-26,51.68227593152065
2024-05-27,42.0669687814703
2024-05-28,24.639224572004032
2024-05-29,24.639224572004032
2024-05-30,28.84592145015106
2024-05-31,36.65835850956697
2024-06-01,55.288016112789535
2024-06-02,47.47557905337362
2024-06-03,27.644008056394767
2024-06-04,25.24018126888218
2024-06-05,27.644008056394767
2024-06-06,29.44687814702921
2024-06-07,37.25931520644512
2024-06-08,57.69184290030212
2024-06-09,49.278449144008064
2024-06-10,31.24974823766365
2024-06-11,29.44687814702921
2024-06-12,27.644008056394767
2024-06-13,31.24974823766365
2024-06-14,38.461228600201416
2024-06-15,55.888972809667685
2024-06-16,49.879405840886214
2024-06-17,29.44687814702921
2024-06-18,28.244964753272914
2024-06-19,31.24974823766365
2024-06-20,28.84592145015106
2024-06-21,43.268882175226594
2024-06-22,49.879405840886214
2024-06-23,48.07653575025177
2024-06-24,31.24974823766365
2024-06-25,29.44687814702921
2024-06-26,29.44687814702921
2024-06-27,33.052618328298095
2024-06-28,39.062185297079566
2024-06-29,56.48992950654583
2024-06-30,46.27366565961733
2024-07-01,31.24974823766365
2024-07-02,30.047834843907356
2024-07-03,33.052618328298095
2024-07-04,46.27366565961733
2024-07-05,48.07653575025177
2024-07-06,49.879405840886214
2024-07-07,46.87462235649548
2024-07-08,28.84592145015106
2024-07-09,27.644008056394767
2024-07-10,28.244964753272914
2024-07-11,33.65357502517624
2024-07-12,40.865055387714
2024-07-13,49.879405840886214
2024-07-14,47.47557905337362
2024-07-15,26.442094662638475
2024-07-16,28.244964753272914
2024-07-17,29.44687814702921
2024-07-18,33.65357502517624
2024-07-19,40.865055387714
2024-07-20,57.09088620342398
2024-07-21,45.67270896273918
2024-07-22,30.047834843907356
2024-07-23,28.244964753272914
2024-07-24,29.44687814702921
2024-07-25,33.65357502517624
2024-07-26,40.26409869083586
2024-07-27,55.888972809667685
2024-07-28,44.470795568982886
2024-07-29,28.244964753272914
2024-07-30,25.841137965760325
2024-07-31,27.04305135951662
2024-08-01,29.44687814702921
2024-08-02,37.860271903323266
2024-08-03,46.87462235649548
2024-08-04,47.47557905337362
2024-08-05,28.244964753272914
2024-08-06,25.841137965760325
2024-08-07,24.639224572004032
2024-08-08,27.04305135951662
2024-08-09,34.85548841893253
2024-08-10,48.677492447129914
2024-08-11,46.27366565961733
2024-08-12,25.24018126888218
2024-08-13,27.04305135951662
2024-08-14,25.24018126888218
2024-08-15,27.04305135951662
2024-08-16,36.05740181268883
2024-08-17,52.2832326283988
2024-08-18,44.41449643998269
2024-08-19,23.492744998829103
2024-08-20,23.793223347268174
2024-08-21,23.492744998829103
2024-08-22,27.786621700173356
2024-08-23,34.37767592640928
2024-08-24,51.00555066621861
2024-08-25,43.84020205875977
2024-08-26,22.918450617606183
2024-08-27,22.070340203599425
2024-08-28,20.621273092714517
2024-08-29,23.492744998829103
2024-08-30,32.65479278274053
2024-08-31,49.856961903772785
2024-09-01,50.70507231777954
2024-09-02,40.96873015264519
2024-09-03,19.198868297484843
2024-09-04,18.89838994904577
2024-09-05,21.49604582237651
2024-09-06,26.36421690494368
2024-09-07,44.41449643998269
2024-09-08,38.397736594969686
2024-09-09,19.198868297484843
2024-09-10,19.198868297484843
2024-09-11,20.347457059930676
2024-09-12,22.64463458482234
2024-09-13,28.93521046261919
2024-09-14,46.985489997658206
2024-09-15,36.67485345130094
2024-09-16,20.621273092714517
2024-09-17,20.26238642600435
2024-09-18,20.810018491572038
2024-09-19,22.452914688275094
2024-09-20,29.572131540655
2024-09-21,49.286885901091665
2024-09-22,39.42950872087333
