Time,delta_airlines
2022-04-14,73.0
2022-04-15,74.0
2022-04-16,70.0
2022-04-17,70.0
2022-04-18,79.0
2022-04-19,100.0
2022-04-20,77.0
2022-04-21,79.0
2022-04-22,66.0
2022-04-23,69.0
2022-04-24,76.0
2022-04-25,76.0
2022-04-26,80.0
2022-04-27,79.0
2022-04-28,68.0
2022-04-29,63.0
2022-04-30,72.0
2022-05-01,73.0
2022-05-02,79.0
2022-05-03,80.0
2022-05-04,77.0
2022-05-05,73.0
2022-05-06,70.0
2022-05-07,67.0
2022-05-08,77.0
2022-05-09,79.0
2022-05-10,77.0
2022-05-11,83.0
2022-05-12,75.0
2022-05-13,73.0
2022-05-14,75.0
2022-05-15,72.0
2022-05-16,75.0
2022-05-17,79.0
2022-05-18,73.0
2022-05-19,72.0
2022-05-20,70.0
2022-05-21,81.0
2022-05-22,76.0
2022-05-23,77.0
2022-05-24,78.0
2022-05-25,70.0
2022-05-26,73.0
2022-05-27,89.0
2022-05-28,77.0
2022-05-29,74.0
2022-05-30,77.0
2022-05-31,83.0
2022-06-01,82.0
2022-06-02,78.0
2022-06-03,78.0
2022-06-04,74.0
2022-06-05,80.0
2022-06-06,78.0
2022-06-07,81.0
2022-06-08,81.0
2022-06-09,80.0
2022-06-10,74.0
2022-06-11,72.0
2022-06-12,77.0
2022-06-13,76.0
2022-06-14,81.0
2022-06-15,75.0
2022-06-16,81.0
2022-06-17,80.0
2022-06-18,77.0
2022-06-19,79.0
2022-06-20,81.0
2022-06-21,80.0
2022-06-22,83.0
2022-06-23,87.0
2022-06-24,77.0
2022-06-25,85.0
2022-06-26,74.0
2022-06-27,84.0
2022-06-28,79.0
2022-06-29,80.0
2022-06-30,84.0
2022-07-01,84.0
2022-07-02,80.0
2022-07-03,71.0
2022-07-04,70.0
2022-07-05,79.0
2022-07-06,79.0
2022-07-07,77.0
2022-07-08,72.0
2022-07-09,74.0
2022-07-10,74.0
2022-07-11,77.0
2022-07-12,76.0
2022-07-13,78.0
2022-07-14,72.0
2022-07-15,73.0
2022-07-16,69.0
2022-07-17,77.0
2022-07-18,82.0
2022-07-19,88.0
2022-07-20,77.0
2022-07-21,74.0
2022-07-22,69.0
2022-07-23,64.0
2022-07-24,75.0
2022-07-25,75.0
2022-07-26,79.0
2022-07-27,75.0
2022-07-28,72.0
2022-07-29,73.0
2022-07-30,68.0
2022-07-31,73.0
2022-08-01,75.0
2022-08-02,81.0
2022-08-03,73.0
2022-08-04,79.0
2022-08-05,76.0
2022-08-06,71.0
2022-08-07,76.0
2022-08-08,74.0
2022-08-09,74.0
2022-08-10,76.0
2022-08-11,75.0
2022-08-12,70.0
2022-08-13,61.0
2022-08-14,71.0
2022-08-15,72.0
2022-08-16,78.0
2022-08-17,72.0
2022-08-18,71.0
2022-08-19,66.0
2022-08-20,65.0
2022-08-21,71.0
2022-08-22,75.0
2022-08-23,84.0
2022-08-24,69.0
2022-08-25,66.0
2022-08-26,63.0
2022-08-27,61.0
2022-08-28,71.0
2022-08-29,75.42961820285385
2022-08-30,68.74411878133435
2022-08-31,69.54049363671423
2022-09-01,66.94774392595448
2022-09-02,65.15136907057462
2022-09-03,57.66949479367528
2022-09-04,59.46586964905515
2022-09-05,73.13324334747396
2022-09-06,68.74411878133435
2022-09-07,71.3368684920941
2022-09-08,66.44774392595448
2022-09-09,63.35499421519475
2022-09-10,58.96586964905515
2022-09-11,63.85499421519475
2022-09-12,68.24411878133435
2022-09-13,71.3368684920941
2022-09-14,68.74411878133435
2022-09-15,71.8368684920941
2022-09-16,66.94774392595448
2022-09-17,58.46586964905515
2022-09-18,60.26224450443502
2022-09-19,65.65136907057462
2022-09-20,69.54049363671423
2022-09-21,65.65136907057462
2022-09-22,68.74411878133435
2022-09-23,63.85499421519475
2022-09-24,60.26224450443502
2022-09-25,62.058619359814884
2022-09-26,68.24411878133435
2022-09-27,70.04049363671423
2022-09-28,63.70998843038951
2022-09-29,63.70998843038951
2022-09-30,66.89548785190898
2022-10-01,78.04473582722714
2022-10-02,60.524489008870034
2022-10-03,66.89548785190898
2022-10-04,68.48823756266871
2022-10-05,68.48823756266871
2022-10-06,66.89548785190898
2022-10-07,62.11723871962977
2022-10-08,57.338989587350554
2022-10-09,58.931739298110294
2022-10-10,70.08098727342846
2022-10-11,65.30273814114925
2022-10-12,71.6737369841882
2022-10-13,81.23023524874662
2022-10-14,66.89548785190898
2022-10-15,55.74623987659082
2022-10-16,62.11723871962977
2022-10-17,66.89548785190898
2022-10-18,68.48823756266871
2022-10-19,65.30273814114925
2022-10-20,70.08098727342846
2022-10-21,68.48823756266871
2022-10-22,62.11723871962977
2022-10-23,68.48823756266871
2022-10-24,71.6737369841882
2022-10-25,71.6737369841882
2022-10-26,73.26648669494793
2022-10-27,71.6737369841882
2022-10-28,68.48823756266871
2022-10-29,58.931739298110294
2022-10-30,62.11723871962977
2022-10-31,71.6737369841882
2022-11-01,71.6737369841882
2022-11-02,81.23023524874662
2022-11-03,79.63748553798689
2022-11-04,68.48823756266871
2022-11-05,65.30273814114925
2022-11-06,60.524489008870034
2022-11-07,63.70998843038951
2022-11-08,65.30273814114925
2022-11-09,66.89548785190898
2022-11-10,66.89548785190898
2022-11-11,57.338989587350554
2022-11-12,54.15349016583108
2022-11-13,62.11723871962977
2022-11-14,68.48823756266871
2022-11-15,71.6737369841882
2022-11-16,65.30273814114925
2022-11-17,65.30273814114925
2022-11-18,62.11723871962977
2022-11-19,63.70998843038951
2022-11-20,55.74623987659082
2022-11-21,58.931739298110294
2022-11-22,71.6737369841882
2022-11-23,57.338989587350554
2022-11-24,44.59699190127266
2022-11-25,54.15349016583108
2022-11-26,55.74623987659082
2022-11-27,60.524489008870034
2022-11-28,71.6737369841882
2022-11-29,73.26648669494793
2022-11-30,60.524489008870034
2022-12-01,65.30273814114925
2022-12-02,60.524489008870034
2022-12-03,52.56074045507135
2022-12-04,55.74623987659082
2022-12-05,60.524489008870034
2022-12-06,60.524489008870034
2022-12-07,60.524489008870034
2022-12-08,58.931739298110294
2022-12-09,52.56074045507135
2022-12-10,50.96799074431161
2022-12-11,54.15349016583108
2022-12-12,62.11723871962977
2022-12-13,57.338989587350554
2022-12-14,58.931739298110294
2022-12-15,60.524489008870034
2022-12-16,60.524489008870034
2022-12-17,57.338989587350554
2022-12-18,54.15349016583108
2022-12-19,60.524489008870034
2022-12-20,66.89548785190898
2022-12-21,71.6737369841882
2022-12-22,70.08098727342846
2022-12-23,82.82298495950636
2022-12-24,73.26648669494793
2022-12-25,71.6737369841882
2022-12-26,98.75048206710373
2022-12-27,159.27497107597378
2022-12-28,108.30698033166216
2022-12-29,98.75048206710373
2022-12-30,79.63748553798689
2022-12-31,63.70998843038951
2023-01-01,66.89548785190898
2023-01-02,87.60123409178557
2023-01-03,89.19398380254532
2023-01-04,105.1214809101427
2023-01-05,90.78673351330505
2023-01-06,84.4157346702661
2023-01-07,78.04473582722714
2023-01-08,79.63748553798689
2023-01-09,82.82298495950636
2023-01-10,86.00848438102584
2023-01-11,111.49247975318164
2023-01-12,90.78673351330505
2023-01-13,81.23023524874662
2023-01-14,74.85923640570768
2023-01-15,76.45198611646741
2023-01-16,92.37948322406478
2023-01-17,89.19398380254532
2023-01-18,86.00848438102584
2023-01-19,84.4157346702661
2023-01-20,78.04473582722714
2023-01-21,73.26648669494793
2023-01-22,73.26648669494793
2023-01-23,76.45198611646741
2023-01-24,82.82298495950636
2023-01-25,84.4157346702661
2023-01-26,79.63748553798689
2023-01-27,65.30273814114925
2023-01-28,71.6737369841882
2023-01-29,70.08098727342846
2023-01-30,71.6737369841882
2023-01-31,81.23023524874662
2023-02-01,76.45198611646741
2023-02-02,73.26648669494793
2023-02-03,71.6737369841882
2023-02-04,74.85923640570768
2023-02-05,74.85923640570768
2023-02-06,70.08098727342846
2023-02-07,71.6737369841882
2023-02-08,73.26648669494793
2023-02-09,70.08098727342846
2023-02-10,66.89548785190898
2023-02-11,68.48823756266871
2023-02-12,63.70998843038951
2023-02-13,58.931739298110294
2023-02-14,70.08098727342846
2023-02-15,70.08098727342846
2023-02-16,71.6737369841882
2023-02-17,79.63748553798689
2023-02-18,70.08098727342846
2023-02-19,76.45198611646741
2023-02-20,76.45198611646741
2023-02-21,79.63748553798689
2023-02-22,89.19398380254532
2023-02-23,81.23023524874662
2023-02-24,71.6737369841882
2023-02-25,70.08098727342846
2023-02-26,74.85923640570768
2023-02-27,86.00848438102584
2023-02-28,74.85923640570768
2023-03-01,73.26648669494793
2023-03-02,74.85923640570768
2023-03-03,65.30273814114925
2023-03-04,78.04473582722714
2023-03-05,74.85923640570768
2023-03-06,73.26648669494793
2023-03-07,90.78673351330505
2023-03-08,74.85923640570768
2023-03-09,71.6737369841882
2023-03-10,73.26648669494793
2023-03-11,71.6737369841882
2023-03-12,73.26648669494793
2023-03-13,70.08098727342846
2023-03-14,73.26648669494793
2023-03-15,74.85923640570768
2023-03-16,70.08098727342846
2023-03-17,66.89548785190898
2023-03-18,68.48823756266871
2023-03-19,82.82298495950636
2023-03-20,81.23023524874662
2023-03-21,79.63748553798689
2023-03-22,73.26648669494793
2023-03-23,65.30273814114925
2023-03-24,70.08098727342846
2023-03-25,70.08098727342846
2023-03-26,76.45198611646741
2023-03-27,79.63748553798689
2023-03-28,76.45198611646741
2023-03-29,70.08098727342846
2023-03-30,70.08098727342846
2023-03-31,68.48823756266871
2023-04-01,73.26648669494793
2023-04-02,73.26648669494793
2023-04-03,73.26648669494793
2023-04-04,70.08098727342846
2023-04-05,68.48823756266871
2023-04-06,74.85923640570768
2023-04-07,66.89548785190898
2023-04-08,63.70998843038951
2023-04-09,63.70998843038951
2023-04-10,78.04473582722714
2023-04-11,78.04473582722714
2023-04-12,73.26648669494793
2023-04-13,68.48823756266871
2023-04-14,73.26648669494793
2023-04-15,65.30273814114925
2023-04-16,71.6737369841882
2023-04-17,71.6737369841882
2023-04-18,73.26648669494793
2023-04-19,71.6737369841882
2023-04-20,71.6737369841882
2023-04-21,70.08098727342846
2023-04-22,65.30273814114925
2023-04-23,73.26648669494793
2023-04-24,71.6737369841882
2023-04-25,73.26648669494793
2023-04-26,74.56760617697702
2023-04-27,72.8066082573342
2023-04-28,74.56760617697702
2023-04-29,70.24923548231152
2023-04-30,69.76692395018006
2023-05-01,68.48823756266871
2023-05-02,73.28891978946567
2023-05-03,69.76692395018006
2023-05-04,74.56760617697702
2023-05-05,64.96624172338309
2023-05-06,57.125875189431994
2023-05-07,65.44855325551458
2023-05-08,76.32860409661981
2023-05-09,74.56760617697702
2023-05-10,68.48823756266871
2023-05-11,75.04991770910848
2023-05-12,67.20955117515737
2023-05-13,63.20524380374029
2023-05-14,63.687555335871764
2023-05-15,73.28891978946567
2023-05-16,77.60729048413116
2023-05-17,75.84629256448835
2023-05-18,73.28891978946567
2023-05-19,70.24923548231152
2023-05-20,65.44855325551458
2023-05-21,68.48823756266871
2023-05-22,70.24923548231152
2023-05-23,72.01023340195434
2023-05-24,70.24923548231152
2023-05-25,72.8066082573342
2023-05-26,65.5943683698799
2023-05-27,60.7712530485652
2023-05-28,58.84200692003932
2023-05-29,66.55899143414284
2023-05-30,69.45286062693165
2023-05-31,79.09909126956106
2023-06-01,67.52361449840578
2023-06-02,68.48823756266871
2023-06-03,73.31135288398342
2023-06-04,73.31135288398342
2023-06-05,72.34672981972048
2023-06-06,73.31135288398342
2023-06-07,73.31135288398342
2023-06-08,72.34672981972048
2023-06-09,66.55899143414284
2023-06-10,64.62974530561695
2023-06-11,78.1344682052981
2023-06-12,77.16984514103517
2023-06-13,71.38210675545753
2023-06-14,78.1344682052981
2023-06-15,76.20522207677223
2023-06-16,71.38210675545753
2023-06-17,66.55899143414284
2023-06-18,74.27597594824636
2023-06-19,77.16984514103517
2023-06-20,79.09909126956106
2023-06-21,77.16984514103517
2023-06-22,70.41748369119459
2023-06-23,72.34672981972048
2023-06-24,69.45286062693165
2023-06-25,78.1344682052981
2023-06-26,89.70994497645339
2023-06-27,96.46230642629396
2023-06-28,88.74532191219045
2023-06-29,92.60381416924221
2023-06-30,71.38210675545753
2023-07-01,69.45286062693165
2023-07-02,67.52361449840578
2023-07-03,70.41748369119459
2023-07-04,70.41748369119459
2023-07-05,75.24059901250929
2023-07-06,78.1344682052981
2023-07-07,72.34672981972048
2023-07-08,74.27597594824636
2023-07-09,88.74532191219045
2023-07-10,82.95758352661281
2023-07-11,79.09909126956106
2023-07-12,76.20522207677223
2023-07-13,76.20522207677223
2023-07-14,76.20522207677223
2023-07-15,73.31135288398342
2023-07-16,81.02833739808693
2023-07-17,81.99296046234987
2023-07-18,80.063714333824
2023-07-19,74.27597594824636
2023-07-20,72.34672981972048
2023-07-21,80.063714333824
2023-07-22,73.31135288398342
2023-07-23,74.27597594824636
2023-07-24,75.24059901250929
2023-07-25,77.16984514103517
2023-07-26,75.24059901250929
2023-07-27,71.38210675545753
2023-07-28,65.5943683698799
2023-07-29,73.31135288398342
2023-07-30,68.48823756266871
2023-07-31,70.41748369119459
2023-08-01,78.1344682052981
2023-08-02,68.48823756266871
2023-08-03,70.41748369119459
2023-08-04,70.41748369119459
2023-08-05,62.700499177091075
2023-08-06,68.48823756266871
2023-08-07,82.95758352661281
2023-08-08,83.92220659087575
2023-08-09,73.31135288398342
2023-08-10,74.27597594824636
2023-08-11,68.48823756266871
2023-08-12,63.66512224135402
2023-08-13,70.41748369119459
2023-08-14,68.48823756266871
2023-08-15,77.16984514103517
2023-08-16,70.41748369119459
2023-08-17,68.48823756266871
2023-08-18,62.700499177091075
2023-08-19,60.7712530485652
2023-08-20,65.5943683698799
2023-08-21,65.5943683698799
2023-08-22,69.45286062693165
2023-08-23,73.31135288398342
2023-08-24,64.62974530561695
2023-08-25,62.700499177091075
2023-08-26,54.98351466298756
2023-08-27,61.73587611282814
2023-08-28,70.41748369119459
2023-08-29,74.27597594824636
2023-08-30,73.31135288398342
2023-08-31,66.55899143414284
2023-09-01,63.66512224135402
2023-09-02,58.84200692003932
2023-09-03,56.91276079151344
2023-09-04,76.20522207677223
2023-09-05,72.34672981972048
2023-09-06,79.09909126956106
2023-09-07,78.1344682052981
2023-09-08,79.09909126956106
2023-09-09,67.52361449840578
2023-09-10,70.41748369119459
2023-09-11,70.41748369119459
2023-09-12,76.20522207677223
2023-09-13,68.48823756266871
2023-09-14,67.52361449840578
2023-09-15,63.66512224135402
2023-09-16,68.48823756266871
2023-09-17,62.700499177091075
2023-09-18,63.66512224135402
2023-09-19,68.48823756266871
2023-09-20,66.55899143414284
2023-09-21,65.5943683698799
2023-09-22,59.806629984302255
2023-09-23,61.73587611282814
2023-09-24,63.66512224135402
2023-09-25,71.38210675545753
2023-09-26,62.700499177091075
2023-09-27,65.5943683698799
2023-09-28,73.31135288398342
2023-09-29,62.700499177091075
2023-09-30,57.87738385577638
2023-10-01,61.73587611282814
2023-10-02,67.52361449840578
2023-10-03,62.700499177091075
2023-10-04,69.45286062693165
2023-10-05,61.73587611282814
2023-10-06,66.55899143414284
2023-10-07,57.87738385577638
2023-10-08,56.91276079151344
2023-10-09,73.31135288398342
2023-10-10,64.62974530561695
2023-10-11,72.34672981972048
2023-10-12,64.62974530561695
2023-10-13,57.87738385577638
2023-10-14,53.05426853446168
2023-10-15,66.55899143414284
2023-10-16,63.66512224135402
2023-10-17,59.806629984302255
2023-10-18,57.87738385577638
2023-10-19,65.5943683698799
2023-10-20,62.700499177091075
2023-10-21,55.9481377272505
2023-10-22,55.9481377272505
2023-10-23,58.84200692003932
2023-10-24,63.66512224135402
2023-10-25,55.9481377272505
2023-10-26,54.98351466298756
2023-10-27,54.01889159872462
2023-10-28,48.23115321314698
2023-10-29,51.1250224059358
2023-10-30,56.91276079151344
2023-10-31,54.98351466298756
2023-11-01,55.9481377272505
2023-11-02,57.87738385577638
2023-11-03,55.9481377272505
2023-11-04,49.19577627740992
2023-11-05,59.806629984302255
2023-11-06,57.87738385577638
2023-11-07,60.7712530485652
2023-11-08,57.87738385577638
2023-11-09,55.9481377272505
2023-11-10,55.9481377272505
2023-11-11,49.19577627740992
2023-11-12,54.01889159872462
2023-11-13,57.87738385577638
2023-11-14,56.91276079151344
2023-11-15,54.98351466298756
2023-11-16,53.05426853446168
2023-11-17,53.05426853446168
2023-11-18,53.05426853446168
2023-11-19,53.05426853446168
2023-11-20,56.91276079151344
2023-11-21,55.9481377272505
2023-11-22,54.98351466298756
2023-11-23,44.372660956095224
2023-11-24,54.01889159872462
2023-11-25,52.08964547019874
2023-11-26,59.806629984302255
2023-11-27,66.55899143414284
2023-11-28,74.27597594824636
2023-11-29,69.45286062693165
2023-11-30,59.806629984302255
2023-12-01,49.19577627740992
2023-12-02,49.19577627740992
2023-12-03,54.98351466298756
2023-12-04,55.9481377272505
2023-12-05,58.84200692003932
2023-12-06,56.91276079151344
2023-12-07,54.98351466298756
2023-12-08,54.98351466298756
2023-12-09,48.23115321314698
2023-12-10,54.01889159872462
2023-12-11,51.1250224059358
2023-12-12,53.05426853446168
2023-12-13,62.700499177091075
2023-12-14,62.700499177091075
2023-12-15,52.08964547019874
2023-12-16,49.19577627740992
2023-12-17,54.01889159872462
2023-12-18,54.98351466298756
2023-12-19,57.87738385577638
2023-12-20,54.98351466298756
2023-12-21,52.08964547019874
2023-12-22,50.08322949653183
2023-12-23,48.424077825999575
2023-12-24,43.23440574026496
2023-12-25,42.05756560186417
2023-12-26,59.76804506173174
2023-12-27,77.47852452159931
2023-12-28,66.61686881799861
2023-12-29,63.78087700906558
2023-12-30,60.94488520013253
2023-12-31,56.932053252798696
2024-01-01,59.76804506173174
2024-01-02,67.09918035013008
2024-01-03,70.62970076533244
2024-01-04,67.7937089563994
2024-01-05,69.45286062693165
2024-01-06,70.62970076533244
2024-01-07,71.80654090373322
2024-01-08,72.2888524358647
2024-01-09,71.1120122974639
2024-01-10,70.62970076533244
2024-01-11,71.80654090373322
2024-01-12,73.46569257426549
2024-01-13,69.45286062693165
2024-01-14,69.45286062693165
2024-01-15,70.62970076533244
2024-01-16,68.27602048853086
2024-01-17,69.93517215906311
2024-01-18,62.604036870664785
2024-01-19,60.94488520013253
2024-01-20,62.604036870664785
2024-01-21,62.50757456423849
2024-01-22,61.11851735169986
2024-01-23,63.89663177677713
2024-01-24,66.67474620185439
2024-01-25,66.67474620185439
2024-01-26,56.951345714083956
2024-01-27,59.729460139161226
2024-01-28,61.11851735169986
2024-01-29,63.89663177677713
2024-01-30,68.06380341439302
2024-01-31,63.89663177677713
2024-02-01,62.50757456423849
2024-02-02,59.729460139161226
2024-02-03,59.729460139161226
2024-02-04,66.67474620185439
2024-02-05,63.89663177677713
2024-02-06,65.28568898931576
2024-02-07,73.62003226454756
2024-02-08,61.11851735169986
2024-02-09,61.11851735169986
2024-02-10,56.951345714083956
2024-02-11,55.562288501545325
2024-02-12,54.173231289006694
2024-02-13,66.67474620185439
2024-02-14,59.729460139161226
2024-02-15,66.67474620185439
2024-02-16,59.729460139161226
2024-02-17,61.11851735169986
2024-02-18,68.06380341439302
2024-02-19,69.45286062693165
2024-02-20,83.343432752318
2024-02-21,66.67474620185439
2024-02-22,63.89663177677713
2024-02-23,59.729460139161226
2024-02-24,62.50757456423849
2024-02-25,65.28568898931576
2024-02-26,65.28568898931576
2024-02-27,62.50757456423849
2024-02-28,61.11851735169986
2024-02-29,66.67474620185439
2024-03-01,61.11851735169986
2024-03-02,59.729460139161226
2024-03-03,65.28568898931576
2024-03-04,65.28568898931576
2024-03-05,66.67474620185439
2024-03-06,68.06380341439302
2024-03-07,65.28568898931576
2024-03-08,62.50757456423849
2024-03-09,65.28568898931576
2024-03-10,66.67474620185439
2024-03-11,61.11851735169986
2024-03-12,70.84191783947028
2024-03-13,66.67474620185439
2024-03-14,62.50757456423849
2024-03-15,59.729460139161226
2024-03-16,62.50757456423849
2024-03-17,65.28568898931576
2024-03-18,66.67474620185439
2024-03-19,70.84191783947028
2024-03-20,68.06380341439302
2024-03-21,63.89663177677713
2024-03-22,59.729460139161226
2024-03-23,59.729460139161226
2024-03-24,63.89663177677713
2024-03-25,61.11851735169986
2024-03-26,66.67474620185439
2024-03-27,70.84191783947028
2024-03-28,63.89663177677713
2024-03-29,58.34040292662259
2024-03-30,50.00605965139079
2024-03-31,55.562288501545325
2024-04-01,68.06380341439302
2024-04-02,63.89663177677713
2024-04-03,69.45286062693165
2024-04-04,62.50757456423849
2024-04-05,62.50757456423849
2024-04-06,55.562288501545325
2024-04-07,61.11851735169986
2024-04-08,54.173231289006694
2024-04-09,62.50757456423849
2024-04-10,68.06380341439302
2024-04-11,70.84191783947028
2024-04-12,66.67474620185439
2024-04-13,65.28568898931576
2024-04-14,66.67474620185439
2024-04-15,61.11851735169986
2024-04-16,65.28568898931576
2024-04-17,63.89663177677713
2024-04-18,65.28568898931576
2024-04-19,75.00908947708619
2024-04-20,75.00908947708619
2024-04-21,65.28568898931576
2024-04-22,68.06380341439302
2024-04-23,61.11851735169986
2024-04-24,63.89663177677713
2024-04-25,62.50757456423849
2024-04-26,59.729460139161226
2024-04-27,87.51060438993389
2024-04-28,81.95437553977935
2024-04-29,73.62003226454756
2024-04-30,62.50757456423849
2024-05-01,59.729460139161226
2024-05-02,56.951345714083956
2024-05-03,56.951345714083956
2024-05-04,52.78417407646806
2024-05-05,61.11851735169986
2024-05-06,63.89663177677713
2024-05-07,65.28568898931576
2024-05-08,65.28568898931576
2024-05-09,62.50757456423849
2024-05-10,62.50757456423849
2024-05-11,54.173231289006694
2024-05-12,54.173231289006694
2024-05-13,65.28568898931576
2024-05-14,70.84191783947028
2024-05-15,62.50757456423849
2024-05-16,68.06380341439302
2024-05-17,61.11851735169986
2024-05-18,56.951345714083956
2024-05-19,61.11851735169986
2024-05-20,65.28568898931576
2024-05-21,72.23097505200892
2024-05-22,66.67474620185439
2024-05-23,63.89663177677713
2024-05-24,62.50757456423849
2024-05-25,55.562288501545325
2024-05-26,52.78417407646806
2024-05-27,72.23097505200892
2024-05-28,66.67474620185439
2024-05-29,69.45286062693165
2024-05-30,65.28568898931576
2024-05-31,65.28568898931576
2024-06-01,61.11851735169986
2024-06-02,65.28568898931576
2024-06-03,75.00908947708619
2024-06-04,73.62003226454756
2024-06-05,72.23097505200892
2024-06-06,68.06380341439302
2024-06-07,61.11851735169986
2024-06-08,58.34040292662259
2024-06-09,68.06380341439302
2024-06-10,68.06380341439302
2024-06-11,70.84191783947028
2024-06-12,69.45286062693165
2024-06-13,69.45286062693165
2024-06-14,62.50757456423849
2024-06-15,58.34040292662259
2024-06-16,55.562288501545325
2024-06-17,69.45286062693165
2024-06-18,66.67474620185439
2024-06-19,63.89663177677713
2024-06-20,62.50757456423849
2024-06-21,62.50757456423849
2024-06-22,62.50757456423849
2024-06-23,69.45286062693165
2024-06-24,66.67474620185439
2024-06-25,70.84191783947028
2024-06-26,69.45286062693165
2024-06-27,65.28568898931576
2024-06-28,58.34040292662259
2024-06-29,58.34040292662259
2024-06-30,63.89663177677713
2024-07-01,68.06380341439302
2024-07-02,69.45286062693165
2024-07-03,65.28568898931576
2024-07-04,62.50757456423849
2024-07-05,56.951345714083956
2024-07-06,62.50757456423849
2024-07-07,65.28568898931576
2024-07-08,73.62003226454756
2024-07-09,68.06380341439302
2024-07-10,68.06380341439302
2024-07-11,72.23097505200892
2024-07-12,76.39814668962482
2024-07-13,101.40117651532022
2024-07-14,73.62003226454756
2024-07-15,73.62003226454756
2024-07-16,86.12154717739526
2024-07-17,75.00908947708619
2024-07-18,70.84191783947028
2024-07-19,138.9057212538633
2024-07-20,97.23400487770432
2024-07-21,91.67777602754978
2024-07-22,109.73551979055202
2024-07-23,136.12760682878604
2024-07-24,94.45589045262705
2024-07-25,80.56531832724072
2024-07-26,62.50757456423849
2024-07-27,58.34040292662259
2024-07-28,62.50757456423849
2024-07-29,65.28568898931576
2024-07-30,66.67474620185439
2024-07-31,66.67474620185439
2024-08-01,63.89663177677713
2024-08-02,65.28568898931576
2024-08-03,63.89663177677713
2024-08-04,76.39814668962482
2024-08-05,72.23097505200892
2024-08-06,65.28568898931576
2024-08-07,68.06380341439302
2024-08-08,61.11851735169986
2024-08-09,59.729460139161226
2024-08-10,55.562288501545325
2024-08-11,59.729460139161226
2024-08-12,65.28568898931576
2024-08-13,62.50757456423849
2024-08-14,68.06380341439302
2024-08-15,59.729460139161226
2024-08-16,55.562288501545325
2024-08-17,51.395116863929424
2024-08-18,61.11851735169986
2024-08-19,65.28568898931576
2024-08-20,61.11851735169986
2024-08-21,58.34040292662259
2024-08-22,59.729460139161226
2024-08-23,52.78417407646806
2024-08-24,52.78417407646806
2024-08-25,55.562288501545325
2024-08-26,59.729460139161226
2024-08-27,77.78720390216345
2024-08-28,76.39814668962482
2024-08-29,69.45286062693165
2024-08-30,56.951345714083956
2024-08-31,51.395116863929424
2024-09-01,70.84191783947028
2024-09-02,77.78720390216345
2024-09-03,65.28568898931576
2024-09-04,68.06380341439302
2024-09-05,58.34040292662259
2024-09-06,54.173231289006694
2024-09-07,52.78417407646806
2024-09-08,55.562288501545325
2024-09-09,58.34040292662259
2024-09-10,65.28568898931576
2024-09-11,58.34040292662259
2024-09-12,59.729460139161226
2024-09-13,54.173231289006694
2024-09-14,52.78417407646806
2024-09-15,51.395116863929424
2024-09-16,56.951345714083956
2024-09-17,63.89663177677713
2024-09-18,56.951345714083956
2024-09-19,54.173231289006694
2024-09-20,54.173231289006694
2024-09-21,51.395116863929424
2024-09-22,51.395116863929424
