Time,types_of_flooring
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,73.08963267621616
2023-12-26,62.386895475819045
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,80.39859594383778
2023-12-30,72.11083534250463
2023-12-31,62.84427740745995
2024-01-01,0.0
2024-01-02,47.76896894057582
2024-01-03,0.0
2024-01-04,52.14154020706284
2024-01-05,0.0
2024-01-06,57.492908807261394
2024-01-07,60.429300808395986
2024-01-08,42.87498227201816
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,50.70536094171041
2024-01-12,49.72656360799887
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,46.790171606864284
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,49.205148205928246
2024-01-20,0.0
2024-01-21,50.055878598780325
2024-01-22,51.098709402921585
2024-01-23,58.39852503191038
2024-01-24,59.44135583605164
2024-01-25,54.22720181534535
2024-01-26,46.92738618635656
2024-01-27,75.0838178981705
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,52.14154020706284
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,52.14154020706284
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,62.56984824847541
2024-02-06,65.69834066089918
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,60.484186640192895
2024-02-10,0.0
2024-02-11,64.65550985675793
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,52.14154020706284
2024-02-15,52.14154020706284
2024-02-16,0.0
2024-02-17,60.484186640192895
2024-02-18,57.35569422776913
2024-02-19,64.65550985675793
2024-02-20,50.055878598780325
2024-02-21,0.0
2024-02-22,49.01304779463907
2024-02-23,62.56984824847541
2024-02-24,0.0
2024-02-25,54.22720181534535
2024-02-26,0.0
2024-02-27,51.098709402921585
2024-02-28,49.01304779463907
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,66.74117146504044
2024-03-05,74.04098709402923
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,53.1843710112041
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,77.169479506453
2024-03-12,64.65550985675793
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,86.55495674372432
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,60.484186640192895
2024-03-24,67.7840022691817
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,52.14154020706284
2024-03-30,0.0
2024-03-31,53.1843710112041
2024-04-01,78.21231031059426
2024-04-02,0.0
2024-04-03,79.25514111473552
2024-04-04,74.04098709402923
2024-04-05,52.14154020706284
2024-04-06,0.0
2024-04-07,54.22720181534535
2024-04-08,0.0
2024-04-09,51.098709402921585
2024-04-10,58.39852503191038
2024-04-11,60.484186640192895
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,49.01304779463907
2024-04-16,0.0
2024-04-17,45.884555382215304
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,54.22720181534535
2024-04-23,47.97021699049782
2024-04-24,90.72627996028935
2024-04-25,0.0
2024-04-26,49.01304779463907
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,92.81194156857185
2024-04-30,45.884555382215304
2024-05-01,0.0
2024-05-02,53.1843710112041
2024-05-03,0.0
2024-05-04,64.65550985675793
2024-05-05,0.0
2024-05-06,63.61267905261667
2024-05-07,46.92738618635656
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,104.28308041412568
2024-05-13,0.0
2024-05-14,61.527017444334156
2024-05-15,0.0
2024-05-16,65.69834066089918
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.0
2024-05-28,68.82683307332294
2024-05-29,57.35569422776913
2024-05-30,0.0
2024-05-31,0.0
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,63.61267905261667
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-08,0.0
2024-06-09,65.69834066089918
2024-06-10,51.098709402921585
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,57.35569422776913
2024-06-15,0.0
2024-06-16,85.51212593958306
2024-06-17,0.0
2024-06-18,0.0
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-22,0.0
2024-06-23,57.35569422776913
2024-06-24,58.39852503191038
2024-06-25,64.65550985675793
2024-06-26,77.169479506453
2024-06-27,0.0
2024-06-28,60.484186640192895
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,49.01304779463907
2024-07-04,0.0
2024-07-05,0.0
2024-07-06,0.0
2024-07-07,0.0
2024-07-08,0.0
2024-07-09,67.7840022691817
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-13,0.0
2024-07-14,65.69834066089918
2024-07-15,0.0
2024-07-16,52.14154020706284
2024-07-17,0.0
2024-07-18,47.97021699049782
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,75.0838178981705
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,71.95532548574673
2024-07-25,51.098709402921585
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,0.0
2024-07-30,61.527017444334156
2024-07-31,0.0
2024-08-01,56.31286342362787
2024-08-02,0.0
2024-08-03,58.39852503191038
2024-08-04,0.0
2024-08-05,54.22720181534535
2024-08-06,0.0
2024-08-07,61.527017444334156
2024-08-08,53.1843710112041
2024-08-09,51.098709402921585
2024-08-10,0.0
2024-08-11,0.0
2024-08-12,0.0
2024-08-13,70.91249468160547
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,56.8342788256985
2024-08-23,0.0
2024-08-24,55.270032619486614
2024-08-25,61.005602042263526
2024-08-26,0.0
2024-08-27,53.1843710112041
2024-08-28,57.87710962983975
2024-08-29,54.22720181534535
2024-08-30,51.620124804992216
2024-08-31,53.70578641327472
2024-09-01,58.39852503191038
2024-09-02,54.22720181534535
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,61.527017444334156
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,0.0
2024-09-11,0.0
2024-09-12,63.61267905261667
2024-09-13,50.577294000850955
2024-09-14,81.60151042405334
2024-09-15,59.96277123812227
2024-09-16,50.055878598780325
2024-09-17,55.270032619486614
2024-09-18,0.0
2024-09-19,55.270032619486614
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,55.270032619486614
2024-09-24,0.0
2024-09-25,55.270032619486614
2024-09-26,0.0
2024-09-27,0.0
2024-09-28,55.270032619486614
2024-09-29,55.270032619486614
2024-09-30,0.0
2024-10-01,55.270032619486614
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,55.270032619486614
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,55.270032619486614
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,55.270032619486614
2024-10-12,0.0
2024-10-13,110.54006523897323
2024-10-14,55.270032619486614
2024-10-15,55.270032619486614
2024-10-16,55.270032619486614
2024-10-17,0.0
2024-10-18,55.270032619486614
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,55.270032619486614
2024-10-23,55.270032619486614
2024-10-24,55.270032619486614
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,55.270032619486614
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,55.270032619486614
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,55.270032619486614
2024-11-12,55.270032619486614
2024-11-13,82.90504892922992
2024-11-14,55.270032619486614
2024-11-15,0.0
2024-11-16,82.90504892922992
2024-11-17,0.0
2024-11-18,82.90504892922992
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,0.0
2024-11-26,55.270032619486614
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,0.0
2024-12-02,0.0
2024-12-03,55.270032619486614
2024-12-04,55.270032619486614
2024-12-05,0.0
2024-12-06,0.0
2024-12-07,0.0
2024-12-08,0.0
2024-12-09,0.0
2024-12-10,0.0
2024-12-11,55.270032619486614
2024-12-12,0.0
2024-12-13,55.270032619486614
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,0.0
2024-12-17,55.270032619486614
2024-12-18,55.270032619486614
2024-12-19,0.0
2024-12-20,0.0
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,55.270032619486614
2024-12-24,0.0
2024-12-25,0.0
2024-12-26,0.0
2024-12-27,55.270032619486614
2024-12-28,0.0
2024-12-29,0.0
2024-12-30,0.0
2024-12-31,0.0
2025-01-01,0.0
2025-01-02,0.0
2025-01-03,0.0
2025-01-04,82.90504892922992
2025-01-05,0.0
2025-01-06,55.270032619486614
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,0.0
2025-01-10,55.270032619486614
2025-01-11,55.270032619486614
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,0.0
2025-01-15,0.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,0.0
2025-01-19,55.270032619486614
2025-01-20,55.270032619486614
2025-01-21,0.0
2025-01-22,0.0
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,55.270032619486614
2025-01-26,55.270032619486614
2025-01-27,55.270032619486614
2025-01-28,55.270032619486614
