date,end_period_ts,ticker,price_close,price_open,price_high,price_low,price_mean,yes_bid_close,yes_ask_close,yes_mid_close,volume,open_interest
2024-11-22,1732251600,FED-25MAY-T2.75,,,,,,0.96,1.0,0.98,0.0,0.0
2024-11-26,1732597200,FED-25MAY-T2.75,,,,,,0.97,1.0,0.985,0.0,0.0
2024-11-27,1732683600,FED-25MAY-T2.75,,,,,,0.97,0.99,0.98,0.0,0.0
2024-12-07,1733547600,FED-25MAY-T2.75,,,,,,0.95,0.99,0.97,0.0,0.0
2024-12-12,1733979600,FED-25MAY-T2.75,,,,,,0.96,1.0,0.98,0.0,0.0
2024-12-13,1734066000,FED-25MAY-T2.75,,,,,,0.96,0.98,0.97,0.0,0.0
2024-12-18,1734498000,FED-25MAY-T2.75,,,,,,0.96,1.0,0.98,0.0,0.0
2024-12-19,1734584400,FED-25MAY-T2.75,,,,,,0.95,1.0,0.975,0.0,0.0
2025-01-07,1736226000,FED-25MAY-T2.75,,,,,,0.96,1.0,0.98,0.0,0.0
2025-01-21,1737435600,FED-25MAY-T2.75,,,,,,0.95,1.0,0.975,0.0,0.0
2025-01-22,1737522000,FED-25MAY-T2.75,,,,,,0.96,1.0,0.98,0.0,0.0
2025-01-27,1737954000,FED-25MAY-T2.75,0.96,0.96,0.96,0.96,0.96,0.96,1.0,0.98,69.0,69.0
2025-01-30,1738213200,FED-25MAY-T2.75,,,,,,0.93,1.0,0.9650000000000001,0.0,69.0
2025-02-02,1738472400,FED-25MAY-T2.75,,,,,,0.98,1.0,0.99,0.0,69.0
2025-02-04,1738645200,FED-25MAY-T2.75,0.98,0.98,0.98,0.98,0.98,0.98,1.0,0.99,3.0,72.0
2025-02-05,1738731600,FED-25MAY-T2.75,,,,,,0.98,0.99,0.985,0.0,72.0
2025-02-08,1738990800,FED-25MAY-T2.75,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.985,1.0,73.0
2025-02-15,1739595600,FED-25MAY-T2.75,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.985,50.0,119.0
2025-02-17,1739768400,FED-25MAY-T2.75,0.99,0.99,0.99,0.99,0.99,0.98,1.0,0.99,200.0,319.0
2025-03-12,1741752000,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,319.0
2025-03-14,1741924800,FED-25MAY-T2.75,,,,,,0.98,1.0,0.99,0.0,319.0
2025-03-20,1742443200,FED-25MAY-T2.75,0.99,0.99,0.99,0.99,0.99,0.98,1.0,0.99,90.0,409.0
2025-03-24,1742788800,FED-25MAY-T2.75,,,,,,0.98,1.0,0.99,0.0,409.0
2025-03-26,1742961600,FED-25MAY-T2.75,,,,,,0.98,1.0,0.99,0.0,409.0
2025-03-30,1743307200,FED-25MAY-T2.75,,,,,,0.98,1.0,0.99,0.0,409.0
2025-04-08,1744084800,FED-25MAY-T2.75,,,,,,0.98,1.0,0.99,0.0,409.0
2025-04-09,1744171200,FED-25MAY-T2.75,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.995,917.0,1326.0
2025-04-15,1744689600,FED-25MAY-T2.75,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.995,467.0,1793.0
2025-04-28,1745812800,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1793.0
2025-04-29,1745899200,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1793.0
2025-04-30,1745985600,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1793.0
2025-05-01,1746072000,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1793.0
2025-05-02,1746158400,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1793.0
2025-05-03,1746244800,FED-25MAY-T2.75,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.995,2.0,1795.0
2025-05-04,1746331200,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1795.0
2025-05-05,1746417600,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1795.0
2025-05-06,1746504000,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1795.0
2025-05-07,1746590400,FED-25MAY-T2.75,,,,,,0.99,1.0,0.995,0.0,1795.0
2025-05-08,1746676800,FED-25MAY-T2.75,,,,,,0.0,1.0,0.5,0.0,1795.0
