date,end_period_ts,ticker,price_close,price_open,price_high,price_low,price_mean,yes_bid_close,yes_ask_close,yes_mid_close,volume,open_interest
2025-04-01,1743480000,FED-25SEP-T3.50,,,,,,0.76,0.84,0.8,0.0,6959.0
2025-04-02,1743566400,FED-25SEP-T3.50,,,,,,0.75,0.83,0.79,0.0,6959.0
2025-04-03,1743652800,FED-25SEP-T3.50,,,,,,0.7,0.8,0.75,0.0,6959.0
2025-04-04,1743739200,FED-25SEP-T3.50,,,,,,0.76,0.84,0.8,0.0,6959.0
2025-04-05,1743825600,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-04-06,1743912000,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-04-07,1743998400,FED-25SEP-T3.50,,,,,,0.67,0.91,0.79,0.0,6959.0
2025-04-08,1744084800,FED-25SEP-T3.50,,,,,,0.7,0.8,0.75,0.0,6959.0
2025-04-09,1744171200,FED-25SEP-T3.50,,,,,,0.7,0.8,0.75,0.0,6959.0
2025-04-10,1744257600,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-11,1744344000,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-12,1744430400,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-13,1744516800,FED-25SEP-T3.50,,,,,,0.7,0.8,0.75,0.0,6959.0
2025-04-14,1744603200,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-15,1744689600,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-16,1744776000,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-17,1744862400,FED-25SEP-T3.50,,,,,,0.7,0.8,0.75,0.0,6959.0
2025-04-18,1744948800,FED-25SEP-T3.50,,,,,,0.71,0.81,0.76,0.0,6959.0
2025-04-19,1745035200,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-20,1745121600,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-21,1745208000,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-22,1745294400,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-23,1745380800,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-24,1745467200,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-25,1745553600,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-26,1745640000,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-27,1745726400,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-28,1745812800,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-29,1745899200,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-04-30,1745985600,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
2025-05-01,1746072000,FED-25SEP-T3.50,,,,,,0.71,0.8,0.755,0.0,6959.0
