Time,dow_jones_industrial_average
2022-07-09,8.0
2022-07-10,4.0
2022-07-11,47.0
2022-07-12,50.0
2022-07-13,54.0
2022-07-14,55.0
2022-07-15,55.0
2022-07-16,9.0
2022-07-17,5.0
2022-07-18,50.0
2022-07-19,54.0
2022-07-20,60.0
2022-07-21,53.0
2022-07-22,59.0
2022-07-23,10.0
2022-07-24,5.0
2022-07-25,54.0
2022-07-26,54.0
2022-07-27,57.0
2022-07-28,61.0
2022-07-29,60.0
2022-07-30,12.0
2022-07-31,7.0
2022-08-01,52.0
2022-08-02,50.0
2022-08-03,52.0
2022-08-04,53.0
2022-08-05,55.0
2022-08-06,10.0
2022-08-07,5.0
2022-08-08,50.0
2022-08-09,52.0
2022-08-10,52.0
2022-08-11,53.0
2022-08-12,54.0
2022-08-13,12.0
2022-08-14,5.0
2022-08-15,51.0
2022-08-16,54.0
2022-08-17,53.0
2022-08-18,52.0
2022-08-19,50.0
2022-08-20,8.0
2022-08-21,3.0
2022-08-22,47.0
2022-08-23,53.0
2022-08-24,46.0
2022-08-25,47.0
2022-08-26,52.0
2022-08-27,12.0
2022-08-28,6.0
2022-08-29,51.9746835443038
2022-08-30,59.94303797468354
2022-08-31,61.164556962025316
2022-09-01,54.917721518987335
2022-09-02,58.22151898734177
2022-09-03,10.91139240506329
2022-09-04,7.968354430379747
2022-09-05,10.41139240506329
2022-09-06,49.03164556962025
2022-09-07,53.69620253164557
2022-09-08,51.11392405063291
2022-09-09,51.9746835443038
2022-09-10,9.189873417721518
2022-09-11,7.1075949367088604
2022-09-12,51.9746835443038
2022-09-13,71.21518987341773
2022-09-14,71.21518987341773
2022-09-15,57.0
2022-09-16,53.19620253164557
2022-09-17,10.91139240506329
2022-09-18,3.8037974683544302
2022-09-19,51.9746835443038
2022-09-20,57.360759493670884
2022-09-21,60.30379746835443
2022-09-22,63.74683544303797
2022-09-23,72.07594936708861
2022-09-24,12.99367088607595
2022-09-25,5.886075949367088
2022-09-26,58.22151898734177
2022-09-27,59.44303797468354
2022-09-28,56.278481012658226
2022-09-29,58.44303797468354
2022-09-30,61.32911392405063
2022-10-01,10.822784810126581
2022-10-02,6.493670886075949
2022-10-03,54.83544303797468
2022-10-04,64.9367088607595
2022-10-05,64.21518987341771
2022-10-06,54.83544303797468
2022-10-07,60.60759493670886
2022-10-08,10.101265822784809
2022-10-09,2.8860759493670884
2022-10-10,53.392405063291136
2022-10-11,57.72151898734177
2022-10-12,57.0
2022-10-13,64.21518987341771
2022-10-14,60.60759493670886
2022-10-15,12.265822784810126
2022-10-16,6.493670886075949
2022-10-17,55.55696202531645
2022-10-18,57.72151898734177
2022-10-19,54.83544303797468
2022-10-20,54.11392405063291
2022-10-21,57.72151898734177
2022-10-22,11.544303797468354
2022-10-23,5.0506329113924044
2022-10-24,54.83544303797468
2022-10-25,56.278481012658226
2022-10-26,56.278481012658226
2022-10-27,58.44303797468354
2022-10-28,60.60759493670886
2022-10-29,14.430379746835442
2022-10-30,5.772151898734177
2022-10-31,57.72151898734177
2022-11-01,51.949367088607595
2022-11-02,57.0
2022-11-03,52.67088607594936
2022-11-04,57.72151898734177
2022-11-05,10.822784810126581
2022-11-06,5.0506329113924044
2022-11-07,46.177215189873415
2022-11-08,53.392405063291136
2022-11-09,51.22784810126582
2022-11-10,67.10126582278481
2022-11-11,59.164556962025316
2022-11-12,12.987341772151899
2022-11-13,5.0506329113924044
2022-11-14,46.89873417721519
2022-11-15,52.67088607594936
2022-11-16,51.22784810126582
2022-11-17,51.949367088607595
2022-11-18,49.78481012658228
2022-11-19,10.822784810126581
2022-11-20,4.329113924050633
2022-11-21,47.62025316455696
2022-11-22,51.949367088607595
2022-11-23,53.392405063291136
2022-11-24,10.822784810126581
2022-11-25,36.075949367088604
2022-11-26,10.101265822784809
2022-11-27,5.0506329113924044
2022-11-28,37.51898734177215
2022-11-29,42.56962025316455
2022-11-30,48.34177215189873
2022-12-01,51.949367088607595
2022-12-02,45.45569620253164
2022-12-03,11.544303797468354
2022-12-04,5.772151898734177
2022-12-05,41.12658227848101
2022-12-06,49.063291139240505
2022-12-07,47.62025316455696
2022-12-08,50.506329113924046
2022-12-09,45.45569620253164
2022-12-10,10.822784810126581
2022-12-11,4.329113924050633
2022-12-12,45.45569620253164
2022-12-13,53.392405063291136
2022-12-14,54.11392405063291
2022-12-15,55.55696202531645
2022-12-16,51.22784810126582
2022-12-17,12.265822784810126
2022-12-18,4.329113924050633
2022-12-19,46.177215189873415
2022-12-20,49.78481012658228
2022-12-21,51.22784810126582
2022-12-22,49.063291139240505
2022-12-23,49.78481012658228
2022-12-24,14.430379746835442
2022-12-25,3.6075949367088604
2022-12-26,19.481012658227847
2022-12-27,46.177215189873415
2022-12-28,46.89873417721519
2022-12-29,46.89873417721519
2022-12-30,44.734177215189874
2022-12-31,10.822784810126581
2023-01-01,5.0506329113924044
2023-01-02,18.759493670886076
2023-01-03,38.962025316455694
2023-01-04,44.734177215189874
2023-01-05,46.177215189873415
2023-01-06,47.62025316455696
2023-01-07,10.822784810126581
2023-01-08,4.329113924050633
2023-01-09,47.62025316455696
2023-01-10,46.89873417721519
2023-01-11,45.45569620253164
2023-01-12,47.62025316455696
2023-01-13,46.89873417721519
2023-01-14,7.215189873417721
2023-01-15,5.0506329113924044
2023-01-16,18.037974683544302
2023-01-17,44.0126582278481
2023-01-18,44.734177215189874
2023-01-19,48.34177215189873
2023-01-20,47.62025316455696
2023-01-21,10.101265822784809
2023-01-22,4.329113924050633
2023-01-23,44.0126582278481
2023-01-24,46.89873417721519
2023-01-25,43.291139240506325
2023-01-26,45.45569620253164
2023-01-27,46.177215189873415
2023-01-28,10.822784810126581
2023-01-29,5.0506329113924044
2023-01-30,41.848101265822784
2023-01-31,49.78481012658228
2023-02-01,51.22784810126582
2023-02-02,51.949367088607595
2023-02-03,47.62025316455696
2023-02-04,10.101265822784809
2023-02-05,4.329113924050633
2023-02-06,44.734177215189874
2023-02-07,43.291139240506325
2023-02-08,44.734177215189874
2023-02-09,46.89873417721519
2023-02-10,42.56962025316455
2023-02-11,7.936708860759493
2023-02-12,5.772151898734177
2023-02-13,38.24050632911392
2023-02-14,52.67088607594936
2023-02-15,48.34177215189873
2023-02-16,45.45569620253164
2023-02-17,48.34177215189873
2023-02-18,7.936708860759493
2023-02-19,4.329113924050633
2023-02-20,20.202531645569618
2023-02-21,46.89873417721519
2023-02-22,46.89873417721519
2023-02-23,49.78481012658228
2023-02-24,45.45569620253164
2023-02-25,11.544303797468354
2023-02-26,5.0506329113924044
2023-02-27,42.56962025316455
2023-02-28,41.12658227848101
2023-03-01,44.0126582278481
2023-03-02,41.12658227848101
2023-03-03,41.848101265822784
2023-03-04,9.379746835443038
2023-03-05,3.6075949367088604
2023-03-06,41.848101265822784
2023-03-07,48.34177215189873
2023-03-08,49.063291139240505
2023-03-09,46.177215189873415
2023-03-10,57.72151898734177
2023-03-11,10.822784810126581
2023-03-12,7.215189873417721
2023-03-13,57.72151898734177
2023-03-14,57.72151898734177
2023-03-15,68.54430379746834
2023-03-16,56.278481012658226
2023-03-17,52.67088607594936
2023-03-18,7.936708860759493
2023-03-19,2.8860759493670884
2023-03-20,52.67088607594936
2023-03-21,44.734177215189874
2023-03-22,52.67088607594936
2023-03-23,52.67088607594936
2023-03-24,51.949367088607595
2023-03-25,10.101265822784809
2023-03-26,3.6075949367088604
2023-03-27,46.89873417721519
2023-03-28,49.063291139240505
2023-03-29,48.34177215189873
2023-03-30,47.62025316455696
2023-03-31,46.177215189873415
2023-04-01,10.822784810126581
2023-04-02,3.6075949367088604
2023-04-03,44.734177215189874
2023-04-04,44.734177215189874
2023-04-05,44.734177215189874
2023-04-06,47.62025316455696
2023-04-07,30.30379746835443
2023-04-08,6.493670886075949
2023-04-09,2.1645569620253164
2023-04-10,41.848101265822784
2023-04-11,46.177215189873415
2023-04-12,47.62025316455696
2023-04-13,45.45569620253164
2023-04-14,44.0126582278481
2023-04-15,9.379746835443038
2023-04-16,4.329113924050633
2023-04-17,41.848101265822784
2023-04-18,42.56962025316455
2023-04-19,45.45569620253164
2023-04-20,46.89873417721519
2023-04-21,41.12658227848101
2023-04-22,7.215189873417721
2023-04-23,3.6075949367088604
2023-04-24,39.68354430379747
2023-04-25,44.0126582278481
2023-04-26,43.1880650994575
2023-04-27,38.39511754068715
2023-04-28,45.40415913200723
2023-04-29,9.508589511754067
2023-04-30,3.504520795660036
2023-05-01,43.1880650994575
2023-05-02,45.40415913200723
2023-05-03,46.33182640144665
2023-05-04,41.25542495479204
2023-05-05,41.899638336347195
2023-05-06,7.292495479204339
2023-05-07,2.8603074141048825
2023-05-08,39.68354430379747
2023-05-09,41.25542495479204
2023-05-10,43.47151898734177
2023-05-11,40.32775768535262
2023-05-12,39.039330922242314
2023-05-13,6.3648282097649185
2023-05-14,3.7879746835443036
2023-05-15,43.83227848101266
2023-05-16,39.039330922242314
2023-05-17,39.4000904159132
2023-05-18,42.54385171790234
2023-05-19,44.11573236889693
2023-05-20,9.508589511754067
2023-05-21,3.1437613019891497
2023-05-22,38.39511754068715
2023-05-23,37.46745027124774
2023-05-24,37.46745027124774
2023-05-25,42.54385171790234
2023-05-26,39.68354430379747
2023-05-27,10.204339963833634
2023-05-28,4.535262206148282
2023-05-29,6.235985533453888
2023-05-30,37.98282097649186
2023-05-31,41.38426763110307
2023-06-01,41.38426763110307
2023-06-02,51.02169981916817
2023-06-03,10.204339963833634
2023-06-04,3.9683544303797467
2023-06-05,44.21880650994575
2023-06-06,41.38426763110307
2023-06-07,41.951175406871606
2023-06-08,40.250452079566
2023-06-09,42.51808318264014
2023-06-10,9.637432188065098
2023-06-11,4.535262206148282
2023-06-12,36.282097649186255
2023-06-13,44.785714285714285
2023-06-14,43.651898734177216
2023-06-15,45.35262206148282
2023-06-16,44.785714285714285
2023-06-17,9.070524412296564
2023-06-18,2.834538878842676
2023-06-19,22.67631103074141
2023-06-20,39.116636528028934
2023-06-21,40.250452079566
2023-06-22,38.54972875226039
2023-06-23,40.250452079566
2023-06-24,7.369801084990958
2023-06-25,3.9683544303797467
2023-06-26,40.81735985533454
2023-06-27,40.81735985533454
2023-06-28,37.98282097649186
2023-06-29,41.38426763110307
2023-06-30,39.68354430379747
2023-07-01,7.369801084990958
2023-07-02,3.4014466546112114
2023-07-03,32.88065099457504
2023-07-04,7.936708860759493
2023-07-05,35.71518987341772
2023-07-06,37.98282097649186
2023-07-07,41.951175406871606
2023-07-08,7.936708860759493
2023-07-09,4.535262206148282
2023-07-10,35.14828209764919
2023-07-11,41.951175406871606
2023-07-12,43.08499095840868
2023-07-13,45.35262206148282
2023-07-14,46.48643761301989
2023-07-15,7.369801084990958
2023-07-16,4.535262206148282
2023-07-17,41.38426763110307
2023-07-18,44.21880650994575
2023-07-19,44.21880650994575
2023-07-20,47.05334538878842
2023-07-21,46.48643761301989
2023-07-22,8.50361663652803
2023-07-23,3.9683544303797467
2023-07-24,39.68354430379747
2023-07-25,48.1871609403255
2023-07-26,42.51808318264014
2023-07-27,51.588607594936704
2023-07-28,44.21880650994575
2023-07-29,8.50361663652803
2023-07-30,3.4014466546112114
2023-07-31,42.51808318264014
2023-08-01,44.21880650994575
2023-08-02,45.35262206148282
2023-08-03,46.48643761301989
2023-08-04,44.785714285714285
2023-08-05,9.637432188065098
2023-08-06,5.102169981916817
2023-08-07,39.68354430379747
2023-08-08,47.62025316455696
2023-08-09,48.75406871609403
2023-08-10,48.75406871609403
2023-08-11,48.1871609403255
2023-08-12,9.070524412296564
2023-08-13,3.4014466546112114
2023-08-14,38.54972875226039
2023-08-15,39.116636528028934
2023-08-16,44.21880650994575
2023-08-17,40.81735985533454
2023-08-18,40.81735985533454
2023-08-19,9.070524412296564
2023-08-20,3.9683544303797467
2023-08-21,40.250452079566
2023-08-22,41.951175406871606
2023-08-23,41.951175406871606
2023-08-24,44.785714285714285
2023-08-25,44.21880650994575
2023-08-26,7.936708860759493
2023-08-27,5.102169981916817
2023-08-28,37.98282097649186
2023-08-29,47.05334538878842
2023-08-30,42.51808318264014
2023-08-31,38.54972875226039
2023-09-01,44.21880650994575
2023-09-02,7.936708860759493
2023-09-03,3.4014466546112114
2023-09-04,6.235985533453888
2023-09-05,35.71518987341772
2023-09-06,39.116636528028934
2023-09-07,36.84900542495479
2023-09-08,34.58137432188065
2023-09-09,6.235985533453888
2023-09-10,3.4014466546112114
2023-09-11,35.14828209764919
2023-09-12,35.71518987341772
2023-09-13,37.98282097649186
2023-09-14,42.51808318264014
2023-09-15,44.785714285714285
2023-09-16,6.802893309222423
2023-09-17,3.9683544303797467
2023-09-18,36.84900542495479
2023-09-19,39.116636528028934
2023-09-20,43.08499095840868
2023-09-21,37.98282097649186
2023-09-22,36.84900542495479
2023-09-23,7.369801084990958
2023-09-24,3.4014466546112114
2023-09-25,39.116636528028934
2023-09-26,38.54972875226039
2023-09-27,42.51808318264014
2023-09-28,41.951175406871606
2023-09-29,37.98282097649186
2023-09-30,8.50361663652803
2023-10-01,5.102169981916817
2023-10-02,39.68354430379747
2023-10-03,44.785714285714285
2023-10-04,44.21880650994575
2023-10-05,46.48643761301989
2023-10-06,44.21880650994575
2023-10-07,8.50361663652803
2023-10-08,5.102169981916817
2023-10-09,38.54972875226039
2023-10-10,45.91952983725135
2023-10-11,41.38426763110307
2023-10-12,44.21880650994575
2023-10-13,44.21880650994575
2023-10-14,9.637432188065098
2023-10-15,4.535262206148282
2023-10-16,40.81735985533454
2023-10-17,42.51808318264014
2023-10-18,40.250452079566
2023-10-19,41.951175406871606
2023-10-20,45.35262206148282
2023-10-21,9.637432188065098
2023-10-22,5.102169981916817
2023-10-23,39.68354430379747
2023-10-24,43.08499095840868
2023-10-25,43.08499095840868
2023-10-26,39.116636528028934
2023-10-27,40.81735985533454
2023-10-28,7.936708860759493
2023-10-29,5.102169981916817
2023-10-30,43.08499095840868
2023-10-31,45.91952983725135
2023-11-01,45.35262206148282
2023-11-02,44.21880650994575
2023-11-03,48.1871609403255
2023-11-04,10.77124773960217
2023-11-05,3.9683544303797467
2023-11-06,42.51808318264014
2023-11-07,47.62025316455696
2023-11-08,45.91952983725135
2023-11-09,44.785714285714285
2023-11-10,41.951175406871606
2023-11-11,11.338155515370705
2023-11-12,3.9683544303797467
2023-11-13,43.651898734177216
2023-11-14,49.32097649186257
2023-11-15,48.1871609403255
2023-11-16,48.1871609403255
2023-11-17,47.05334538878842
2023-11-18,9.070524412296564
2023-11-19,5.102169981916817
2023-11-20,41.951175406871606
2023-11-21,49.8878842676311
2023-11-22,46.48643761301989
2023-11-23,10.204339963833634
2023-11-24,34.01446654611212
2023-11-25,6.802893309222423
2023-11-26,4.535262206148282
2023-11-27,41.951175406871606
2023-11-28,43.651898734177216
2023-11-29,47.05334538878842
2023-11-30,49.8878842676311
2023-12-01,49.32097649186257
2023-12-02,12.471971066907775
2023-12-03,5.669077757685352
2023-12-04,41.951175406871606
2023-12-05,47.62025316455696
2023-12-06,47.62025316455696
2023-12-07,42.51808318264014
2023-12-08,48.75406871609403
2023-12-09,11.338155515370705
2023-12-10,5.669077757685352
2023-12-11,43.651898734177216
2023-12-12,47.05334538878842
2023-12-13,56.69077757685352
2023-12-14,56.123869801084986
2023-12-15,53.85623869801085
2023-12-16,10.77124773960217
2023-12-17,7.369801084990958
2023-12-18,49.8878842676311
2023-12-19,53.289330922242314
2023-12-20,54.99005424954792
2023-12-21,54.42314647377938
2023-12-22,53.99571127620867
2023-12-23,11.174350692031776
2023-12-24,5.587175346015888
2023-12-25,3.819268193305348
2023-12-26,48.408535930192784
2023-12-27,55.76361842891921
2023-12-28,47.94976318566391
2023-12-29,54.27916516409294
2023-12-30,12.20003121232918
2023-12-31,5.587175346015888
2024-01-01,6.612855866313291
2024-01-02,44.8727216247717
2024-01-03,45.898402145069106
2024-01-04,45.898402145069106
2024-01-05,47.66630929777965
2024-01-06,10.89089680414751
2024-01-07,4.5614948257184835
2024-01-08,45.614948257184835
2024-01-09,46.18185603295338
2024-01-10,43.104814472061165
2024-01-11,43.38826835994543
2024-01-12,42.07913395176376
2024-01-13,9.865216283850103
2024-01-14,5.30372145813162
2024-01-15,15.73584551775026
2024-01-16,37.517639126045275
2024-01-17,43.104814472061165
2024-01-18,42.36258783964803
2024-01-19,45.614948257184835
2024-01-20,8.380763019023831
2024-01-21,5.505272934346423
2024-01-22,44.95972896382912
2024-01-23,45.87727445288686
2024-01-24,49.54745640911781
2024-01-25,43.12463798571365
2024-01-26,35.78427407325175
2024-01-27,5.505272934346423
2024-01-28,4.587727445288686
2024-01-29,28.44391016078985
2024-01-30,35.78427407325175
2024-01-31,34.866728584194014
2024-02-01,33.94918309513628
2024-02-02,31.196546627963063
2024-02-03,10.093000379635109
2024-02-04,5.505272934346423
2024-02-05,31.196546627963063
2024-02-06,29.36145564984759
2024-02-07,33.94918309513628
2024-02-08,29.36145564984759
2024-02-09,35.78427407325175
2024-02-10,8.257909401519635
2024-02-11,4.587727445288686
2024-02-12,30.279001138905326
2024-02-13,38.53691054042496
2024-02-14,35.78427407325175
2024-02-15,34.866728584194014
2024-02-16,36.70181956230949
2024-02-17,7.340363912461897
2024-02-18,3.6701819562309486
2024-02-19,15.598273313981531
2024-02-20,32.1140921170208
2024-02-21,34.866728584194014
2024-02-22,33.94918309513628
2024-02-23,33.94918309513628
2024-02-24,9.175454890577372
2024-02-25,5.505272934346423
2024-02-26,34.866728584194014
2024-02-27,33.94918309513628
2024-02-28,31.196546627963063
2024-02-29,35.78427407325175
2024-03-01,31.196546627963063
2024-03-02,5.505272934346423
2024-03-03,3.6701819562309486
2024-03-04,29.36145564984759
2024-03-05,30.279001138905326
2024-03-06,32.1140921170208
2024-03-07,35.78427407325175
2024-03-08,33.94918309513628
2024-03-09,7.340363912461897
2024-03-10,4.587727445288686
2024-03-11,29.36145564984759
2024-03-12,31.196546627963063
2024-03-13,34.866728584194014
2024-03-14,31.196546627963063
2024-03-15,32.1140921170208
2024-03-16,5.505272934346423
2024-03-17,5.505272934346423
2024-03-18,27.526364671732114
2024-03-19,31.196546627963063
2024-03-20,34.866728584194014
2024-03-21,36.70181956230949
2024-03-22,31.196546627963063
2024-03-23,8.257909401519635
2024-03-24,4.587727445288686
2024-03-25,29.36145564984759
2024-03-26,32.1140921170208
2024-03-27,32.1140921170208
2024-03-28,35.78427407325175
2024-03-29,20.186000759270218
2024-03-30,7.340363912461897
2024-03-31,2.7526364671732115
2024-04-01,31.196546627963063
2024-04-02,33.03163760607854
2024-04-03,32.1140921170208
2024-04-04,33.94918309513628
2024-04-05,35.78427407325175
2024-04-06,9.175454890577372
2024-04-07,4.587727445288686
2024-04-08,29.36145564984759
2024-04-09,33.03163760607854
2024-04-10,35.78427407325175
2024-04-11,32.1140921170208
2024-04-12,34.866728584194014
2024-04-13,9.175454890577372
2024-04-14,4.587727445288686
2024-04-15,33.94918309513628
2024-04-16,34.866728584194014
2024-04-17,33.94918309513628
2024-04-18,33.03163760607854
2024-04-19,31.196546627963063
2024-04-20,7.340363912461897
2024-04-21,5.505272934346423
2024-04-22,34.866728584194014
2024-04-23,33.03163760607854
2024-04-24,33.94918309513628
2024-04-25,37.619365051367225
2024-04-26,35.78427407325175
2024-04-27,8.257909401519635
2024-04-28,4.587727445288686
2024-04-29,31.196546627963063
2024-04-30,33.94918309513628
2024-05-01,37.619365051367225
2024-05-02,31.196546627963063
2024-05-03,33.03163760607854
2024-05-04,6.42281842340416
2024-05-05,5.505272934346423
2024-05-06,33.03163760607854
2024-05-07,31.196546627963063
2024-05-08,31.196546627963063
2024-05-09,33.94918309513628
2024-05-10,34.866728584194014
2024-05-11,7.340363912461897
2024-05-12,3.6701819562309486
2024-05-13,30.279001138905326
2024-05-14,33.94918309513628
2024-05-15,34.866728584194014
2024-05-16,41.28954700759817
2024-05-17,39.4544560294827
2024-05-18,10.093000379635109
2024-05-19,6.42281842340416
2024-05-20,30.279001138905326
2024-05-21,33.94918309513628
2024-05-22,29.36145564984759
2024-05-23,34.866728584194014
2024-05-24,33.94918309513628
2024-05-25,8.257909401519635
2024-05-26,2.7526364671732115
2024-05-27,5.505272934346423
2024-05-28,31.196546627963063
2024-05-29,31.196546627963063
2024-05-30,33.94918309513628
2024-05-31,39.4544560294827
2024-06-01,10.093000379635109
2024-06-02,3.6701819562309486
2024-06-03,29.36145564984759
2024-06-04,34.866728584194014
2024-06-05,33.03163760607854
2024-06-06,32.1140921170208
2024-06-07,33.03163760607854
2024-06-08,8.257909401519635
2024-06-09,3.6701819562309486
2024-06-10,31.196546627963063
2024-06-11,30.279001138905326
2024-06-12,36.70181956230949
2024-06-13,37.619365051367225
2024-06-14,30.279001138905326
2024-06-15,8.257909401519635
2024-06-16,2.7526364671732115
2024-06-17,30.279001138905326
2024-06-18,31.196546627963063
2024-06-19,20.186000759270218
2024-06-20,35.78427407325175
2024-06-21,32.1140921170208
2024-06-22,7.340363912461897
2024-06-23,3.6701819562309486
2024-06-24,26.608819182674377
2024-06-25,32.1140921170208
2024-06-26,33.03163760607854
2024-06-27,28.44391016078985
2024-06-28,31.196546627963063
2024-06-29,9.175454890577372
2024-06-30,5.505272934346423
2024-07-01,28.44391016078985
2024-07-02,31.196546627963063
2024-07-03,25.69127369361664
2024-07-04,7.340363912461897
2024-07-05,29.36145564984759
2024-07-06,6.42281842340416
2024-07-07,5.505272934346423
2024-07-08,28.44391016078985
2024-07-09,31.196546627963063
2024-07-10,29.36145564984759
2024-07-11,34.866728584194014
2024-07-12,36.70181956230949
2024-07-13,9.175454890577372
2024-07-14,5.505272934346423
2024-07-15,33.94918309513628
2024-07-16,44.95972896382912
2024-07-17,39.4544560294827
2024-07-18,42.20709249665591
2024-07-19,36.70181956230949
2024-07-20,8.257909401519635
2024-07-21,4.587727445288686
2024-07-22,33.94918309513628
2024-07-23,34.866728584194014
2024-07-24,33.94918309513628
2024-07-25,35.78427407325175
2024-07-26,36.70181956230949
2024-07-27,6.42281842340416
2024-07-28,5.505272934346423
2024-07-29,33.03163760607854
2024-07-30,36.70181956230949
2024-07-31,35.78427407325175
2024-08-01,37.619365051367225
2024-08-02,44.95972896382912
2024-08-03,10.093000379635109
2024-08-04,5.505272934346423
2024-08-05,91.75454890577372
2024-08-06,74.3211846136767
2024-08-07,61.47554776686839
2024-08-08,51.38254738723328
2024-08-09,48.62991092006007
2024-08-10,10.093000379635109
2024-08-11,3.6701819562309486
2024-08-12,42.20709249665591
2024-08-13,42.20709249665591
2024-08-14,40.372001518540436
2024-08-15,44.95972896382912
2024-08-16,37.619365051367225
2024-08-17,10.093000379635109
2024-08-18,5.434692512111212
2024-08-19,31.690609583609536
2024-08-20,39.84264835177636
2024-08-21,40.76019384083409
2024-08-22,35.32550132872288
2024-08-23,38.042847584778485
2024-08-24,9.951839535164687
2024-08-25,7.69326602363795
2024-08-26,34.866728584194014
2024-08-27,40.301421096305226
2024-08-28,34.866728584194014
2024-08-29,40.301421096305226
2024-08-30,39.84264835177636
2024-08-31,10.410612279693556
2024-09-01,5.434692512111212
2024-09-02,7.69326602363795
2024-09-03,39.84264835177636
2024-09-04,39.38387560724749
2024-09-05,39.84264835177636
2024-09-06,34.866728584194014
2024-09-07,10.410612279693556
2024-09-08,3.1761190005844746
2024-09-09,43.01876735236083
2024-09-10,37.125302095720755
2024-09-11,35.32550132872288
2024-09-12,37.125302095720755
2024-09-13,37.58407484024962
2024-09-14,8.152038768166818
2024-09-15,5.434692512111212
2024-09-16,37.58407484024962
2024-09-17,37.548784629132015
2024-09-18,45.59495276394602
2024-09-19,42.91289671900802
