Time,solitaire
2023-12-10,72.53525038122956
2023-12-11,85.27792950225637
2023-12-12,89.1987538471877
2023-12-13,91.15916601965337
2023-12-14,94.09978427835186
2023-12-15,93.11957819211904
2023-12-16,74.49566255369523
2023-12-17,69.59463212253107
2023-12-18,88.21854776095488
2023-12-19,93.11957819211904
2023-12-20,91.15916601965337
2023-12-21,88.21854776095488
2023-12-22,82.55702729068912
2023-12-23,80.42714421365324
2023-12-24,67.73258120372299
2023-12-25,67.73258120372299
2023-12-26,77.2323195980994
2023-12-27,81.49208575217119
2023-12-28,77.2323195980994
2023-12-29,79.3622026751353
2023-12-30,74.61233347794709
2023-12-31,70.3525673238753
2024-01-01,73.54739193942913
2024-01-02,79.3622026751353
2024-01-03,86.81679344476092
2024-01-04,85.17701341084144
2024-01-05,85.17701341084144
2024-01-06,75.10243652106351
2024-01-07,68.79752274224094
2024-01-08,84.1120718723235
2024-01-09,89.92688260802964
2024-01-10,95.25159030061937
2024-01-11,92.63160418046706
2024-01-12,90.99182414654759
2024-01-13,71.41750886239325
2024-01-14,71.41750886239325
2024-01-15,74.61233347794709
2024-01-16,88.37183802639528
2024-01-17,94.18664876210143
2024-01-18,94.67675180521783
2024-01-19,90.99182414654759
2024-01-20,76.74221655498297
2024-01-21,70.13029643898672
2024-01-22,94.27351324585099
2024-01-23,94.27351324585099
2024-01-24,90.8244822734418
2024-01-25,96.57286722745711
2024-01-26,89.67480528263874
2024-01-27,64.38191148497141
2024-01-28,63.232234494168345
2024-01-29,87.37545130103263
2024-01-30,91.97415926424486
2024-01-31,91.97415926424486
2024-02-01,89.67480528263874
2024-02-02,89.67480528263874
2024-02-03,64.38191148497141
2024-02-04,65.53158847577447
2024-02-05,81.62706634701732
2024-02-06,89.67480528263874
2024-02-07,88.52512829183568
2024-02-08,89.67480528263874
2024-02-09,88.52512829183568
2024-02-10,65.53158847577447
2024-02-11,58.633526530956104
2024-02-12,77.02835838380507
2024-02-13,86.22577431022957
2024-02-14,94.27351324585099
2024-02-15,97.72254421826017
2024-02-16,88.52512829183568
2024-02-17,59.78320352175916
2024-02-18,65.53158847577447
2024-02-19,75.87868139300201
2024-02-20,90.8244822734418
2024-02-21,89.67480528263874
2024-02-22,91.97415926424486
2024-02-23,90.8244822734418
2024-02-24,64.38191148497141
2024-02-25,66.68126546657753
2024-02-26,93.12383625504793
2024-02-27,87.37545130103263
2024-02-28,88.52512829183568
2024-02-29,88.52512829183568
2024-03-01,87.37545130103263
2024-03-02,64.38191148497141
2024-03-03,63.232234494168345
2024-03-04,87.37545130103263
2024-03-05,88.52512829183568
2024-03-06,90.8244822734418
2024-03-07,87.37545130103263
2024-03-08,87.37545130103263
2024-03-09,63.232234494168345
2024-03-10,65.53158847577447
2024-03-11,82.77674333782038
2024-03-12,83.92642032862344
2024-03-13,86.22577431022957
2024-03-14,80.47738935621426
2024-03-15,85.07609731942651
2024-03-16,65.53158847577447
2024-03-17,64.38191148497141
2024-03-18,114.96769908030609
2024-03-19,91.97415926424486
2024-03-20,86.22577431022957
2024-03-21,87.37545130103263
2024-03-22,83.92642032862344
2024-03-23,62.08255750336529
2024-03-24,62.08255750336529
2024-03-25,87.37545130103263
2024-03-26,83.92642032862344
2024-03-27,89.67480528263874
2024-03-28,87.37545130103263
2024-03-29,70.13029643898672
2024-03-30,64.38191148497141
2024-03-31,56.33417254934998
2024-04-01,79.3277123654112
2024-04-02,86.22577431022957
2024-04-03,85.07609731942651
2024-04-04,85.07609731942651
2024-04-05,82.77674333782038
2024-04-06,63.232234494168345
2024-04-07,57.483849540153045
2024-04-08,77.02835838380507
2024-04-09,86.22577431022957
2024-04-10,88.52512829183568
2024-04-11,87.37545130103263
2024-04-12,95.42319023665405
2024-04-13,58.633526530956104
2024-04-14,63.232234494168345
2024-04-15,90.8244822734418
2024-04-16,89.67480528263874
2024-04-17,87.37545130103263
2024-04-18,90.8244822734418
2024-04-19,86.22577431022957
2024-04-20,63.232234494168345
2024-04-21,65.53158847577447
2024-04-22,89.67480528263874
2024-04-23,86.22577431022957
2024-04-24,85.07609731942651
2024-04-25,91.97415926424486
2024-04-26,85.07609731942651
2024-04-27,59.78320352175916
2024-04-28,68.98061944818365
2024-04-29,89.67480528263874
2024-04-30,88.52512829183568
2024-05-01,87.37545130103263
2024-05-02,86.22577431022957
2024-05-03,88.52512829183568
2024-05-04,58.633526530956104
2024-05-05,57.483849540153045
2024-05-06,83.92642032862344
2024-05-07,86.22577431022957
2024-05-08,87.37545130103263
2024-05-09,85.07609731942651
2024-05-10,85.07609731942651
2024-05-11,60.93288051256223
2024-05-12,58.633526530956104
2024-05-13,88.52512829183568
2024-05-14,86.22577431022957
2024-05-15,83.92642032862344
2024-05-16,83.92642032862344
2024-05-17,82.77674333782038
2024-05-18,63.232234494168345
2024-05-19,59.78320352175916
2024-05-20,81.62706634701732
2024-05-21,86.22577431022957
2024-05-22,86.22577431022957
2024-05-23,81.62706634701732
2024-05-24,75.87868139300201
2024-05-25,60.93288051256223
2024-05-26,59.78320352175916
2024-05-27,65.53158847577447
2024-05-28,79.3277123654112
2024-05-29,79.3277123654112
2024-05-30,77.02835838380507
2024-05-31,75.87868139300201
2024-06-01,60.93288051256223
2024-06-02,64.38191148497141
2024-06-03,73.5793274113959
2024-06-04,74.72900440219895
2024-06-05,77.02835838380507
2024-06-06,77.02835838380507
2024-06-07,75.87868139300201
2024-06-08,59.78320352175916
2024-06-09,64.38191148497141
2024-06-10,77.02835838380507
2024-06-11,75.87868139300201
2024-06-12,74.72900440219895
2024-06-13,71.27997342978978
2024-06-14,66.68126546657753
2024-06-15,62.08255750336529
2024-06-16,58.633526530956104
2024-06-17,72.42965042059284
2024-06-18,72.42965042059284
2024-06-19,73.5793274113959
2024-06-20,71.27997342978978
2024-06-21,71.27997342978978
2024-06-22,62.08255750336529
2024-06-23,60.93288051256223
2024-06-24,72.42965042059284
2024-06-25,72.42965042059284
2024-06-26,70.13029643898672
2024-06-27,73.5793274113959
2024-06-28,70.13029643898672
2024-06-29,60.93288051256223
2024-06-30,62.08255750336529
2024-07-01,74.72900440219895
2024-07-02,70.13029643898672
2024-07-03,70.13029643898672
2024-07-04,66.68126546657753
2024-07-05,67.83094245738059
2024-07-06,63.232234494168345
2024-07-07,59.78320352175916
2024-07-08,71.27997342978978
2024-07-09,72.42965042059284
2024-07-10,73.5793274113959
2024-07-11,73.5793274113959
2024-07-12,68.98061944818365
2024-07-13,59.78320352175916
2024-07-14,58.633526530956104
2024-07-15,68.98061944818365
2024-07-16,72.42965042059284
2024-07-17,74.72900440219895
2024-07-18,74.72900440219895
2024-07-19,68.98061944818365
2024-07-20,59.78320352175916
2024-07-21,60.93288051256223
2024-07-22,72.42965042059284
2024-07-23,68.98061944818365
2024-07-24,70.13029643898672
2024-07-25,72.42965042059284
2024-07-26,68.98061944818365
2024-07-27,56.33417254934998
2024-07-28,60.93288051256223
2024-07-29,71.27997342978978
2024-07-30,72.42965042059284
2024-07-31,73.5793274113959
